response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2280,0.0298,0.0016,0.0001,1.1977,0.0001,200,0.0075
1.2093,0.0000,0.0000,0.0000,1.2090,0.0002,200,1.2354
1.1480,0.0000,0.0000,0.0000,1.1479,0.0001,200,2.4447
1.1912,0.0000,0.0000,0.0000,1.1910,0.0001,200,3.5927
1.2084,0.0000,0.0000,0.0000,1.2081,0.0002,200,4.7839
1.1645,0.0000,0.0000,0.0001,1.1642,0.0001,200,5.9923
1.2379,0.0000,0.0000,0.0001,1.2378,0.0001,200,7.1568
1.2226,0.0000,0.0000,0.0000,1.2225,0.0001,200,8.3947
1.1663,0.0000,0.0000,0.0000,1.1661,0.0002,200,9.6173
1.2190,0.0000,0.0000,0.0000,1.2188,0.0001,200,10.7836
1.1860,0.0000,0.0000,0.0001,1.1858,0.0001,200,12.0026
1.2271,0.0000,0.0000,0.0000,1.2269,0.0001,200,13.1886
1.2678,0.0000,0.0000,0.0000,1.2676,0.0002,200,14.4156
1.1546,0.0000,0.0000,0.0000,1.1545,0.0001,200,15.6835
1.1800,0.0000,0.0000,0.0000,1.1799,0.0001,200,16.8381
1.2155,0.0000,0.0000,0.0000,1.2153,0.0001,200,18.0180
1.3058,0.0000,0.0000,0.0000,1.3056,0.0001,200,19.2335
1.1873,0.0000,0.0000,0.0001,1.1871,0.0001,200,20.5393
1.2925,0.0000,0.0000,0.0000,1.2923,0.0001,200,21.7267
1.1200,0.0000,0.0000,0.0001,1.1198,0.0001,200,23.0191
1.2592,0.0000,0.0000,0.0000,1.2590,0.0001,200,24.1391
1.1654,0.0000,0.0000,0.0001,1.1652,0.0001,200,25.3983
1.1416,0.0000,0.0000,0.0000,1.1414,0.0001,200,26.5638
1.2120,0.0000,0.0000,0.0000,1.2119,0.0001,200,27.7053
1.2801,0.0000,0.0000,0.0000,1.2799,0.0001,200,28.9174
1.2091,0.0000,0.0000,0.0000,1.2090,0.0001,200,30.1974
1.3868,0.0000,0.0000,0.0000,1.3867,0.0001,200,31.4066
1.2366,0.0000,0.0000,0.0000,1.2365,0.0001,200,32.7934
