response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.5603,0.0270,0.0013,0.0001,7.5330,0.0002,200,0.0030
7.5086,0.0000,0.0000,0.0000,7.5084,0.0002,200,7.5633
7.4379,0.0000,0.0000,0.0000,7.4377,0.0001,200,15.0719
7.4920,0.0000,0.0000,0.0000,7.4918,0.0001,200,22.5098
7.4374,0.0000,0.0000,0.0000,7.4372,0.0001,200,30.0019
7.4932,0.0000,0.0000,0.0000,7.4930,0.0001,200,37.4393
7.5200,0.0000,0.0000,0.0000,7.5198,0.0001,200,44.9324
7.5300,0.0000,0.0000,0.0000,7.5299,0.0001,200,52.4524
7.4704,0.0000,0.0000,0.0000,7.4703,0.0001,200,59.9824
7.4762,0.0000,0.0000,0.0000,7.4761,0.0001,200,67.4528
7.5318,0.0000,0.0000,0.0000,7.5317,0.0001,200,74.9291
7.4576,0.0000,0.0000,0.0000,7.4574,0.0001,200,82.4609
7.4628,0.0000,0.0000,0.0000,7.4626,0.0001,200,89.9185
7.4392,0.0000,0.0000,0.0000,7.4391,0.0001,200,97.3813
7.5059,0.0000,0.0000,0.0000,7.5057,0.0001,200,104.8205
7.4745,0.0000,0.0000,0.0000,7.4744,0.0001,200,112.3264
7.4634,0.0000,0.0000,0.0000,7.4627,0.0006,200,119.8009
7.4689,0.0000,0.0000,0.0004,7.4683,0.0001,200,127.2643
7.5295,0.0000,0.0000,0.0000,7.5293,0.0001,200,134.7332
7.4688,0.0000,0.0000,0.0000,7.4686,0.0001,200,142.2626
7.4452,0.0000,0.0000,0.0000,7.4450,0.0001,200,149.7314
7.4595,0.0000,0.0000,0.0000,7.4593,0.0001,200,157.1766
7.4708,0.0000,0.0000,0.0000,7.4706,0.0001,200,164.6361
7.4967,0.0000,0.0000,0.0000,7.4966,0.0001,200,172.1069
7.4872,0.0000,0.0000,0.0000,7.4870,0.0001,200,179.6036
7.4815,0.0000,0.0000,0.0000,7.4814,0.0001,200,187.0907
7.4714,0.0000,0.0000,0.0000,7.4713,0.0001,200,194.5722
7.5143,0.0000,0.0000,0.0000,7.5141,0.0001,200,202.0437
7.4547,0.0000,0.0000,0.0000,7.4545,0.0001,200,209.5580
7.4733,0.0000,0.0000,0.0000,7.4732,0.0001,200,217.0126
7.5561,0.0000,0.0000,0.0000,7.5559,0.0001,200,224.4859
7.4961,0.0000,0.0000,0.0000,7.4960,0.0001,200,232.0420
7.4375,0.0000,0.0000,0.0000,7.4373,0.0001,200,239.5381
7.4791,0.0000,0.0000,0.0001,7.4789,0.0001,200,246.9756
7.5010,0.0000,0.0000,0.0000,7.5005,0.0001,200,254.4547
7.5226,0.0000,0.0000,0.0001,7.5223,0.0002,200,261.9557
7.4243,0.0000,0.0000,0.0000,7.4241,0.0002,200,269.4783
7.4680,0.0000,0.0000,0.0000,7.4678,0.0001,200,276.9026
7.5277,0.0000,0.0000,0.0000,7.5276,0.0001,200,284.3706
7.5128,0.0000,0.0000,0.0000,7.5126,0.0001,200,291.8983
7.3917,0.0000,0.0000,0.0000,7.3915,0.0001,200,299.4111
