response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.8078,0.0282,0.0012,0.0001,3.7793,0.0001,200,0.0025
3.7776,0.0000,0.0000,0.0001,3.7774,0.0001,200,3.8103
3.7732,0.0000,0.0000,0.0000,3.7729,0.0002,200,7.5879
3.7933,0.0000,0.0000,0.0001,3.7930,0.0001,200,11.3611
3.7971,0.0000,0.0000,0.0001,3.7969,0.0001,200,15.1543
3.8533,0.0000,0.0000,0.0000,3.8532,0.0001,200,18.9514
3.8259,0.0000,0.0000,0.0000,3.8257,0.0001,200,22.8047
3.8212,0.0000,0.0000,0.0000,3.8211,0.0001,200,26.6306
3.8184,0.0000,0.0000,0.0000,3.8182,0.0001,200,30.4518
3.9463,0.0000,0.0000,0.0001,3.9461,0.0001,200,34.2702
3.8171,0.0000,0.0000,0.0000,3.8169,0.0001,200,38.2165
3.7761,0.0000,0.0000,0.0000,3.7760,0.0001,200,42.0336
3.8295,0.0000,0.0000,0.0000,3.8293,0.0001,200,45.8097
3.8251,0.0000,0.0000,0.0000,3.8250,0.0001,200,49.6392
3.8329,0.0000,0.0000,0.0000,3.8328,0.0001,200,53.4643
4.0693,0.0000,0.0000,0.0000,4.0692,0.0001,200,57.2973
3.7553,0.0000,0.0000,0.0000,3.7551,0.0001,200,61.3666
3.8190,0.0000,0.0000,0.0000,3.8188,0.0001,200,65.1219
3.8043,0.0000,0.0000,0.0000,3.8042,0.0001,200,68.9409
3.7947,0.0000,0.0000,0.0000,3.7945,0.0001,200,72.7452
3.8685,0.0000,0.0000,0.0000,3.8683,0.0001,200,76.5399
3.8326,0.0000,0.0000,0.0000,3.8325,0.0001,200,80.4084
3.8337,0.0000,0.0000,0.0000,3.8336,0.0001,200,84.2410
3.7990,0.0000,0.0000,0.0000,3.7988,0.0001,200,88.0747
3.8301,0.0000,0.0000,0.0000,3.8300,0.0001,200,91.8737
4.0975,0.0000,0.0000,0.0000,4.0974,0.0001,200,95.7038
3.7796,0.0000,0.0000,0.0000,3.7794,0.0001,200,99.8014
3.7972,0.0000,0.0000,0.0001,3.7970,0.0001,200,103.5810
3.8241,0.0000,0.0000,0.0000,3.8240,0.0001,200,107.3782
3.8443,0.0000,0.0000,0.0000,3.8441,0.0001,200,111.2023
3.7891,0.0000,0.0000,0.0000,3.7890,0.0001,200,115.0465
3.8467,0.0000,0.0000,0.0000,3.8466,0.0001,200,118.8357
3.9553,0.0000,0.0000,0.0000,3.9541,0.0001,200,122.6824
3.8477,0.0000,0.0000,0.0000,3.8476,0.0001,200,126.6377
3.8031,0.0000,0.0000,0.0000,3.8029,0.0001,200,130.4855
3.8551,0.0000,0.0000,0.0000,3.8549,0.0001,200,134.2886
3.8254,0.0000,0.0000,0.0000,3.8253,0.0001,200,138.1436
3.8490,0.0000,0.0000,0.0000,3.8488,0.0001,200,141.9691
3.8209,0.0000,0.0000,0.0000,3.8208,0.0001,200,145.8181
3.8292,0.0000,0.0000,0.0000,3.8290,0.0001,200,149.6390
3.7985,0.0000,0.0000,0.0000,3.7984,0.0001,200,153.4682
3.8702,0.0000,0.0000,0.0000,3.8701,0.0001,200,157.2667
4.0959,0.0000,0.0000,0.0000,4.0958,0.0001,200,161.1370
3.7825,0.0000,0.0000,0.0000,3.7824,0.0001,200,165.2329
3.9103,0.0000,0.0000,0.0000,3.9101,0.0001,200,169.0154
3.8782,0.0000,0.0000,0.0000,3.8781,0.0001,200,172.9257
3.7937,0.0000,0.0000,0.0000,3.7935,0.0001,200,176.8039
3.9137,0.0000,0.0000,0.0000,3.9136,0.0001,200,180.5976
3.8556,0.0000,0.0000,0.0000,3.8554,0.0001,200,184.5113
3.8738,0.0000,0.0000,0.0000,3.8736,0.0001,200,188.3669
3.8269,0.0000,0.0000,0.0000,3.8268,0.0001,200,192.2407
3.8366,0.0000,0.0000,0.0000,3.8365,0.0001,200,196.0675
3.9094,0.0000,0.0000,0.0000,3.9092,0.0001,200,199.9042
3.9743,0.0000,0.0000,0.0000,3.9741,0.0001,200,203.8135
3.7871,0.0000,0.0000,0.0000,3.7870,0.0001,200,207.7878
3.8617,0.0000,0.0000,0.0000,3.8615,0.0001,200,211.5749
3.8334,0.0000,0.0000,0.0000,3.8332,0.0001,200,215.4366
3.8627,0.0000,0.0000,0.0000,3.8626,0.0001,200,219.2699
3.8182,0.0000,0.0000,0.0000,3.8181,0.0001,200,223.1327
3.9766,0.0000,0.0000,0.0000,3.9764,0.0001,200,226.9509
3.9088,0.0000,0.0000,0.0000,3.9087,0.0001,200,230.9275
3.9388,0.0000,0.0000,0.0000,3.9387,0.0001,200,234.8363
