response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.7989,0.0353,0.0014,0.0001,5.7633,0.0001,200,0.0036
5.7426,0.0000,0.0000,0.0000,5.7424,0.0002,200,5.8025
5.6758,0.0000,0.0000,0.0000,5.6756,0.0001,200,11.5451
5.7411,0.0000,0.0000,0.0000,5.7408,0.0002,200,17.2209
5.6319,0.0000,0.0000,0.0001,5.6317,0.0001,200,22.9620
5.7490,0.0000,0.0000,0.0000,5.7489,0.0001,200,28.5940
5.7946,0.0000,0.0000,0.0000,5.7944,0.0001,200,34.3430
5.7014,0.0000,0.0000,0.0000,5.7012,0.0001,200,40.1375
5.7695,0.0000,0.0000,0.0000,5.7694,0.0001,200,45.8389
5.6513,0.0000,0.0000,0.0000,5.6511,0.0001,200,51.6085
5.6997,0.0000,0.0000,0.0000,5.6995,0.0001,200,57.2598
5.7950,0.0000,0.0000,0.0000,5.7948,0.0001,200,62.9594
5.6757,0.0000,0.0000,0.0000,5.6756,0.0001,200,68.7544
5.7960,0.0000,0.0000,0.0000,5.7958,0.0001,200,74.4301
5.8198,0.0000,0.0000,0.0000,5.8197,0.0001,200,80.2261
5.8252,0.0000,0.0000,0.0000,5.8251,0.0001,200,86.0459
5.8079,0.0000,0.0000,0.0000,5.8078,0.0001,200,91.8711
5.6278,0.0000,0.0000,0.0001,5.6276,0.0001,200,97.6790
5.8015,0.0000,0.0000,0.0000,5.8014,0.0001,200,103.3068
5.7149,0.0000,0.0000,0.0000,5.7148,0.0001,200,109.1083
5.7787,0.0000,0.0000,0.0000,5.7786,0.0001,200,114.8232
5.6925,0.0000,0.0000,0.0003,5.6916,0.0001,200,120.6020
5.8821,0.0000,0.0000,0.0000,5.8819,0.0001,200,126.2945
5.8135,0.0000,0.0000,0.0000,5.8133,0.0001,200,132.1766
5.7234,0.0000,0.0000,0.0000,5.7232,0.0002,200,137.9901
5.8078,0.0000,0.0000,0.0000,5.8076,0.0001,200,143.7135
5.7660,0.0000,0.0000,0.0000,5.7659,0.0001,200,149.5213
5.7531,0.0000,0.0000,0.0000,5.7530,0.0001,200,155.2873
5.6513,0.0000,0.0000,0.0000,5.6512,0.0001,200,161.0404
5.7582,0.0000,0.0000,0.0000,5.7580,0.0001,200,166.6918
5.9945,0.0000,0.0000,0.0000,5.9944,0.0001,200,172.4500
5.7583,0.0000,0.0000,0.0000,5.7581,0.0001,200,178.4445
5.7241,0.0000,0.0000,0.0000,5.7239,0.0001,200,184.2028
5.7167,0.0000,0.0000,0.0000,5.7166,0.0001,200,189.9268
5.7188,0.0000,0.0000,0.0000,5.7187,0.0001,200,195.6436
5.7235,0.0000,0.0000,0.0000,5.7233,0.0001,200,201.3624
5.6761,0.0000,0.0000,0.0000,5.6760,0.0001,200,207.0859
5.7402,0.0000,0.0000,0.0000,5.7401,0.0001,200,212.7620
5.8633,0.0000,0.0000,0.0000,5.8632,0.0001,200,218.5022
5.8225,0.0000,0.0000,0.0000,5.8224,0.0001,200,224.3655
5.7358,0.0000,0.0000,0.0000,5.7356,0.0001,200,230.1880
5.7784,0.0000,0.0000,0.0000,5.7782,0.0001,200,235.9238
5.7352,0.0000,0.0000,0.0004,5.7347,0.0001,200,241.7022
5.7539,0.0000,0.0000,0.0000,5.7537,0.0001,200,247.4374
5.7119,0.0000,0.0000,0.0000,5.7117,0.0001,200,253.1913
5.6509,0.0000,0.0000,0.0000,5.6508,0.0001,200,258.9032
5.9576,0.0000,0.0000,0.0000,5.9575,0.0001,200,264.5541
5.7057,0.0000,0.0000,0.0000,5.7055,0.0002,200,270.5117
5.7424,0.0000,0.0000,0.0000,5.7423,0.0001,200,276.2175
5.7357,0.0000,0.0000,0.0000,5.7355,0.0001,200,281.9599
5.7157,0.0000,0.0000,0.0000,5.7155,0.0001,200,287.6956
5.7177,0.0000,0.0000,0.0000,5.7176,0.0001,200,293.4113
5.7173,0.0000,0.0000,0.0000,5.7171,0.0001,200,299.1290
