response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.1487,0.0538,0.0015,0.0002,30.0945,0.0002,200,0.0051
30.0244,0.0000,0.0000,0.0001,30.0242,0.0002,200,30.1538
30.0242,0.0000,0.0000,0.0000,30.0241,0.0001,200,60.1782
30.0237,0.0000,0.0000,0.0000,30.0236,0.0001,200,90.2025
30.0234,0.0000,0.0000,0.0004,30.0224,0.0001,200,120.2262
30.0256,0.0000,0.0000,0.0000,30.0254,0.0001,200,150.2496
30.0253,0.0000,0.0000,0.0000,30.0249,0.0003,200,180.2752
30.0253,0.0000,0.0000,0.0001,30.0251,0.0001,200,210.3005
30.0340,0.0000,0.0000,0.0001,30.0335,0.0001,200,240.3258
30.0246,0.0000,0.0000,0.0000,30.0244,0.0002,200,270.3598
