response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.3220,0.0366,0.0011,0.0001,2.2851,0.0001,200,0.0033
2.2551,0.0000,0.0000,0.0000,2.2549,0.0002,200,2.3253
2.3031,0.0000,0.0000,0.0001,2.3029,0.0001,200,4.5804
2.2906,0.0000,0.0000,0.0000,2.2905,0.0001,200,6.8835
2.3152,0.0000,0.0000,0.0000,2.3150,0.0001,200,9.1742
2.2685,0.0000,0.0000,0.0000,2.2684,0.0001,200,11.4894
2.2803,0.0000,0.0000,0.0000,2.2801,0.0001,200,13.7579
2.2652,0.0000,0.0000,0.0000,2.2651,0.0001,200,16.0382
2.3614,0.0000,0.0000,0.0000,2.3613,0.0001,200,18.3034
2.3845,0.0000,0.0000,0.0000,2.3843,0.0001,200,20.6648
2.3399,0.0000,0.0000,0.0000,2.3398,0.0001,200,23.0493
2.3174,0.0000,0.0000,0.0000,2.3173,0.0001,200,25.3892
2.3130,0.0000,0.0000,0.0000,2.3128,0.0001,200,27.7066
2.3486,0.0000,0.0000,0.0000,2.3485,0.0001,200,30.0196
2.2864,0.0000,0.0000,0.0000,2.2862,0.0001,200,32.3683
2.3276,0.0000,0.0000,0.0000,2.3275,0.0001,200,34.6546
2.2790,0.0000,0.0000,0.0000,2.2788,0.0001,200,36.9823
2.3206,0.0000,0.0000,0.0000,2.3204,0.0001,200,39.2613
2.2940,0.0000,0.0000,0.0000,2.2938,0.0001,200,41.5818
2.3209,0.0000,0.0000,0.0000,2.3208,0.0001,200,43.8759
2.2782,0.0000,0.0000,0.0000,2.2781,0.0001,200,46.1968
2.3289,0.0000,0.0000,0.0000,2.3288,0.0001,200,48.4750
2.2952,0.0000,0.0000,0.0000,2.2950,0.0001,200,50.8039
2.2959,0.0000,0.0000,0.0000,2.2958,0.0001,200,53.0991
2.2828,0.0000,0.0000,0.0000,2.2827,0.0001,200,55.3950
2.3042,0.0000,0.0000,0.0000,2.3040,0.0001,200,57.6779
2.3139,0.0000,0.0000,0.0000,2.3138,0.0001,200,59.9820
2.2926,0.0000,0.0000,0.0000,2.2925,0.0001,200,62.2960
2.3028,0.0000,0.0000,0.0000,2.3027,0.0001,200,64.5886
2.2754,0.0000,0.0000,0.0000,2.2753,0.0001,200,66.8914
2.3276,0.0000,0.0000,0.0000,2.3274,0.0001,200,69.1668
2.2744,0.0000,0.0000,0.0000,2.2742,0.0001,200,71.4944
2.2911,0.0000,0.0000,0.0000,2.2909,0.0001,200,73.7688
2.2775,0.0000,0.0000,0.0000,2.2773,0.0001,200,76.0599
2.3289,0.0000,0.0000,0.0000,2.3287,0.0001,200,78.3373
2.3149,0.0000,0.0000,0.0000,2.3147,0.0001,200,80.6662
2.3160,0.0000,0.0000,0.0000,2.3159,0.0001,200,82.9811
2.2896,0.0000,0.0000,0.0000,2.2894,0.0001,200,85.2971
2.3010,0.0000,0.0000,0.0000,2.3008,0.0001,200,87.5867
2.3342,0.0000,0.0000,0.0000,2.3341,0.0001,200,89.8877
2.2725,0.0000,0.0000,0.0000,2.2724,0.0001,200,92.2220
2.2950,0.0000,0.0000,0.0000,2.2948,0.0001,200,94.4945
2.2862,0.0000,0.0000,0.0000,2.2860,0.0001,200,96.7894
2.2829,0.0000,0.0000,0.0000,2.2827,0.0001,200,99.0756
2.2701,0.0000,0.0000,0.0000,2.2699,0.0001,200,101.3585
2.2970,0.0000,0.0000,0.0000,2.2969,0.0001,200,103.6286
2.2775,0.0000,0.0000,0.0000,2.2773,0.0001,200,105.9257
2.3030,0.0000,0.0000,0.0000,2.3029,0.0001,200,108.2031
2.3283,0.0000,0.0000,0.0000,2.3282,0.0001,200,110.5061
2.2815,0.0000,0.0000,0.0000,2.2814,0.0001,200,112.8345
2.2732,0.0000,0.0000,0.0001,2.2730,0.0001,200,115.1160
2.3067,0.0000,0.0000,0.0000,2.3065,0.0001,200,117.3892
2.3275,0.0000,0.0000,0.0000,2.3273,0.0001,200,119.6959
2.2777,0.0000,0.0000,0.0004,2.2767,0.0001,200,122.0234
2.3385,0.0000,0.0000,0.0000,2.3383,0.0001,200,124.3011
2.2748,0.0000,0.0000,0.0001,2.2746,0.0001,200,126.6396
2.3177,0.0000,0.0000,0.0000,2.3175,0.0001,200,128.9144
2.3086,0.0000,0.0000,0.0000,2.3084,0.0001,200,131.2321
2.3340,0.0000,0.0000,0.0000,2.3338,0.0001,200,133.5407
2.2748,0.0000,0.0000,0.0000,2.2746,0.0001,200,135.8747
2.2977,0.0000,0.0000,0.0000,2.2976,0.0001,200,138.1494
2.3459,0.0000,0.0000,0.0000,2.3457,0.0001,200,140.4471
2.2874,0.0000,0.0000,0.0000,2.2872,0.0001,200,142.7930
2.3167,0.0000,0.0000,0.0000,2.3165,0.0001,200,145.0804
2.3237,0.0000,0.0000,0.0000,2.3236,0.0001,200,147.3970
2.3464,0.0000,0.0000,0.0001,2.3462,0.0001,200,149.7208
2.2834,0.0000,0.0000,0.0000,2.2833,0.0001,200,152.0672
2.3025,0.0000,0.0000,0.0000,2.3024,0.0001,200,154.3506
2.2795,0.0000,0.0000,0.0001,2.2793,0.0001,200,156.6532
2.2930,0.0000,0.0000,0.0000,2.2929,0.0001,200,158.9326
2.2952,0.0000,0.0000,0.0000,2.2951,0.0001,200,161.2257
2.3005,0.0000,0.0000,0.0001,2.3003,0.0001,200,163.5209
2.2932,0.0000,0.0000,0.0000,2.2931,0.0001,200,165.8214
2.3284,0.0000,0.0000,0.0000,2.3283,0.0001,200,168.1146
2.3375,0.0000,0.0000,0.0000,2.3373,0.0001,200,170.4430
2.2903,0.0000,0.0000,0.0000,2.2902,0.0001,200,172.7805
2.2924,0.0000,0.0000,0.0001,2.2922,0.0001,200,175.0708
2.3077,0.0000,0.0000,0.0000,2.3076,0.0001,200,177.3632
2.2989,0.0000,0.0000,0.0000,2.2987,0.0001,200,179.6709
2.2768,0.0000,0.0000,0.0000,2.2766,0.0001,200,181.9698
2.3044,0.0000,0.0000,0.0000,2.3043,0.0001,200,184.2466
