response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.5534,0.0344,0.0013,0.0001,4.5188,0.0001,200,0.0034
5.9933,0.0000,0.0000,0.0000,5.9931,0.0001,200,4.5568
4.4883,0.0000,0.0000,0.0000,4.4881,0.0001,200,10.5501
3.8766,0.0000,0.0000,0.0000,3.8763,0.0002,200,15.0384
3.7315,0.0000,0.0000,0.0000,3.7313,0.0001,200,18.9149
3.6764,0.0000,0.0000,0.0000,3.6763,0.0001,200,22.6464
4.7396,0.0000,0.0000,0.0000,4.7394,0.0001,200,26.3228
4.0227,0.0000,0.0000,0.0000,4.0226,0.0001,200,31.0624
4.4367,0.0000,0.0000,0.0000,4.4365,0.0001,200,35.0852
3.8243,0.0000,0.0000,0.0000,3.8242,0.0001,200,39.5218
3.7500,0.0000,0.0000,0.0000,3.7499,0.0001,200,43.3462
4.0501,0.0000,0.0000,0.0000,4.0499,0.0001,200,47.0962
3.7401,0.0000,0.0000,0.0000,3.7400,0.0001,200,51.1463
3.8641,0.0000,0.0000,0.0000,3.8639,0.0001,200,54.8864
4.4138,0.0000,0.0000,0.0000,4.4137,0.0001,200,58.7505
4.7272,0.0000,0.0000,0.0000,4.7270,0.0001,200,63.1643
4.0337,0.0000,0.0000,0.0000,4.0335,0.0001,200,67.8915
3.8965,0.0000,0.0000,0.0000,3.8964,0.0001,200,71.9252
3.9965,0.0000,0.0000,0.0000,3.9964,0.0001,200,75.8217
3.5560,0.0000,0.0000,0.0000,3.5558,0.0001,200,79.8182
3.6043,0.0000,0.0000,0.0000,3.6042,0.0001,200,83.3742
4.4679,0.0000,0.0000,0.0000,4.4677,0.0001,200,86.9785
3.8357,0.0000,0.0000,0.0000,3.8356,0.0001,200,91.4464
4.2483,0.0000,0.0000,0.0000,4.2482,0.0001,200,95.2822
3.7399,0.0000,0.0000,0.0000,3.7398,0.0001,200,99.5305
3.6706,0.0000,0.0000,0.0000,3.6704,0.0001,200,103.2704
3.8146,0.0000,0.0000,0.0000,3.8144,0.0001,200,106.9410
3.6897,0.0000,0.0000,0.0000,3.6895,0.0001,200,110.7556
3.7011,0.0000,0.0000,0.0000,3.7009,0.0002,200,114.4453
4.3560,0.0000,0.0000,0.0000,4.3558,0.0001,200,118.1464
3.8401,0.0000,0.0000,0.0000,3.8399,0.0001,200,122.5023
4.5130,0.0000,0.0000,0.0000,4.5129,0.0001,200,126.3424
3.6232,0.0000,0.0000,0.0000,3.6231,0.0001,200,130.8555
3.7877,0.0000,0.0000,0.0000,3.7875,0.0001,200,134.4787
3.7829,0.0000,0.0000,0.0000,3.7827,0.0001,200,138.2664
3.6547,0.0000,0.0000,0.0000,3.6545,0.0001,200,142.0493
4.7903,0.0000,0.0000,0.0000,4.7901,0.0001,200,145.7040
3.9865,0.0000,0.0000,0.0000,3.9863,0.0001,200,150.4943
4.3785,0.0000,0.0000,0.0000,4.3784,0.0001,200,154.4808
3.7591,0.0000,0.0000,0.0000,3.7589,0.0001,200,158.8593
3.7122,0.0000,0.0000,0.0000,3.7121,0.0001,200,162.6184
3.8242,0.0000,0.0000,0.0000,3.8241,0.0001,200,166.3306
3.7345,0.0000,0.0000,0.0000,3.7344,0.0001,200,170.1548
3.6642,0.0000,0.0000,0.0001,3.6641,0.0001,200,173.8894
4.4514,0.0000,0.0000,0.0000,4.4512,0.0001,200,177.5536
3.8615,0.0000,0.0000,0.0000,3.8614,0.0001,200,182.0050
5.9239,0.0000,0.0000,0.0000,5.9238,0.0001,200,185.8665
3.9721,0.0000,0.0000,0.0000,3.9719,0.0001,200,191.7904
3.6235,0.0000,0.0000,0.0000,3.6233,0.0001,200,195.7625
3.5097,0.0000,0.0000,0.0001,3.5095,0.0001,200,199.3860
3.6251,0.0000,0.0000,0.0000,3.6249,0.0001,200,202.8956
4.4497,0.0000,0.0000,0.0000,4.4496,0.0001,200,206.5207
3.8906,0.0000,0.0000,0.0000,3.8905,0.0001,200,210.9704
4.2820,0.0000,0.0000,0.0000,4.2819,0.0001,200,214.8610
3.6076,0.0000,0.0000,0.0000,3.6074,0.0001,200,219.1430
3.5137,0.0000,0.0000,0.0000,3.5135,0.0001,200,222.7506
3.7063,0.0000,0.0000,0.0000,3.7062,0.0001,200,226.2643
3.5001,0.0000,0.0000,0.0000,3.5000,0.0001,200,229.9707
3.5598,0.0000,0.0000,0.0000,3.5597,0.0001,200,233.4708
4.1886,0.0000,0.0000,0.0000,4.1884,0.0001,200,237.0306
3.8307,0.0000,0.0000,0.0000,3.8306,0.0001,200,241.2192
4.2057,0.0000,0.0000,0.0001,4.2050,0.0001,200,245.0499
3.6705,0.0000,0.0000,0.0000,3.6703,0.0001,200,249.2556
3.5281,0.0000,0.0000,0.0000,3.5279,0.0002,200,252.9261
3.6685,0.0000,0.0000,0.0001,3.6683,0.0001,200,256.4542
3.4427,0.0000,0.0000,0.0000,3.4425,0.0001,200,260.1227
3.4814,0.0000,0.0000,0.0000,3.4813,0.0001,200,263.5654
4.3989,0.0000,0.0000,0.0000,4.3987,0.0001,200,267.0468
3.7852,0.0000,0.0000,0.0000,3.7851,0.0001,200,271.4457
4.1079,0.0000,0.0000,0.0000,4.1077,0.0001,200,275.2309
3.5853,0.0000,0.0000,0.0000,3.5852,0.0001,200,279.3387
3.5989,0.0000,0.0000,0.0000,3.5988,0.0001,200,282.9241
3.7066,0.0000,0.0000,0.0000,3.7064,0.0001,200,286.5230
3.4730,0.0000,0.0000,0.0000,3.4729,0.0001,200,290.2296
