response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.5974,0.0333,0.0017,0.0001,8.5636,0.0001,200,0.0055
8.4880,0.0000,0.0000,0.0000,8.4878,0.0001,200,8.6029
8.4348,0.0000,0.0000,0.0000,8.4347,0.0001,200,17.0909
8.3051,0.0000,0.0000,0.0000,8.3050,0.0001,200,25.5257
8.4194,0.0000,0.0000,0.0000,8.4192,0.0001,200,33.8308
8.4084,0.0000,0.0000,0.0000,8.4083,0.0001,200,42.2502
8.3292,0.0000,0.0000,0.0000,8.3290,0.0001,200,50.6587
8.3868,0.0000,0.0000,0.0000,8.3866,0.0001,200,58.9878
8.3120,0.0000,0.0000,0.0000,8.3118,0.0001,200,67.3746
8.5088,0.0000,0.0000,0.0000,8.5086,0.0001,200,75.6866
8.3432,0.0000,0.0000,0.0000,8.3430,0.0001,200,84.1955
8.3788,0.0000,0.0000,0.0000,8.3786,0.0001,200,92.5386
8.4454,0.0000,0.0000,0.0000,8.4452,0.0001,200,100.9174
8.4601,0.0000,0.0000,0.0000,8.4600,0.0001,200,109.3628
8.3756,0.0000,0.0000,0.0000,8.3755,0.0001,200,117.8229
8.2487,0.0000,0.0000,0.0000,8.2486,0.0001,200,126.1986
8.5791,0.0000,0.0000,0.0000,8.5789,0.0001,200,134.4473
8.3393,0.0000,0.0000,0.0000,8.3389,0.0003,200,143.0263
8.3630,0.0000,0.0000,0.0000,8.3629,0.0001,200,151.3656
8.5261,0.0000,0.0000,0.0000,8.5259,0.0001,200,159.7287
8.2998,0.0000,0.0000,0.0000,8.2996,0.0001,200,168.2547
8.4680,0.0000,0.0000,0.0000,8.4679,0.0001,200,176.5545
8.3204,0.0000,0.0000,0.0000,8.3203,0.0001,200,185.0225
8.6494,0.0000,0.0000,0.0000,8.6493,0.0001,200,193.3430
8.8664,0.0000,0.0000,0.0000,8.8662,0.0001,200,201.9924
8.3840,0.0000,0.0000,0.0001,8.3838,0.0001,200,210.8587
8.3610,0.0000,0.0000,0.0000,8.3609,0.0001,200,219.2427
8.4313,0.0000,0.0000,0.0000,8.4311,0.0001,200,227.6037
8.4826,0.0000,0.0000,0.0000,8.4825,0.0001,200,236.0350
8.4852,0.0000,0.0000,0.0000,8.4850,0.0001,200,244.5176
8.5780,0.0000,0.0000,0.0004,8.5775,0.0001,200,253.0028
8.5301,0.0000,0.0000,0.0000,8.5299,0.0001,200,261.5808
8.4478,0.0000,0.0000,0.0000,8.4476,0.0001,200,270.1109
8.3735,0.0000,0.0000,0.0000,8.3733,0.0002,200,278.5587
8.5828,0.0000,0.0000,0.0000,8.5826,0.0001,200,286.9322
8.2958,0.0000,0.0000,0.0000,8.2956,0.0001,200,295.5150
