response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.3126,0.0317,0.0013,0.0001,7.2807,0.0002,200,0.0032
6.6878,0.0000,0.0000,0.0000,6.6876,0.0001,200,7.3158
6.6946,0.0000,0.0000,0.0000,6.6944,0.0001,200,14.0036
6.5815,0.0000,0.0000,0.0000,6.5813,0.0001,200,20.6982
6.6790,0.0000,0.0000,0.0000,6.6788,0.0001,200,27.2797
6.7750,0.0000,0.0000,0.0000,6.7748,0.0002,200,33.9587
6.6904,0.0000,0.0000,0.0001,6.6901,0.0001,200,40.7337
6.6467,0.0000,0.0000,0.0000,6.6466,0.0001,200,47.4240
6.6182,0.0000,0.0000,0.0000,6.6180,0.0001,200,54.0708
6.8289,0.0000,0.0000,0.0000,6.8287,0.0001,200,60.6889
6.6174,0.0000,0.0000,0.0000,6.6172,0.0001,200,67.5178
6.7153,0.0000,0.0000,0.0000,6.7152,0.0001,200,74.1352
6.6278,0.0000,0.0000,0.0000,6.6277,0.0001,200,80.8505
6.7548,0.0000,0.0000,0.0000,6.7547,0.0001,200,87.4783
6.6590,0.0000,0.0000,0.0000,6.6589,0.0001,200,94.2331
6.6793,0.0000,0.0000,0.0000,6.6791,0.0001,200,100.8921
6.6464,0.0000,0.0000,0.0000,6.6463,0.0001,200,107.5714
6.6249,0.0000,0.0000,0.0000,6.6247,0.0001,200,114.2178
6.6907,0.0000,0.0000,0.0000,6.6899,0.0001,200,120.8427
6.7336,0.0000,0.0000,0.0000,6.7335,0.0001,200,127.5335
6.6440,0.0000,0.0000,0.0000,6.6438,0.0001,200,134.2671
6.6231,0.0000,0.0000,0.0000,6.6229,0.0001,200,140.9111
6.7386,0.0000,0.0000,0.0000,6.7384,0.0001,200,147.5342
6.8440,0.0000,0.0000,0.0000,6.8439,0.0001,200,154.2728
6.5853,0.0000,0.0000,0.0000,6.5852,0.0001,200,161.1169
6.6101,0.0000,0.0000,0.0000,6.6099,0.0001,200,167.7022
6.6729,0.0000,0.0000,0.0000,6.6728,0.0001,200,174.3123
6.7801,0.0000,0.0000,0.0000,6.7799,0.0001,200,180.9852
6.6070,0.0000,0.0000,0.0000,6.6068,0.0001,200,187.7653
6.6184,0.0000,0.0000,0.0000,6.6183,0.0001,200,194.3722
6.6239,0.0000,0.0000,0.0000,6.6237,0.0001,200,200.9907
6.7035,0.0000,0.0000,0.0000,6.7033,0.0001,200,207.6146
6.6788,0.0000,0.0000,0.0000,6.6786,0.0001,200,214.3180
6.5646,0.0000,0.0000,0.0000,6.5645,0.0001,200,220.9968
6.6044,0.0000,0.0000,0.0000,6.6042,0.0001,200,227.5615
6.7261,0.0000,0.0000,0.0000,6.7260,0.0001,200,234.1658
6.6956,0.0000,0.0000,0.0001,6.6950,0.0001,200,240.8919
6.6448,0.0000,0.0000,0.0000,6.6446,0.0001,200,247.5875
6.6126,0.0000,0.0000,0.0000,6.6124,0.0002,200,254.2324
6.5348,0.0000,0.0000,0.0000,6.5346,0.0001,200,260.8449
6.7924,0.0000,0.0000,0.0000,6.7922,0.0001,200,267.3797
6.7202,0.0000,0.0000,0.0000,6.7201,0.0001,200,274.1721
6.5769,0.0000,0.0000,0.0000,6.5768,0.0001,200,280.8923
6.6457,0.0000,0.0000,0.0000,6.6455,0.0001,200,287.4692
6.7282,0.0000,0.0000,0.0000,6.7280,0.0001,200,294.1149
