response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2484,0.0368,0.0009,0.0001,1.2111,0.0002,200,0.0032
1.1833,0.0000,0.0000,0.0000,1.1830,0.0002,200,1.2516
1.1645,0.0000,0.0000,0.0001,1.1643,0.0001,200,2.4349
1.1710,0.0000,0.0000,0.0000,1.1708,0.0001,200,3.5994
1.2143,0.0000,0.0000,0.0000,1.2141,0.0001,200,4.7704
1.1952,0.0000,0.0000,0.0000,1.1950,0.0001,200,5.9846
1.2610,0.0000,0.0000,0.0000,1.2608,0.0001,200,7.1798
1.1760,0.0000,0.0000,0.0001,1.1758,0.0001,200,8.4408
1.1772,0.0000,0.0000,0.0000,1.1770,0.0002,200,9.6168
1.1993,0.0000,0.0000,0.0000,1.1992,0.0001,200,10.7940
1.1754,0.0000,0.0000,0.0000,1.1752,0.0001,200,11.9933
1.1662,0.0000,0.0000,0.0000,1.1660,0.0001,200,13.1687
1.2076,0.0000,0.0000,0.0000,1.2075,0.0001,200,14.3349
1.2098,0.0000,0.0000,0.0000,1.2097,0.0001,200,15.5425
1.1781,0.0000,0.0000,0.0000,1.1780,0.0001,200,16.7523
1.1966,0.0000,0.0000,0.0000,1.1965,0.0001,200,17.9304
1.2058,0.0000,0.0000,0.0000,1.2057,0.0001,200,19.1271
1.1724,0.0000,0.0000,0.0000,1.1723,0.0001,200,20.3329
1.1654,0.0000,0.0000,0.0000,1.1652,0.0001,200,21.5053
1.2168,0.0000,0.0000,0.0000,1.2166,0.0001,200,22.6707
1.1919,0.0000,0.0000,0.0000,1.1918,0.0001,200,23.8875
1.1743,0.0000,0.0000,0.0000,1.1742,0.0001,200,25.0794
1.2207,0.0000,0.0000,0.0000,1.2206,0.0001,200,26.2537
1.1696,0.0000,0.0000,0.0000,1.1695,0.0001,200,27.4745
1.1635,0.0000,0.0000,0.0000,1.1633,0.0001,200,28.6441
1.1704,0.0000,0.0000,0.0000,1.1703,0.0001,200,29.8076
1.1976,0.0000,0.0000,0.0000,1.1974,0.0001,200,30.9780
1.2000,0.0000,0.0000,0.0000,1.1998,0.0001,200,32.1755
1.1605,0.0000,0.0000,0.0000,1.1603,0.0001,200,33.3755
1.1921,0.0000,0.0000,0.0000,1.1919,0.0001,200,34.5360
1.1981,0.0000,0.0000,0.0000,1.1979,0.0001,200,35.7281
1.2273,0.0000,0.0000,0.0000,1.2272,0.0001,200,36.9262
