response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.0096,0.0293,0.0016,0.0001,2.9796,0.0002,200,0.0066
2.9025,0.0000,0.0000,0.0001,2.9022,0.0002,200,3.0162
3.0603,0.0000,0.0000,0.0001,3.0599,0.0003,200,5.9187
2.9165,0.0000,0.0000,0.0001,2.9162,0.0001,200,8.9790
2.9574,0.0000,0.0000,0.0000,2.9573,0.0001,200,11.8955
2.9546,0.0000,0.0000,0.0000,2.9544,0.0001,200,14.8529
2.8379,0.0000,0.0000,0.0000,2.8378,0.0001,200,17.8075
2.9991,0.0000,0.0000,0.0001,2.9989,0.0001,200,20.6454
2.9205,0.0000,0.0000,0.0000,2.9203,0.0001,200,23.6444
2.8782,0.0000,0.0000,0.0000,2.8781,0.0001,200,26.5649
2.9358,0.0000,0.0000,0.0000,2.9357,0.0001,200,29.4431
3.0118,0.0000,0.0000,0.0000,3.0116,0.0001,200,32.3790
2.8674,0.0000,0.0000,0.0000,2.8672,0.0001,200,35.3908
2.8862,0.0000,0.0000,0.0000,2.8860,0.0001,200,38.2582
2.9736,0.0000,0.0000,0.0000,2.9735,0.0001,200,41.1444
2.8968,0.0000,0.0000,0.0000,2.8967,0.0001,200,44.1180
2.9442,0.0000,0.0000,0.0000,2.9441,0.0001,200,47.0148
2.9235,0.0000,0.0000,0.0000,2.9234,0.0001,200,49.9591
2.8651,0.0000,0.0000,0.0000,2.8649,0.0001,200,52.8826
2.8932,0.0000,0.0000,0.0000,2.8930,0.0001,200,55.7476
2.9987,0.0000,0.0000,0.0000,2.9986,0.0001,200,58.6408
2.9609,0.0000,0.0000,0.0000,2.9607,0.0001,200,61.6395
3.0381,0.0000,0.0000,0.0000,3.0380,0.0001,200,64.6004
2.9683,0.0000,0.0000,0.0000,2.9682,0.0001,200,67.6386
2.9365,0.0000,0.0000,0.0000,2.9363,0.0001,200,70.6069
3.0375,0.0000,0.0000,0.0000,3.0374,0.0001,200,73.5434
3.0401,0.0000,0.0000,0.0000,3.0399,0.0001,200,76.5809
2.8370,0.0000,0.0000,0.0000,2.8369,0.0001,200,79.6210
2.8546,0.0000,0.0000,0.0001,2.8544,0.0001,200,82.4580
2.9655,0.0000,0.0000,0.0001,2.9654,0.0001,200,85.3126
3.0632,0.0000,0.0000,0.0000,3.0631,0.0001,200,88.2781
2.9384,0.0000,0.0000,0.0000,2.9382,0.0001,200,91.3414
3.0901,0.0000,0.0000,0.0000,3.0900,0.0001,200,94.2798
2.8561,0.0000,0.0000,0.0000,2.8559,0.0001,200,97.3699
2.9564,0.0000,0.0000,0.0000,2.9563,0.0001,200,100.2259
3.0411,0.0000,0.0000,0.0000,3.0409,0.0001,200,103.1824
2.9865,0.0000,0.0000,0.0001,2.9863,0.0001,200,106.2235
2.8944,0.0000,0.0000,0.0000,2.8943,0.0001,200,109.2099
3.0325,0.0000,0.0000,0.0000,3.0324,0.0001,200,112.1044
2.8971,0.0000,0.0000,0.0000,2.8969,0.0001,200,115.1369
2.8760,0.0000,0.0000,0.0000,2.8758,0.0001,200,118.0340
2.9515,0.0000,0.0000,0.0000,2.9514,0.0001,200,120.9099
2.9315,0.0000,0.0000,0.0000,2.9313,0.0001,200,123.8615
2.8684,0.0000,0.0000,0.0000,2.8682,0.0001,200,126.7929
2.9565,0.0000,0.0000,0.0000,2.9561,0.0004,200,129.6613
2.9172,0.0000,0.0000,0.0001,2.9169,0.0001,200,132.6178
2.8612,0.0000,0.0000,0.0000,2.8610,0.0001,200,135.5350
2.9109,0.0000,0.0000,0.0000,2.9108,0.0001,200,138.3961
3.0490,0.0000,0.0000,0.0000,3.0489,0.0001,200,141.3071
2.9185,0.0000,0.0000,0.0000,2.9183,0.0001,200,144.3561
2.9854,0.0000,0.0000,0.0000,2.9852,0.0001,200,147.2746
2.8262,0.0000,0.0000,0.0000,2.8261,0.0001,200,150.2600
2.8872,0.0000,0.0000,0.0000,2.8871,0.0001,200,153.0862
2.8993,0.0000,0.0000,0.0000,2.8991,0.0001,200,155.9734
