response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.9528,0.0273,0.0014,0.0001,3.9252,0.0001,200,0.0032
3.4638,0.0000,0.0000,0.0000,3.4637,0.0001,200,3.9561
2.9549,0.0000,0.0000,0.0000,2.9547,0.0002,200,7.4199
3.4944,0.0000,0.0000,0.0000,3.4942,0.0001,200,10.3749
3.8364,0.0000,0.0000,0.0000,3.8362,0.0001,200,13.8692
3.3649,0.0000,0.0000,0.0000,3.3646,0.0002,200,17.7056
3.6198,0.0000,0.0000,0.0001,3.6196,0.0001,200,21.0705
3.4424,0.0000,0.0000,0.0000,3.4423,0.0001,200,24.6904
3.4212,0.0000,0.0000,0.0000,3.4211,0.0001,200,28.1328
3.1694,0.0000,0.0000,0.0000,3.1693,0.0001,200,31.5540
3.2914,0.0000,0.0000,0.0001,3.2912,0.0001,200,34.7234
3.5033,0.0000,0.0000,0.0000,3.5032,0.0001,200,38.0148
2.6726,0.0000,0.0000,0.0000,2.6725,0.0001,200,41.5181
3.7256,0.0000,0.0000,0.0000,3.7255,0.0001,200,44.1907
3.5731,0.0000,0.0000,0.0000,3.5729,0.0001,200,47.9163
3.4502,0.0000,0.0000,0.0000,3.4500,0.0001,200,51.4894
3.7488,0.0000,0.0000,0.0000,3.7487,0.0001,200,54.9396
3.5636,0.0000,0.0000,0.0000,3.5635,0.0001,200,58.6885
3.9296,0.0000,0.0000,0.0000,3.9295,0.0001,200,62.2521
3.7617,0.0000,0.0000,0.0000,3.7615,0.0001,200,66.1817
3.6259,0.0000,0.0000,0.0000,3.6258,0.0001,200,69.9434
4.0424,0.0000,0.0000,0.0000,4.0422,0.0001,200,73.5693
3.4752,0.0000,0.0000,0.0000,3.4750,0.0001,200,77.6117
3.8515,0.0000,0.0000,0.0000,3.8513,0.0001,200,81.0869
3.7081,0.0000,0.0000,0.0000,3.7079,0.0001,200,84.9384
3.4364,0.0000,0.0000,0.0000,3.4363,0.0001,200,88.6465
3.3585,0.0000,0.0000,0.0000,3.3583,0.0001,200,92.0829
3.7063,0.0000,0.0000,0.0000,3.7062,0.0001,200,95.4414
3.9740,0.0000,0.0000,0.0000,3.9738,0.0001,200,99.1478
3.6310,0.0000,0.0000,0.0000,3.6308,0.0001,200,103.1217
4.0222,0.0000,0.0000,0.0000,4.0220,0.0001,200,106.7527
3.0012,0.0000,0.0000,0.0000,3.0011,0.0001,200,110.7749
3.5424,0.0000,0.0000,0.0000,3.5422,0.0001,200,113.7761
4.1963,0.0000,0.0000,0.0000,4.1961,0.0001,200,117.3185
3.7967,0.0000,0.0000,0.0003,3.7961,0.0001,200,121.5148
3.7676,0.0000,0.0000,0.0000,3.7674,0.0001,200,125.3115
3.9583,0.0000,0.0000,0.0000,3.9580,0.0002,200,129.0791
3.8236,0.0000,0.0000,0.0000,3.8234,0.0001,200,133.0373
3.9157,0.0000,0.0000,0.0000,3.9155,0.0001,200,136.8609
3.5840,0.0000,0.0000,0.0000,3.5839,0.0001,200,140.7766
3.2541,0.0000,0.0000,0.0000,3.2540,0.0001,200,144.3606
4.4294,0.0000,0.0000,0.0000,4.4292,0.0001,200,147.6148
3.8752,0.0000,0.0000,0.0000,3.8751,0.0001,200,152.0442
3.7849,0.0000,0.0000,0.0000,3.7847,0.0001,200,155.9193
3.4242,0.0000,0.0000,0.0000,3.4241,0.0001,200,159.7042
3.4079,0.0000,0.0000,0.0000,3.4078,0.0001,200,163.1285
3.7138,0.0000,0.0000,0.0000,3.7136,0.0001,200,166.5364
3.1377,0.0000,0.0000,0.0000,3.1376,0.0001,200,170.2502
3.5721,0.0000,0.0000,0.0001,3.5719,0.0001,200,173.3879
3.0468,0.0000,0.0000,0.0000,3.0467,0.0001,200,176.9601
3.8534,0.0000,0.0000,0.0000,3.8533,0.0001,200,180.0068
2.8711,0.0000,0.0000,0.0000,2.8709,0.0001,200,183.8602
3.0767,0.0000,0.0000,0.0000,3.0765,0.0001,200,186.7313
3.6982,0.0000,0.0000,0.0000,3.6981,0.0001,200,189.8080
3.8737,0.0000,0.0000,0.0001,3.8735,0.0001,200,193.5063
3.7583,0.0000,0.0000,0.0000,3.7582,0.0001,200,197.3800
3.4915,0.0000,0.0000,0.0000,3.4913,0.0001,200,201.1383
4.0746,0.0000,0.0000,0.0000,4.0744,0.0001,200,204.6298
3.1001,0.0000,0.0000,0.0000,3.1000,0.0001,200,208.7044
3.8686,0.0000,0.0000,0.0000,3.8685,0.0001,200,211.8045
3.7498,0.0000,0.0000,0.0000,3.7497,0.0001,200,215.6731
