response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.8759,0.0336,0.0012,0.0001,1.8416,0.0002,200,0.0150
1.8316,0.0000,0.0000,0.0001,1.8313,0.0001,200,1.8909
1.8316,0.0000,0.0000,0.0000,1.8314,0.0001,200,3.7225
1.8670,0.0000,0.0000,0.0000,1.8668,0.0001,200,5.5540
1.7685,0.0000,0.0000,0.0001,1.7683,0.0001,200,7.4210
1.8120,0.0000,0.0000,0.0000,1.8119,0.0001,200,9.1895
1.8282,0.0000,0.0000,0.0000,1.8280,0.0001,200,11.0016
1.7613,0.0000,0.0000,0.0000,1.7611,0.0001,200,12.8298
1.8313,0.0000,0.0000,0.0000,1.8311,0.0001,200,14.5910
1.8562,0.0000,0.0000,0.0000,1.8560,0.0001,200,16.4223
1.7545,0.0000,0.0000,0.0000,1.7544,0.0001,200,18.2785
1.8512,0.0000,0.0000,0.0000,1.8511,0.0001,200,20.0330
1.8578,0.0000,0.0000,0.0000,1.8577,0.0001,200,21.8842
1.7545,0.0000,0.0000,0.0000,1.7543,0.0001,200,23.7421
1.8176,0.0000,0.0000,0.0000,1.8175,0.0001,200,25.4966
1.8813,0.0000,0.0000,0.0000,1.8811,0.0001,200,27.3142
1.7480,0.0000,0.0000,0.0000,1.7479,0.0001,200,29.1955
1.8455,0.0000,0.0000,0.0000,1.8454,0.0001,200,30.9435
1.8426,0.0000,0.0000,0.0000,1.8424,0.0001,200,32.7891
1.7351,0.0000,0.0000,0.0000,1.7350,0.0001,200,34.6316
1.9150,0.0000,0.0000,0.0000,1.9149,0.0001,200,36.3667
1.8574,0.0000,0.0000,0.0000,1.8572,0.0001,200,38.2818
1.8250,0.0000,0.0000,0.0000,1.8249,0.0001,200,40.1392
1.8612,0.0000,0.0000,0.0000,1.8610,0.0001,200,41.9642
1.8644,0.0000,0.0000,0.0000,1.8642,0.0001,200,43.8254
1.7878,0.0000,0.0000,0.0000,1.7877,0.0001,200,45.6898
1.8480,0.0000,0.0000,0.0001,1.8477,0.0002,200,47.4776
1.8404,0.0000,0.0000,0.0000,1.8402,0.0001,200,49.3256
1.8317,0.0000,0.0000,0.0000,1.8316,0.0001,200,51.1660
1.8242,0.0000,0.0000,0.0000,1.8241,0.0001,200,52.9977
1.8591,0.0000,0.0000,0.0000,1.8590,0.0001,200,54.8219
1.7839,0.0000,0.0000,0.0000,1.7837,0.0001,200,56.6811
1.8116,0.0000,0.0000,0.0000,1.8115,0.0001,200,58.4649
1.8429,0.0000,0.0000,0.0000,1.8427,0.0001,200,60.2765
1.9335,0.0000,0.0000,0.0000,1.9334,0.0001,200,62.1194
1.8167,0.0000,0.0000,0.0000,1.8166,0.0001,200,64.0529
1.8720,0.0000,0.0000,0.0000,1.8719,0.0001,200,65.8697
1.7568,0.0000,0.0000,0.0000,1.7567,0.0001,200,67.7417
1.7984,0.0000,0.0000,0.0000,1.7982,0.0001,200,69.4985
1.8012,0.0000,0.0000,0.0000,1.8010,0.0001,200,71.2970
1.8428,0.0000,0.0000,0.0000,1.8426,0.0001,200,73.0982
1.7422,0.0000,0.0000,0.0000,1.7421,0.0001,200,74.9409
1.8107,0.0000,0.0000,0.0001,1.8105,0.0001,200,76.6832
1.8578,0.0000,0.0000,0.0000,1.8575,0.0001,200,78.4938
1.7952,0.0000,0.0000,0.0000,1.7951,0.0001,200,80.3516
1.9198,0.0000,0.0000,0.0000,1.9197,0.0001,200,82.1469
1.8543,0.0000,0.0000,0.0000,1.8542,0.0001,200,84.0667
1.7569,0.0000,0.0000,0.0000,1.7567,0.0001,200,85.9210
1.8505,0.0000,0.0000,0.0001,1.8503,0.0001,200,87.6779
1.8421,0.0000,0.0000,0.0000,1.8419,0.0001,200,89.5284
1.7607,0.0000,0.0000,0.0000,1.7605,0.0001,200,91.3705
1.8787,0.0000,0.0000,0.0000,1.8785,0.0001,200,93.1311
1.8330,0.0000,0.0000,0.0000,1.8328,0.0001,200,95.0098
1.7782,0.0000,0.0000,0.0000,1.7780,0.0001,200,96.8428
1.8272,0.0000,0.0000,0.0000,1.8271,0.0001,200,98.6209
1.8281,0.0000,0.0000,0.0000,1.8279,0.0001,200,100.4482
1.8247,0.0000,0.0000,0.0000,1.8246,0.0001,200,102.2763
