response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
150.0637,0.0434,0.0012,0.0000,150.0200,0.0002,200,0.0008
152.6462,0.0282,0.0015,0.0001,152.6177,0.0001,200,0.0003
155.9369,0.0476,0.0013,0.0001,155.8890,0.0002,200,0.0007
158.3824,0.0442,0.0013,0.0001,158.3379,0.0001,200,0.0004
305.1674,0.0759,0.0012,0.0000,305.0913,0.0001,200,0.0009
307.7539,0.0774,0.0012,0.0000,307.6764,0.0001,200,0.0007
311.6323,0.0428,0.0009,0.0010,311.5885,0.0001,200,0.0010
313.9801,0.0765,0.0010,0.0000,313.9035,0.0001,200,0.0011
460.0488,0.0748,0.0011,0.0000,459.9739,0.0001,200,0.0010
465.0495,0.0416,0.0007,0.0000,465.0077,0.0001,200,0.0011
465.8851,0.0453,0.0015,0.0000,465.8396,0.0001,200,0.0003
468.1281,0.0760,0.0012,0.0000,468.0519,0.0001,200,0.0008
614.3657,0.0951,0.0010,0.0001,614.2704,0.0001,200,0.0011
618.2417,0.0766,0.0009,0.0000,618.1649,0.0002,200,0.0010
623.0099,0.0417,0.0009,0.0000,622.9681,0.0001,200,0.0010
626.3673,0.0974,0.0012,0.0007,626.2689,0.0001,200,0.0006
770.3043,0.1161,0.0011,0.0000,770.1880,0.0001,200,0.0010
774.9754,0.1369,0.0012,0.0001,774.8383,0.0001,200,0.0009
777.0196,0.0967,0.0010,0.0003,776.9226,0.0001,200,0.0009
779.0099,0.1562,0.0011,0.0000,778.8535,0.0001,200,0.0009
