response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.7566,0.0402,0.0009,0.0000,3.7162,0.0001,200,0.0012
4.6977,0.0510,0.0015,0.0001,4.6463,0.0001,200,0.0005
5.5387,0.0385,0.0011,0.0001,5.5000,0.0001,200,0.0009
5.5416,0.0268,0.0010,0.0001,5.5146,0.0001,200,0.0011
8.7836,0.0391,0.0009,0.0001,8.7443,0.0001,200,0.0013
9.9246,0.0716,0.0008,0.0000,9.8528,0.0001,200,0.0014
11.5724,0.0727,0.0009,0.0000,11.4995,0.0001,200,0.0012
11.5759,0.0592,0.0003,0.0001,11.5165,0.0001,200,0.0016
13.2809,0.0387,0.0010,0.0000,13.2421,0.0001,200,0.0009
14.9825,0.0801,0.0009,0.0000,14.9023,0.0001,200,0.0012
17.3091,0.1127,0.0007,0.0000,17.1962,0.0001,200,0.0014
17.3099,0.0403,0.0008,0.0000,17.2695,0.0000,200,0.0011
17.8777,0.1312,0.0014,0.0000,17.7462,0.0001,200,0.0005
18.6165,0.0929,0.0006,0.0000,18.5234,0.0001,200,0.0015
23.7155,0.0722,0.0010,0.0001,23.6431,0.0001,200,0.0010
23.7189,0.1310,0.0014,0.0001,23.5878,0.0001,200,0.0007
23.7207,0.0393,0.0010,0.0008,23.6805,0.0001,200,0.0011
23.7248,0.1134,0.0013,0.0001,23.6113,0.0001,200,0.0008
26.1599,0.0919,0.0006,0.0000,26.0679,0.0001,200,0.0016
26.1697,0.0728,0.0008,0.0000,26.0969,0.0001,200,0.0012
