response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
47.7066,0.0770,0.0019,0.0000,47.6294,0.0001,200,0.0007
48.0278,0.0756,0.0019,0.0000,47.9519,0.0001,200,0.0004
48.1915,0.0502,0.0019,0.0001,48.1409,0.0001,200,0.0003
48.7085,0.0295,0.0016,0.0001,48.6788,0.0000,200,0.0007
95.4885,0.0420,0.0014,0.0000,95.4464,0.0001,200,0.0007
95.8926,0.0424,0.0016,0.0000,95.8500,0.0001,200,0.0008
95.9441,0.0420,0.0017,0.0000,95.9019,0.0001,200,0.0007
96.4063,0.0438,0.0014,0.0000,96.3623,0.0001,200,0.0009
143.1076,0.0949,0.0016,0.0000,143.0126,0.0001,200,0.0010
143.3532,0.0763,0.0016,0.0000,143.2768,0.0001,200,0.0009
143.7544,0.0425,0.0011,0.0001,143.7117,0.0001,200,0.0012
143.9553,0.0756,0.0015,0.0000,143.8795,0.0001,200,0.0010
188.5580,0.1153,0.0015,0.0000,188.4426,0.0001,200,0.0012
188.6993,0.0974,0.0014,0.0001,188.6017,0.0001,200,0.0010
189.3255,0.0432,0.0019,0.0001,189.2819,0.0001,200,0.0003
189.6705,0.1143,0.0015,0.0001,189.5560,0.0001,200,0.0011
235.3789,0.0637,0.0015,0.0000,235.3150,0.0001,200,0.0011
235.8034,0.1037,0.0014,0.0000,235.6996,0.0001,200,0.0009
235.9770,0.1245,0.0017,0.0000,235.8524,0.0000,200,0.0007
236.0120,0.0840,0.0014,0.0000,235.9278,0.0001,200,0.0009
