response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
24.5172,0.0294,0.0008,0.0001,24.4875,0.0002,200,0.0010
24.8426,0.0428,0.0005,0.0001,24.7997,0.0001,200,0.0012
24.8596,0.0433,0.0009,0.0000,24.8162,0.0001,200,0.0008
24.8956,0.0772,0.0010,0.0000,24.8183,0.0001,200,0.0011
44.6813,0.0776,0.0009,0.0001,44.6036,0.0001,200,0.0010
49.4334,0.1034,0.0009,0.0001,49.3297,0.0001,200,0.0011
49.4685,0.0773,0.0009,0.0000,49.3910,0.0001,200,0.0009
49.4706,0.0442,0.0013,0.0000,49.4263,0.0001,200,0.0007
65.3521,0.0306,0.0009,0.0001,65.3212,0.0001,200,0.0009
73.7861,0.0689,0.0013,0.0000,73.7170,0.0001,200,0.0004
73.9317,0.0886,0.0009,0.0001,73.8429,0.0001,200,0.0011
73.9634,0.0492,0.0013,0.0001,73.9140,0.0000,200,0.0008
86.7844,0.1114,0.0013,0.0002,86.6727,0.0001,200,0.0008
97.4372,0.1122,0.0010,0.0000,97.3249,0.0001,200,0.0011
98.2155,0.1697,0.0013,0.0001,98.0456,0.0001,200,0.0007
98.2167,0.1103,0.0013,0.0000,98.1063,0.0001,200,0.0003
109.9213,0.0763,0.0013,0.0000,109.8449,0.0001,200,0.0007
116.3296,0.1310,0.0016,0.0000,116.1984,0.0001,200,0.0004
116.8898,0.0433,0.0013,0.0000,116.8463,0.0001,200,0.0006
116.9336,0.1502,0.0013,0.0000,116.7831,0.0001,200,0.0005
