response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.2744,0.0755,0.0017,0.0000,6.1986,0.0002,200,0.0003
6.3992,0.0421,0.0016,0.0000,6.3569,0.0001,200,0.0005
6.4117,0.0414,0.0014,0.0000,6.3702,0.0001,200,0.0006
6.5000,0.0410,0.0012,0.0000,6.4589,0.0001,200,0.0007
12.3580,0.0740,0.0013,0.0001,12.2838,0.0001,200,0.0009
12.5238,0.0783,0.0013,0.0000,12.4453,0.0001,200,0.0008
12.5869,0.0364,0.0012,0.0000,12.5503,0.0001,200,0.0007
12.6750,0.0328,0.0014,0.0001,12.6420,0.0001,200,0.0007
18.3988,0.0640,0.0014,0.0000,18.3347,0.0001,200,0.0007
18.6649,0.0560,0.0013,0.0000,18.6088,0.0001,200,0.0009
19.4369,0.0848,0.0016,0.0001,19.3519,0.0001,200,0.0006
19.5686,0.0756,0.0015,0.0000,19.4927,0.0001,200,0.0005
25.1727,0.1106,0.0013,0.0000,25.0620,0.0001,200,0.0008
25.2801,0.0419,0.0012,0.0000,25.2381,0.0001,200,0.0008
25.8169,0.0408,0.0009,0.0001,25.7760,0.0001,200,0.0009
26.0505,0.1081,0.0017,0.0001,25.9422,0.0001,200,0.0003
31.1964,0.0741,0.0013,0.0000,31.1221,0.0001,200,0.0008
31.3679,0.1274,0.0014,0.0000,31.2403,0.0001,200,0.0005
32.3118,0.1641,0.0012,0.0000,32.1475,0.0001,200,0.0008
32.5597,0.1456,0.0012,0.0000,32.4140,0.0001,200,0.0008
