response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1364,0.0461,0.0011,0.0000,0.0901,0.0001,500,0.0012
0.1533,0.0781,0.0011,0.0001,0.0751,0.0000,500,0.0010
0.1533,0.0470,0.0012,0.0000,0.1062,0.0001,500,0.0011
0.1567,0.0619,0.0011,0.0001,0.0947,0.0000,500,0.0010
0.1620,0.0796,0.0015,0.0001,0.0822,0.0000,500,0.0005
0.1656,0.0803,0.0015,0.0000,0.0851,0.0001,500,0.0004
0.1649,0.0447,0.0008,0.0001,0.1200,0.0000,500,0.0012
0.1749,0.0325,0.0011,0.0001,0.1422,0.0000,500,0.0011
0.1766,0.0462,0.0011,0.0000,0.1303,0.0000,500,0.0009
0.1814,0.0455,0.0018,0.0001,0.1357,0.0000,500,0.0004
0.1864,0.0981,0.0011,0.0001,0.0881,0.0001,500,0.0010
0.1869,0.0803,0.0013,0.0000,0.1064,0.0001,500,0.0008
0.1896,0.1363,0.0014,0.0000,0.0531,0.0000,500,0.0008
0.1943,0.0000,0.0015,0.0000,0.0573,0.0001,500,0.0007
0.2020,0.1182,0.0014,0.0000,0.0837,0.0001,500,0.0008
0.2030,0.0465,0.0014,0.0001,0.1563,0.0001,500,0.0009
0.2062,0.0807,0.0014,0.0001,0.1254,0.0000,500,0.0009
0.2098,0.1006,0.0011,0.0001,0.1091,0.0000,500,0.0011
0.2122,0.1200,0.0011,0.0000,0.0921,0.0000,500,0.0009
30.1680,0.0797,0.0016,0.0000,30.0881,0.0001,200,0.0006
