response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.0330,0.0453,0.0010,0.0001,8.9874,0.0002,200,0.0010
13.0985,0.0512,0.0009,0.0000,13.0471,0.0001,200,0.0011
13.2522,0.0722,0.0010,0.0000,13.1799,0.0001,200,0.0010
13.8392,0.0446,0.0010,0.0001,13.7942,0.0001,200,0.0005
19.7683,0.0784,0.0013,0.0000,19.6895,0.0001,200,0.0004
23.9277,0.0660,0.0010,0.0000,23.8615,0.0001,200,0.0010
25.8373,0.0424,0.0009,0.0001,25.7947,0.0001,200,0.0011
27.9834,0.0869,0.0011,0.0000,27.8964,0.0001,200,0.0008
31.4631,0.0393,0.0009,0.0001,31.4236,0.0001,200,0.0011
35.8844,0.0777,0.0016,0.0001,35.8065,0.0001,200,0.0003
38.0498,0.0445,0.0012,0.0000,38.0051,0.0001,200,0.0009
40.4476,0.1106,0.0009,0.0003,40.3364,0.0001,200,0.0007
43.5471,0.0581,0.0012,0.0001,43.4889,0.0001,200,0.0009
48.0022,0.0905,0.0010,0.0000,47.9116,0.0001,200,0.0009
49.8635,0.1188,0.0007,0.0000,49.7445,0.0001,200,0.0012
52.6081,0.0786,0.0012,0.0000,52.5294,0.0001,200,0.0007
55.5378,0.0453,0.0009,0.0001,55.4923,0.0001,200,0.0010
58.5784,0.0979,0.0010,0.0000,58.4803,0.0001,200,0.0009
59.3898,0.1359,0.0010,0.0000,59.2538,0.0001,200,0.0010
60.0063,0.1173,0.0011,0.0001,59.8889,0.0001,200,0.0008
