response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
29.4640,0.0392,0.0015,0.0001,29.4245,0.0002,200,0.0008
29.9464,0.0391,0.0008,0.0001,29.9073,0.0001,200,0.0012
30.0104,0.0412,0.0016,0.0001,29.9690,0.0000,200,0.0007
30.1368,0.0597,0.0011,0.0000,30.0770,0.0000,200,0.0011
58.4493,0.0790,0.0011,0.0001,58.3700,0.0001,200,0.0005
58.4493,0.0790,0.0012,0.0000,58.3702,0.0001,200,0.0008
58.5749,0.0584,0.0010,0.0002,58.5163,0.0000,200,0.0011
58.5880,0.0410,0.0016,0.0000,58.5469,0.0001,200,0.0007
87.2302,0.0667,0.0016,0.0000,87.1634,0.0001,200,0.0007
90.1374,0.0866,0.0015,0.0001,90.0507,0.0001,200,0.0008
90.8634,0.0278,0.0016,0.0001,90.8354,0.0001,200,0.0006
90.9099,0.0471,0.0013,0.0001,90.8627,0.0000,200,0.0009
116.1193,0.1099,0.0012,0.0000,116.0093,0.0001,200,0.0009
116.2059,0.1072,0.0015,0.0000,116.0986,0.0001,200,0.0006
116.2718,0.0415,0.0015,0.0000,116.2301,0.0001,200,0.0005
116.3243,0.0751,0.0012,0.0000,116.2491,0.0000,200,0.0009
146.1624,0.0719,0.0015,0.0001,146.0903,0.0001,200,0.0007
146.2224,0.0400,0.0011,0.0002,146.1820,0.0001,200,0.0005
146.3449,0.1262,0.0011,0.0000,146.2185,0.0001,200,0.0010
146.3967,0.1057,0.0012,0.0001,146.2908,0.0001,200,0.0010
