response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.5224,0.0439,0.0011,0.0000,10.4783,0.0002,200,0.0009
19.6441,0.0434,0.0007,0.0010,19.5996,0.0001,200,0.0009
28.7320,0.0443,0.0010,0.0001,28.6873,0.0001,200,0.0008
37.0808,0.0440,0.0014,0.0008,37.0358,0.0001,200,0.0004
45.2765,0.0437,0.0014,0.0000,45.2327,0.0001,200,0.0005
54.4102,0.0632,0.0009,0.0000,54.3469,0.0001,200,0.0010
62.7640,0.0456,0.0010,0.0001,62.7180,0.0001,200,0.0005
71.0068,0.0767,0.0014,0.0000,70.9300,0.0001,200,0.0007
80.0417,0.0754,0.0011,0.0001,79.9661,0.0001,200,0.0009
89.2154,0.0423,0.0010,0.0001,89.1729,0.0001,200,0.0008
97.3222,0.1133,0.0014,0.0001,97.2087,0.0001,200,0.0006
105.4078,0.0947,0.0014,0.0001,105.3130,0.0001,200,0.0005
114.5404,0.1339,0.0014,0.0000,114.4063,0.0001,200,0.0007
123.0332,0.0451,0.0014,0.0000,122.9879,0.0001,200,0.0004
131.5895,0.0817,0.0010,0.0000,131.5076,0.0001,200,0.0010
140.5504,0.0625,0.0010,0.0000,140.4878,0.0001,200,0.0007
149.5010,0.1193,0.0014,0.0000,149.3816,0.0001,200,0.0006
157.2286,0.1007,0.0014,0.0000,157.1277,0.0001,200,0.0006
165.1391,0.1381,0.0009,0.0000,165.0009,0.0001,200,0.0010
173.7760,0.1571,0.0011,0.0000,173.6187,0.0001,200,0.0008
