response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
26.8162,0.0445,0.0015,0.0001,26.7715,0.0001,200,0.0006
27.0317,0.0362,0.0012,0.0000,26.9951,0.0001,200,0.0005
27.1470,0.0762,0.0015,0.0000,27.0707,0.0001,200,0.0007
27.2216,0.0433,0.0016,0.0001,27.1781,0.0001,200,0.0007
52.7563,0.0569,0.0012,0.0001,52.6993,0.0001,200,0.0008
53.0458,0.0477,0.0013,0.0000,52.9979,0.0001,200,0.0008
53.5370,0.0675,0.0016,0.0001,53.4692,0.0001,200,0.0003
54.2342,0.0857,0.0016,0.0000,54.1483,0.0001,200,0.0004
78.2435,0.0882,0.0012,0.0001,78.1550,0.0001,200,0.0008
78.3183,0.0584,0.0012,0.0000,78.2598,0.0001,200,0.0008
79.1020,0.0792,0.0012,0.0001,79.0227,0.0001,200,0.0009
79.5099,0.0365,0.0012,0.0001,79.4731,0.0001,200,0.0007
103.4347,0.1008,0.0015,0.0004,103.3332,0.0001,200,0.0005
103.5251,0.1116,0.0011,0.0000,103.4133,0.0001,200,0.0010
103.5833,0.0782,0.0011,0.0000,103.5049,0.0001,200,0.0009
105.3431,0.0441,0.0008,0.0000,105.2989,0.0001,200,0.0010
128.1307,0.0440,0.0012,0.0001,128.0864,0.0001,200,0.0010
128.5079,0.1322,0.0016,0.0001,128.3755,0.0001,200,0.0005
128.5576,0.0778,0.0011,0.0001,128.4796,0.0001,200,0.0009
128.6725,0.1122,0.0013,0.0001,128.5602,0.0001,200,0.0009
