response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.0373,0.0429,0.0016,0.0000,7.9940,0.0001,200,0.0003
8.3286,0.0463,0.0016,0.0001,8.2822,0.0001,200,0.0009
8.4376,0.0374,0.0019,0.0000,8.4000,0.0001,200,0.0004
8.8101,0.0536,0.0015,0.0000,8.7564,0.0001,200,0.0010
16.5267,0.0812,0.0013,0.0001,16.4453,0.0001,200,0.0011
16.7092,0.0741,0.0019,0.0000,16.6349,0.0001,200,0.0006
16.8386,0.1542,0.0018,0.0000,16.6843,0.0001,200,0.0009
16.9135,0.1146,0.0015,0.0001,16.7987,0.0001,200,0.0010
24.4374,0.0478,0.0015,0.0001,24.3894,0.0001,200,0.0008
24.4633,0.1354,0.0019,0.0001,24.3277,0.0001,200,0.0004
24.5885,0.0575,0.0016,0.0000,24.5309,0.0001,200,0.0010
24.6998,0.0338,0.0015,0.0001,24.6658,0.0001,200,0.0009
32.6188,0.1778,0.0015,0.0000,32.4408,0.0001,200,0.0010
32.7251,0.0826,0.0018,0.0001,32.6423,0.0001,200,0.0008
32.9570,0.1605,0.0018,0.0001,32.7963,0.0000,200,0.0008
32.9991,0.1158,0.0019,0.0000,32.8832,0.0001,200,0.0008
40.8772,0.2164,0.0019,0.0000,40.6606,0.0001,200,0.0006
40.9274,0.0482,0.0018,0.0001,40.8791,0.0000,200,0.0008
40.9955,0.1968,0.0016,0.0001,40.7985,0.0001,200,0.0009
41.0035,0.1368,0.0015,0.0000,40.8666,0.0001,200,0.0010
