response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.4254,0.0427,0.0016,0.0001,12.3823,0.0001,200,0.0004
16.1834,0.0766,0.0012,0.0000,16.1067,0.0001,200,0.0009
19.2280,0.0436,0.0013,0.0001,19.1842,0.0001,200,0.0010
26.8090,0.0438,0.0012,0.0000,26.7650,0.0001,200,0.0010
29.3430,0.0768,0.0010,0.0000,29.2660,0.0001,200,0.0011
31.4563,0.0428,0.0014,0.0001,31.4134,0.0001,200,0.0007
41.0557,0.0434,0.0013,0.0000,41.0121,0.0001,200,0.0009
44.3769,0.0773,0.0015,0.0000,44.2994,0.0001,200,0.0006
47.7773,0.0778,0.0013,0.0000,47.6993,0.0001,200,0.0008
49.9571,0.0763,0.0013,0.0001,49.8806,0.0001,200,0.0010
59.4998,0.0427,0.0015,0.0001,59.4569,0.0001,200,0.0005
62.1887,0.0755,0.0012,0.0000,62.1130,0.0001,200,0.0008
66.5248,0.0451,0.0014,0.0001,66.4795,0.0001,200,0.0007
69.8402,0.0979,0.0015,0.0001,69.7419,0.0001,200,0.0005
78.6384,0.0975,0.0014,0.0001,78.5407,0.0001,200,0.0009
80.6266,0.0450,0.0014,0.0001,80.5814,0.0001,200,0.0008
85.3540,0.0629,0.0012,0.0001,85.2909,0.0001,200,0.0010
87.7086,0.0832,0.0014,0.0001,87.6253,0.0001,200,0.0007
93.1983,0.1023,0.0012,0.0000,93.0958,0.0001,200,0.0009
93.3366,0.1214,0.0013,0.0000,93.2151,0.0001,200,0.0009
