response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.1846,0.0422,0.0010,0.0000,14.1421,0.0002,200,0.0010
16.0912,0.0486,0.0014,0.0000,16.0420,0.0002,200,0.0004
17.0500,0.0282,0.0014,0.0001,17.0216,0.0001,200,0.0009
17.0741,0.0433,0.0010,0.0000,17.0306,0.0001,200,0.0011
20.8269,0.0413,0.0011,0.0001,20.7854,0.0001,200,0.0009
28.5866,0.0624,0.0015,0.0000,28.5239,0.0001,200,0.0005
33.9177,0.0424,0.0014,0.0001,33.8751,0.0001,200,0.0008
35.3776,0.0815,0.0012,0.0000,35.2960,0.0001,200,0.0010
35.3920,0.0763,0.0014,0.0000,35.3156,0.0001,200,0.0008
35.9399,0.1100,0.0010,0.0000,35.8297,0.0001,200,0.0010
39.6040,0.1089,0.0014,0.0004,39.4946,0.0001,200,0.0008
50.0080,0.1284,0.0015,0.0000,49.8791,0.0001,200,0.0004
50.0696,0.0428,0.0012,0.0001,50.0266,0.0001,200,0.0010
50.0699,0.0752,0.0014,0.0000,49.9946,0.0001,200,0.0009
50.9412,0.0410,0.0009,0.0000,50.9000,0.0002,200,0.0011
63.9024,0.0610,0.0010,0.0001,63.8412,0.0001,200,0.0011
66.1845,0.0807,0.0012,0.0000,66.1036,0.0001,200,0.0008
66.9540,0.0996,0.0010,0.0000,66.8541,0.0002,200,0.0011
66.9562,0.1194,0.0015,0.0001,66.8363,0.0001,200,0.0004
70.0163,0.1391,0.0012,0.0001,69.8770,0.0001,200,0.0009
