response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.3039,0.0433,0.0011,0.0000,10.2605,0.0001,200,0.0008
10.4876,0.0605,0.0012,0.0000,10.4269,0.0001,200,0.0009
10.5676,0.0429,0.0014,0.0000,10.5245,0.0001,200,0.0007
10.6181,0.0421,0.0011,0.0001,10.5759,0.0001,200,0.0008
14.1323,0.0799,0.0014,0.0001,14.0523,0.0001,200,0.0008
17.3202,0.0466,0.0009,0.0000,17.2733,0.0001,200,0.0009
19.5467,0.0861,0.0015,0.0000,19.4604,0.0001,200,0.0006
19.7263,0.0664,0.0014,0.0000,19.6598,0.0001,200,0.0007
19.8866,0.0273,0.0009,0.0001,19.8591,0.0001,200,0.0010
20.0322,0.0423,0.0015,0.0000,19.9898,0.0000,200,0.0004
22.8591,0.0758,0.0015,0.0000,22.7832,0.0001,200,0.0007
28.5954,0.1081,0.0011,0.0000,28.4872,0.0001,200,0.0009
28.8181,0.0421,0.0009,0.0000,28.7758,0.0001,200,0.0011
28.9105,0.1079,0.0013,0.0000,28.8024,0.0001,200,0.0008
28.9943,0.0749,0.0014,0.0001,28.9192,0.0001,200,0.0006
31.9370,0.0405,0.0007,0.0000,31.8963,0.0001,200,0.0011
37.5884,0.1185,0.0010,0.0000,37.4697,0.0001,200,0.0011
38.0039,0.1011,0.0015,0.0000,37.9026,0.0001,200,0.0004
38.0903,0.0602,0.0009,0.0000,38.0299,0.0000,200,0.0010
38.1442,0.0809,0.0011,0.0000,38.0631,0.0001,200,0.0009
