response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
63.3980,0.0648,0.0012,0.0000,63.3330,0.0002,200,0.0009
65.8780,0.0441,0.0012,0.0001,65.8337,0.0001,200,0.0009
65.8920,0.0437,0.0017,0.0001,65.8482,0.0001,200,0.0005
66.1002,0.0432,0.0014,0.0008,66.0561,0.0001,200,0.0008
127.6481,0.0412,0.0013,0.0001,127.6066,0.0001,200,0.0007
131.7424,0.0754,0.0015,0.0001,131.6668,0.0001,200,0.0006
132.3242,0.0745,0.0017,0.0000,132.2495,0.0001,200,0.0004
132.3316,0.0435,0.0017,0.0001,132.2877,0.0001,200,0.0004
191.3443,0.0767,0.0015,0.0000,191.2675,0.0001,200,0.0006
196.8111,0.0431,0.0009,0.0001,196.7677,0.0002,200,0.0010
197.2990,0.1102,0.0014,0.0001,197.1886,0.0001,200,0.0009
199.5862,0.1076,0.0015,0.0000,199.4784,0.0001,200,0.0005
256.5356,0.1060,0.0013,0.0001,256.4294,0.0001,200,0.0009
261.9485,0.0705,0.0013,0.0001,261.8778,0.0001,200,0.0007
264.6610,0.0424,0.0015,0.0011,264.6174,0.0001,200,0.0007
267.8740,0.1261,0.0013,0.0001,267.7477,0.0001,200,0.0008
322.8760,0.0752,0.0013,0.0000,322.8006,0.0001,200,0.0008
326.6394,0.0423,0.0014,0.0009,326.5960,0.0001,200,0.0008
329.3661,0.1105,0.0015,0.0001,329.2553,0.0001,200,0.0007
331.6865,0.1275,0.0017,0.0001,331.5588,0.0001,200,0.0004
