response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1656,0.0288,0.0012,0.0001,0.1365,0.0001,200,1.0061
0.3906,0.0291,0.0012,0.0001,0.3611,0.0001,200,1.0060
0.4348,0.0430,0.0009,0.0001,0.3915,0.0001,200,1.0061
0.4463,0.0427,0.0012,0.0001,0.4035,0.0001,200,1.0062
0.4515,0.0480,0.0013,0.0000,0.4032,0.0001,200,1.0060
0.4847,0.0616,0.0013,0.0000,0.4229,0.0001,200,1.0061
0.3377,0.0000,0.0000,0.0000,0.3375,0.0001,200,2.0060
0.3689,0.0000,0.0000,0.0001,0.3687,0.0002,200,2.0062
0.3895,0.0000,0.0000,0.0000,0.3894,0.0001,200,2.0062
0.3943,0.0000,0.0000,0.0000,0.3942,0.0001,200,2.0061
0.4766,0.0000,0.0000,0.0000,0.4765,0.0001,200,2.0061
0.4906,0.0000,0.0000,0.0000,0.4905,0.0000,200,2.0061
0.3771,0.0000,0.0000,0.0001,0.3769,0.0001,200,3.0062
0.3820,0.0000,0.0000,0.0000,0.3819,0.0000,200,3.0061
0.3925,0.0000,0.0000,0.0000,0.3924,0.0001,200,3.0061
0.4088,0.0000,0.0000,0.0000,0.4087,0.0001,200,3.0061
0.4953,0.0000,0.0000,0.0000,0.4951,0.0001,200,3.0062
0.5009,0.0000,0.0000,0.0000,0.5007,0.0001,200,3.0061
0.3834,0.0000,0.0000,0.0000,0.3833,0.0001,200,4.0061
0.3988,0.0000,0.0000,0.0000,0.3987,0.0001,200,4.0062
0.4118,0.0000,0.0000,0.0000,0.4117,0.0001,200,4.0062
0.4222,0.0000,0.0000,0.0000,0.4220,0.0000,200,4.0061
0.4920,0.0000,0.0000,0.0000,0.4919,0.0001,200,4.0062
0.5071,0.0000,0.0000,0.0000,0.5070,0.0001,200,4.0062
0.3167,0.0000,0.0000,0.0000,0.3166,0.0001,200,5.0061
0.3699,0.0000,0.0000,0.0000,0.3698,0.0001,200,5.0061
0.3854,0.0000,0.0000,0.0000,0.3853,0.0001,200,5.0062
0.4081,0.0000,0.0000,0.0000,0.4080,0.0001,200,5.0060
0.4768,0.0000,0.0000,0.0000,0.4766,0.0000,200,5.0061
0.4769,0.0000,0.0000,0.0000,0.4768,0.0000,200,5.0061
0.2817,0.0000,0.0000,0.0000,0.2815,0.0001,200,6.0060
0.3938,0.0000,0.0000,0.0000,0.3937,0.0000,200,6.0062
0.3938,0.0000,0.0000,0.0000,0.3937,0.0000,200,6.0062
0.4039,0.0000,0.0000,0.0000,0.4038,0.0001,200,6.0061
0.4962,0.0000,0.0000,0.0001,0.4960,0.0001,200,6.0061
0.4963,0.0000,0.0000,0.0000,0.4961,0.0001,200,6.0061
0.3412,0.0000,0.0000,0.0000,0.3411,0.0001,200,7.0060
0.4239,0.0000,0.0000,0.0000,0.4238,0.0001,200,7.0061
0.4240,0.0000,0.0000,0.0000,0.4239,0.0000,200,7.0061
0.4394,0.0000,0.0000,0.0000,0.4393,0.0001,200,7.0060
0.4853,0.0000,0.0000,0.0001,0.4851,0.0001,200,7.0060
0.4998,0.0000,0.0000,0.0000,0.4997,0.0000,200,7.0061
0.3765,0.0000,0.0000,0.0000,0.3763,0.0001,200,8.0062
0.3954,0.0000,0.0000,0.0000,0.3952,0.0001,200,8.0062
0.4163,0.0000,0.0000,0.0000,0.4162,0.0001,200,8.0061
0.4271,0.0000,0.0000,0.0000,0.4269,0.0001,200,8.0061
0.5319,0.0000,0.0000,0.0000,0.5317,0.0000,200,8.0061
0.5318,0.0000,0.0000,0.0000,0.5316,0.0001,200,8.0062
0.3627,0.0000,0.0000,0.0000,0.3626,0.0001,200,9.0061
0.4061,0.0000,0.0000,0.0000,0.4060,0.0001,200,9.0061
0.4179,0.0000,0.0000,0.0000,0.4178,0.0000,200,9.0061
0.4180,0.0000,0.0000,0.0000,0.4179,0.0001,200,9.0060
0.5067,0.0000,0.0000,0.0000,0.5066,0.0001,200,9.0061
0.5078,0.0000,0.0000,0.0001,0.5076,0.0001,200,9.0060
