response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1093,0.0276,0.0011,0.0001,0.0812,0.0001,200,1.0036
0.2353,0.0278,0.0012,0.0001,0.2071,0.0001,200,1.0036
0.2548,0.0278,0.0012,0.0002,0.2266,0.0001,200,1.0036
0.2690,0.0472,0.0013,0.0001,0.2216,0.0001,200,1.0036
0.2645,0.0000,0.0000,0.0000,0.2644,0.0001,200,2.0035
0.2830,0.0000,0.0000,0.0000,0.2829,0.0001,200,2.0036
0.3173,0.0000,0.0000,0.0000,0.3172,0.0001,200,2.0036
0.3174,0.0000,0.0000,0.0000,0.3173,0.0000,200,2.0037
0.3579,0.0000,0.0000,0.0001,0.3578,0.0001,200,3.0037
0.3580,0.0000,0.0000,0.0001,0.3578,0.0001,200,3.0037
0.3585,0.0000,0.0000,0.0001,0.3583,0.0001,200,3.0037
0.3588,0.0000,0.0000,0.0001,0.3587,0.0001,200,3.0037
0.0693,0.0000,0.0000,0.0001,0.0692,0.0001,200,4.0037
0.1582,0.0000,0.0000,0.0000,0.1580,0.0001,200,4.0037
0.2203,0.0000,0.0000,0.0001,0.2202,0.0000,200,4.0037
0.2241,0.0000,0.0000,0.0000,0.2240,0.0001,200,4.0038
0.1135,0.0000,0.0000,0.0000,0.1134,0.0001,200,5.0036
0.1295,0.0000,0.0000,0.0000,0.1294,0.0000,200,5.0036
0.1334,0.0000,0.0000,0.0000,0.1333,0.0001,200,5.0036
0.1431,0.0000,0.0000,0.0001,0.1429,0.0001,200,5.0037
0.3409,0.0000,0.0000,0.0000,0.3408,0.0001,200,6.0038
0.3467,0.0000,0.0000,0.0000,0.3465,0.0000,200,6.0036
0.3465,0.0000,0.0000,0.0000,0.3464,0.0000,200,6.0037
0.3465,0.0000,0.0000,0.0000,0.3465,0.0000,200,6.0038
0.2544,0.0000,0.0000,0.0000,0.2542,0.0001,200,7.0038
0.3256,0.0000,0.0000,0.0001,0.3254,0.0000,200,7.0038
0.3258,0.0000,0.0000,0.0000,0.3258,0.0000,200,7.0039
0.3260,0.0000,0.0000,0.0000,0.3259,0.0000,200,7.0038
0.0675,0.0000,0.0000,0.0000,0.0673,0.0001,200,8.0035
0.2477,0.0000,0.0000,0.0000,0.2476,0.0000,200,8.0037
0.2477,0.0000,0.0000,0.0000,0.2476,0.0000,200,8.0037
0.2479,0.0000,0.0000,0.0000,0.2477,0.0001,200,8.0036
0.0724,0.0000,0.0000,0.0000,0.0722,0.0001,200,9.0037
0.2408,0.0000,0.0000,0.0000,0.2406,0.0001,200,9.0038
0.2518,0.0000,0.0000,0.0000,0.2516,0.0001,200,9.0038
0.2518,0.0000,0.0000,0.0000,0.2516,0.0000,200,9.0038
0.0690,0.0000,0.0000,0.0000,0.0689,0.0001,200,10.0036
0.2405,0.0000,0.0000,0.0000,0.2404,0.0001,200,10.0036
0.2412,0.0000,0.0000,0.0000,0.2411,0.0001,200,10.0037
0.2415,0.0000,0.0000,0.0000,0.2414,0.0000,200,10.0035
0.2328,0.0000,0.0000,0.0000,0.2327,0.0001,200,11.0037
0.2952,0.0000,0.0000,0.0000,0.2949,0.0001,200,11.0036
0.2997,0.0000,0.0000,0.0000,0.2994,0.0001,200,11.0037
0.3155,0.0000,0.0000,0.0000,0.3153,0.0001,200,11.0037
0.0620,0.0000,0.0000,0.0000,0.0618,0.0001,200,12.0038
0.1706,0.0000,0.0000,0.0000,0.1704,0.0001,200,12.0037
0.2107,0.0000,0.0000,0.0000,0.2104,0.0001,200,12.0037
0.2236,0.0000,0.0000,0.0000,0.2235,0.0001,200,12.0037
0.0696,0.0000,0.0000,0.0000,0.0695,0.0001,200,13.0035
0.2619,0.0000,0.0000,0.0000,0.2617,0.0001,200,13.0036
0.2619,0.0000,0.0000,0.0000,0.2618,0.0000,200,13.0036
0.2621,0.0000,0.0000,0.0000,0.2619,0.0000,200,13.0034
0.0747,0.0000,0.0000,0.0000,0.0745,0.0001,200,14.0037
0.2435,0.0000,0.0000,0.0000,0.2433,0.0001,200,14.0038
0.2436,0.0000,0.0000,0.0000,0.2435,0.0000,200,14.0038
0.2436,0.0000,0.0000,0.0000,0.2435,0.0000,200,14.0038
0.0766,0.0000,0.0000,0.0000,0.0765,0.0001,200,15.0038
