response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1349,0.0587,0.0008,0.0000,0.0760,0.0001,200,1.0055
0.1540,0.0282,0.0009,0.0001,0.1257,0.0001,200,1.0052
0.1773,0.0500,0.0009,0.0000,0.1272,0.0000,200,1.0053
0.1921,0.1090,0.0019,0.0000,0.0830,0.0001,200,1.0049
0.2117,0.0000,0.0019,0.0000,0.0574,0.0001,200,1.0050
0.2750,0.0846,0.0018,0.0000,0.1903,0.0001,200,1.0048
0.2990,0.0905,0.0017,0.0000,0.2083,0.0001,200,1.0048
0.3027,0.0429,0.0006,0.0001,0.2596,0.0001,200,1.0054
0.3079,0.1420,0.0009,0.0000,0.1657,0.0001,200,1.0053
0.3097,0.0599,0.0007,0.0000,0.2497,0.0001,200,1.0055
0.3228,0.1288,0.0019,0.0001,0.1938,0.0001,200,1.0050
0.3236,0.0772,0.0007,0.0000,0.2463,0.0001,200,1.0055
0.3845,0.0430,0.0014,0.0000,0.3412,0.0001,200,1.0045
0.3841,0.0000,0.0019,0.0000,0.2022,0.0001,200,1.0050
0.3989,0.1433,0.0003,0.0001,0.2543,0.0001,200,1.0045
0.3987,0.0416,0.0018,0.0001,0.3569,0.0001,200,1.0049
0.3987,0.0000,0.0019,0.0001,0.2599,0.0000,200,1.0049
0.4129,0.0769,0.0005,0.0000,0.3359,0.0001,200,1.0055
0.4237,0.0750,0.0006,0.0000,0.3485,0.0001,200,1.0055
0.4379,0.1599,0.0009,0.0001,0.2779,0.0001,200,1.0053
0.4487,0.0424,0.0009,0.0000,0.4061,0.0001,200,1.0052
0.4532,0.1094,0.0018,0.0001,0.3436,0.0001,200,1.0049
0.4600,0.0431,0.0009,0.0001,0.4167,0.0001,200,1.0051
0.4887,0.0000,0.0014,0.0000,0.3529,0.0001,200,1.0047
0.4886,0.1097,0.0006,0.0000,0.3788,0.0001,200,1.0054
0.4997,0.0992,0.0017,0.0001,0.4003,0.0000,200,1.0045
0.5048,0.1191,0.0016,0.0000,0.3854,0.0001,200,1.0045
0.5141,0.0752,0.0009,0.0001,0.4387,0.0001,200,1.0054
0.5205,0.1619,0.0008,0.0000,0.3585,0.0001,200,1.0055
0.5209,0.1098,0.0009,0.0001,0.4110,0.0001,200,1.0053
0.5218,0.0000,0.0019,0.0000,0.3441,0.0001,200,1.0050
0.5263,0.0741,0.0018,0.0001,0.4520,0.0001,200,1.0046
0.0628,0.0000,0.0000,0.0000,0.0627,0.0001,200,2.0048
0.1277,0.0000,0.0000,0.0000,0.1276,0.0001,200,2.0050
0.1280,0.0000,0.0000,0.0000,0.1279,0.0000,200,2.0047
0.1312,0.0000,0.0000,0.0001,0.1310,0.0001,200,2.0050
0.1471,0.0000,0.0000,0.0000,0.1470,0.0001,200,2.0048
