response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
28.8318,0.0308,0.0012,0.0001,28.8007,0.0002,200,0.0003
28.3150,0.0354,0.0011,0.0001,28.2794,0.0001,200,0.0002
30.3490,0.0367,0.0013,0.0001,30.3119,0.0001,200,0.0003
27.4444,0.0285,0.0010,0.0001,27.4155,0.0001,200,0.0004
27.5932,0.0320,0.0011,0.0001,27.5610,0.0001,200,0.0003
28.7464,0.0309,0.0014,0.0001,28.7151,0.0001,200,0.0003
28.3321,0.0303,0.0013,0.0001,28.3013,0.0002,200,0.0004
28.2928,0.0356,0.0010,0.0001,28.2569,0.0001,200,0.0003
28.3405,0.0337,0.0012,0.0001,28.3064,0.0001,200,0.0003
28.3531,0.0347,0.0015,0.0001,28.3181,0.0002,200,0.0003
28.5398,0.0389,0.0011,0.0001,28.5007,0.0002,200,0.0002
28.5545,0.0406,0.0013,0.0001,28.5136,0.0001,200,0.0003
28.3895,0.0350,0.0013,0.0001,28.3542,0.0002,200,0.0003
27.7849,0.0353,0.0010,0.0001,27.7493,0.0001,200,0.0002
27.5878,0.0370,0.0013,0.0001,27.5504,0.0001,200,0.0003
28.5608,0.0380,0.0013,0.0001,28.5225,0.0001,200,0.0003
27.8657,0.0379,0.0014,0.0001,27.8274,0.0001,200,0.0003
27.5031,0.0352,0.0014,0.0001,27.4676,0.0002,200,0.0003
28.3672,0.0304,0.0014,0.0001,28.3364,0.0002,200,0.0003
27.6901,0.0290,0.0012,0.0001,27.6607,0.0001,200,0.0003
28.3396,0.0341,0.0013,0.0001,28.3050,0.0002,200,0.0003
28.4454,0.0290,0.0014,0.0001,28.4160,0.0002,200,0.0004
28.9877,0.0346,0.0013,0.0001,28.9528,0.0001,200,0.0002
27.1482,0.0345,0.0013,0.0001,27.1134,0.0001,200,0.0002
28.2857,0.0225,0.0014,0.0002,28.2627,0.0001,200,0.0003
28.0718,0.0406,0.0013,0.0001,28.0309,0.0002,200,0.0003
27.6644,0.0296,0.0012,0.0001,27.6345,0.0002,200,0.0002
28.0101,0.0350,0.0011,0.0001,27.9748,0.0001,200,0.0003
28.1821,0.0353,0.0011,0.0001,28.1465,0.0002,200,0.0003
27.7515,0.0356,0.0014,0.0001,27.7155,0.0002,200,0.0003
28.5603,0.0351,0.0011,0.0001,28.5249,0.0001,200,0.0003
27.8293,0.0231,0.0011,0.0001,27.8059,0.0002,200,0.0002
28.0796,0.0351,0.0014,0.0001,28.0440,0.0002,200,0.0004
27.1765,0.0404,0.0011,0.0001,27.1358,0.0001,200,0.0003
28.1286,0.0400,0.0011,0.0001,28.0883,0.0001,200,0.0004
28.2822,0.0247,0.0012,0.0001,28.2572,0.0001,200,0.0003
27.3047,0.0339,0.0013,0.0001,27.2704,0.0001,200,0.0003
26.9670,0.0340,0.0012,0.0001,26.9327,0.0001,200,0.0003
28.5162,0.0353,0.0013,0.0001,28.4807,0.0001,200,0.0002
28.2137,0.0357,0.0011,0.0002,28.1777,0.0001,200,0.0003
27.9112,0.0292,0.0014,0.0002,27.8817,0.0001,200,0.0003
28.5324,0.0308,0.0012,0.0001,28.5012,0.0001,200,0.0003
28.3042,0.0386,0.0011,0.0001,28.2653,0.0002,200,0.0003
27.5075,0.0367,0.0012,0.0001,27.4705,0.0002,200,0.0004
27.2457,0.0349,0.0013,0.0001,27.2104,0.0002,200,0.0002
