response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.7976,0.0360,0.0013,0.0001,7.7614,0.0001,200,0.0003
6.9334,0.0256,0.0013,0.0001,6.9075,0.0001,200,0.0003
7.6745,0.0337,0.0013,0.0001,7.6404,0.0001,200,0.0003
7.6411,0.0229,0.0012,0.0001,7.6177,0.0002,200,0.0004
7.3866,0.0355,0.0012,0.0001,7.3508,0.0001,200,0.0004
6.2804,0.0235,0.0013,0.0001,6.2567,0.0001,200,0.0003
7.4738,0.0349,0.0011,0.0001,7.4386,0.0002,200,0.0003
6.2246,0.0365,0.0013,0.0001,6.1878,0.0001,200,0.0002
7.1093,0.0235,0.0012,0.0001,7.0854,0.0002,200,0.0003
7.6485,0.0354,0.0012,0.0001,7.6126,0.0001,200,0.0003
8.1150,0.0340,0.0015,0.0001,8.0806,0.0002,200,0.0003
7.7712,0.0339,0.0012,0.0001,7.7370,0.0002,200,0.0003
6.6096,0.0328,0.0012,0.0001,6.5763,0.0002,200,0.0003
5.9193,0.0342,0.0012,0.0001,5.8848,0.0001,200,0.0003
6.2792,0.0408,0.0012,0.0001,6.2380,0.0001,200,0.0003
6.5817,0.0353,0.0012,0.0001,6.5460,0.0001,200,0.0003
7.4806,0.0318,0.0012,0.0001,7.4485,0.0001,200,0.0003
6.7471,0.0345,0.0012,0.0001,6.7122,0.0002,200,0.0003
7.3185,0.0297,0.0013,0.0001,7.2885,0.0001,200,0.0003
7.5712,0.0351,0.0014,0.0001,7.5357,0.0002,200,0.0002
7.4138,0.0407,0.0011,0.0001,7.3727,0.0001,200,0.0002
7.5924,0.0285,0.0012,0.0001,7.5635,0.0002,200,0.0003
7.4538,0.0375,0.0012,0.0001,7.4159,0.0001,200,0.0003
7.4179,0.0354,0.0013,0.0001,7.3822,0.0002,200,0.0003
6.3822,0.0349,0.0012,0.0001,6.3467,0.0002,200,0.0003
6.4259,0.0356,0.0015,0.0001,6.3898,0.0002,200,0.0003
6.9755,0.0242,0.0012,0.0001,6.9508,0.0002,200,0.0003
7.7055,0.0356,0.0011,0.0001,7.6695,0.0003,200,0.0003
6.0849,0.0358,0.0012,0.0002,6.0487,0.0001,200,0.0003
7.4277,0.0381,0.0015,0.0001,7.3893,0.0001,200,0.0003
6.2974,0.0345,0.0011,0.0002,6.2625,0.0002,200,0.0003
9.5116,0.0373,0.0012,0.0001,9.4739,0.0001,200,0.0003
6.5449,0.0280,0.0011,0.0001,6.5164,0.0001,200,0.0003
7.5798,0.0342,0.0011,0.0001,7.5454,0.0001,200,0.0003
7.1584,0.0348,0.0013,0.0001,7.1231,0.0003,200,0.0003
6.3689,0.0299,0.0012,0.0001,6.3387,0.0001,200,0.0003
5.9735,0.0406,0.0012,0.0001,5.9325,0.0002,200,0.0003
7.4938,0.0339,0.0013,0.0001,7.4595,0.0001,200,0.0003
6.7364,0.0349,0.0011,0.0001,6.7012,0.0001,200,0.0002
7.4203,0.0355,0.0014,0.0001,7.3844,0.0001,200,0.0003
6.0064,0.0395,0.0013,0.0001,5.9665,0.0001,200,0.0003
6.6483,0.0387,0.0011,0.0001,6.6090,0.0003,200,0.0003
6.3979,0.0346,0.0011,0.0001,6.3628,0.0002,200,0.0003
7.6538,0.0343,0.0015,0.0001,7.6189,0.0002,200,0.0003
7.5291,0.0225,0.0013,0.0001,7.5062,0.0001,200,0.0003
6.9986,0.0301,0.0013,0.0001,6.9682,0.0002,200,0.0003
6.4026,0.0346,0.0014,0.0001,6.3676,0.0002,200,0.0003
7.3839,0.0353,0.0010,0.0001,7.3482,0.0002,200,0.0003
5.8775,0.0338,0.0013,0.0001,5.8433,0.0001,200,0.0002
5.9746,0.0343,0.0012,0.0001,5.9399,0.0001,200,0.0005
5.9527,0.0370,0.0011,0.0001,5.9154,0.0001,200,0.0003
6.3790,0.0357,0.0013,0.0001,6.3429,0.0001,200,0.0003
6.4935,0.0363,0.0012,0.0001,6.4568,0.0002,200,0.0003
7.4516,0.0383,0.0012,0.0001,7.4129,0.0001,200,0.0003
7.5332,0.0348,0.0012,0.0001,7.4982,0.0001,200,0.0003
7.4688,0.0337,0.0015,0.0001,7.4348,0.0002,200,0.0003
6.1528,0.0346,0.0011,0.0001,6.1178,0.0002,200,0.0003
7.3915,0.0351,0.0012,0.0001,7.3561,0.0001,200,0.0003
6.5428,0.0347,0.0012,0.0001,6.5076,0.0002,200,0.0003
7.4581,0.0338,0.0013,0.0001,7.4239,0.0002,200,0.0003
6.4741,0.0367,0.0011,0.0001,6.4370,0.0002,200,0.0003
8.0698,0.0325,0.0013,0.0001,8.0369,0.0002,200,0.0003
6.8378,0.0332,0.0018,0.0001,6.8043,0.0002,200,0.0002
6.1849,0.0340,0.0011,0.0001,6.1506,0.0001,200,0.0003
7.5361,0.0340,0.0013,0.0001,7.5017,0.0001,200,0.0003
7.5691,0.0385,0.0012,0.0001,7.5302,0.0001,200,0.0004
7.5284,0.0368,0.0014,0.0001,7.4911,0.0002,200,0.0003
5.7191,0.0270,0.0014,0.0001,5.6917,0.0002,200,0.0003
5.9984,0.0373,0.0014,0.0001,5.9607,0.0001,200,0.0002
7.5486,0.0355,0.0013,0.0001,7.5127,0.0002,200,0.0003
6.5882,0.0279,0.0013,0.0001,6.5600,0.0001,200,0.0002
6.6146,0.0348,0.0010,0.0001,6.5793,0.0001,200,0.0003
7.4105,0.0419,0.0013,0.0001,7.3684,0.0001,200,0.0003
6.3879,0.0336,0.0012,0.0001,6.3540,0.0001,200,0.0003
6.1265,0.0251,0.0013,0.0001,6.1010,0.0001,200,0.0003
6.9352,0.0370,0.0014,0.0001,6.8979,0.0001,200,0.0003
7.5756,0.0280,0.0011,0.0001,7.5473,0.0001,200,0.0003
7.1814,0.0312,0.0013,0.0001,7.1500,0.0001,200,0.0003
7.8197,0.0275,0.0013,0.0001,7.7918,0.0001,200,0.0003
7.5024,0.0354,0.0012,0.0001,7.4666,0.0002,200,0.0003
