response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.8503,0.0351,0.0013,0.0001,8.8148,0.0001,200,0.0003
8.9007,0.0355,0.0013,0.0001,8.8647,0.0003,200,0.0003
10.2852,0.0333,0.0012,0.0001,10.2517,0.0001,200,0.0003
8.7791,0.0289,0.0012,0.0001,8.7497,0.0002,200,0.0003
10.1289,0.0331,0.0013,0.0001,10.0953,0.0002,200,0.0003
10.2460,0.0352,0.0011,0.0001,10.2105,0.0001,200,0.0003
9.1856,0.0286,0.0013,0.0001,9.1567,0.0001,200,0.0003
10.3191,0.0274,0.0011,0.0001,10.2913,0.0001,200,0.0003
10.2828,0.0222,0.0012,0.0001,10.2603,0.0001,200,0.0003
10.2288,0.0406,0.0013,0.0001,10.1879,0.0001,200,0.0002
10.1597,0.0410,0.0013,0.0001,10.1184,0.0001,200,0.0003
10.3835,0.0363,0.0019,0.0001,10.3469,0.0001,200,0.0002
10.3523,0.0336,0.0011,0.0001,10.3185,0.0001,200,0.0003
9.2111,0.0350,0.0011,0.0001,9.1758,0.0002,200,0.0003
8.8521,0.0356,0.0011,0.0001,8.8163,0.0002,200,0.0003
8.8869,0.0360,0.0012,0.0001,8.8505,0.0001,200,0.0003
8.9414,0.0337,0.0013,0.0001,8.9073,0.0001,200,0.0003
9.0384,0.0335,0.0012,0.0001,9.0048,0.0001,200,0.0002
10.2014,0.0401,0.0011,0.0001,10.1609,0.0002,200,0.0003
10.1889,0.0376,0.0011,0.0001,10.1510,0.0002,200,0.0003
9.5532,0.0372,0.0013,0.0001,9.5156,0.0002,200,0.0003
10.2167,0.0337,0.0011,0.0001,10.1825,0.0003,200,0.0003
9.3341,0.0344,0.0015,0.0001,9.2992,0.0002,200,0.0003
10.2853,0.0364,0.0011,0.0001,10.2485,0.0002,200,0.0003
10.3860,0.0354,0.0013,0.0001,10.3503,0.0003,200,0.0003
9.3453,0.0406,0.0013,0.0001,9.3044,0.0001,200,0.0003
10.2451,0.0315,0.0012,0.0001,10.2132,0.0002,200,0.0003
10.3317,0.0365,0.0014,0.0001,10.2949,0.0002,200,0.0003
10.4647,0.0289,0.0018,0.0001,10.4354,0.0002,200,0.0004
9.7311,0.0338,0.0012,0.0001,9.6970,0.0001,200,0.0002
8.7121,0.0356,0.0012,0.0001,8.6761,0.0001,200,0.0004
8.9831,0.0352,0.0012,0.0001,8.9475,0.0002,200,0.0003
9.0412,0.0354,0.0011,0.0001,9.0053,0.0002,200,0.0003
8.8062,0.0339,0.0011,0.0001,8.7720,0.0001,200,0.0002
10.2859,0.0351,0.0014,0.0001,10.2504,0.0003,200,0.0003
10.2051,0.0352,0.0012,0.0001,10.1696,0.0002,200,0.0003
9.4019,0.0341,0.0013,0.0001,9.3674,0.0001,200,0.0004
10.2258,0.0346,0.0011,0.0001,10.1910,0.0001,200,0.0003
10.2430,0.0331,0.0014,0.0001,10.2095,0.0001,200,0.0003
9.2315,0.0402,0.0010,0.0001,9.1910,0.0002,200,0.0003
10.3103,0.0330,0.0013,0.0001,10.2768,0.0001,200,0.0003
10.2685,0.0352,0.0011,0.0001,10.2329,0.0002,200,0.0003
10.4765,0.0296,0.0013,0.0001,10.4466,0.0002,200,0.0003
10.4072,0.0358,0.0011,0.0001,10.3712,0.0001,200,0.0002
10.4354,0.0361,0.0019,0.0001,10.3990,0.0001,200,0.0003
8.7335,0.0282,0.0013,0.0001,8.7050,0.0001,200,0.0004
9.0382,0.0350,0.0013,0.0001,9.0028,0.0002,200,0.0003
8.8980,0.0322,0.0012,0.0001,8.8654,0.0002,200,0.0002
8.9722,0.0308,0.0013,0.0001,8.9410,0.0002,200,0.0003
8.9529,0.0329,0.0011,0.0001,8.9197,0.0001,200,0.0004
8.8766,0.0265,0.0012,0.0001,8.8497,0.0003,200,0.0003
9.0043,0.0341,0.0013,0.0001,8.9698,0.0001,200,0.0003
8.9721,0.0308,0.0012,0.0001,8.9410,0.0002,200,0.0003
8.8961,0.0328,0.0013,0.0001,8.8629,0.0001,200,0.0003
10.1240,0.0343,0.0012,0.0001,10.0894,0.0002,200,0.0004
10.1504,0.0355,0.0017,0.0001,10.1145,0.0001,200,0.0003
10.1049,0.0355,0.0012,0.0001,10.0691,0.0001,200,0.0003
9.4465,0.0315,0.0015,0.0001,9.4145,0.0002,200,0.0003
10.4352,0.0349,0.0011,0.0001,10.4000,0.0002,200,0.0003
9.4766,0.0368,0.0013,0.0001,9.4395,0.0001,200,0.0003
