response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.2989,0.0354,0.0012,0.0001,12.2631,0.0001,200,0.0005
12.2213,0.0322,0.0014,0.0001,12.1887,0.0001,200,0.0005
11.4798,0.0317,0.0012,0.0001,11.4477,0.0003,200,0.0003
10.8555,0.0330,0.0012,0.0002,10.8221,0.0001,200,0.0004
10.9724,0.0409,0.0014,0.0001,10.9310,0.0002,200,0.0003
10.9271,0.0340,0.0012,0.0001,10.8927,0.0001,200,0.0003
10.9467,0.0344,0.0015,0.0001,10.9120,0.0001,200,0.0004
12.1464,0.0303,0.0016,0.0001,12.1157,0.0002,200,0.0003
12.2600,0.0403,0.0014,0.0001,12.2193,0.0001,200,0.0003
11.9229,0.0279,0.0013,0.0001,11.8946,0.0002,200,0.0003
11.6052,0.0310,0.0013,0.0001,11.5737,0.0002,200,0.0003
12.1812,0.0234,0.0011,0.0001,12.1573,0.0002,200,0.0003
12.1528,0.0344,0.0012,0.0001,12.1179,0.0002,200,0.0003
11.6246,0.0339,0.0013,0.0001,11.5903,0.0001,200,0.0002
12.1332,0.0356,0.0013,0.0001,12.0973,0.0002,200,0.0003
10.8086,0.0310,0.0013,0.0001,10.7774,0.0002,200,0.0002
10.9267,0.0323,0.0012,0.0001,10.8941,0.0001,200,0.0003
11.0678,0.0352,0.0012,0.0001,11.0322,0.0002,200,0.0003
10.9232,0.0331,0.0013,0.0001,10.8898,0.0001,200,0.0003
12.1101,0.0344,0.0010,0.0001,12.0753,0.0002,200,0.0003
12.0531,0.0374,0.0012,0.0001,12.0153,0.0002,200,0.0003
12.4672,0.0337,0.0013,0.0001,12.4331,0.0002,200,0.0003
12.3414,0.0339,0.0012,0.0001,12.3071,0.0002,200,0.0003
12.2263,0.0350,0.0012,0.0001,12.1909,0.0002,200,0.0003
12.1068,0.0334,0.0013,0.0001,12.0731,0.0002,200,0.0004
12.2403,0.0326,0.0013,0.0001,12.2074,0.0001,200,0.0003
