response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
36.5755,0.0355,0.0011,0.0001,36.5397,0.0001,200,0.0003
36.5667,0.0324,0.0012,0.0001,36.5337,0.0003,200,0.0003
36.4617,0.0335,0.0011,0.0001,36.4279,0.0001,200,0.0003
35.2441,0.0333,0.0012,0.0001,35.2105,0.0001,200,0.0003
35.1901,0.0358,0.0014,0.0001,35.1539,0.0002,200,0.0003
35.9805,0.0358,0.0015,0.0001,35.9444,0.0002,200,0.0003
35.7606,0.0352,0.0011,0.0001,35.7252,0.0001,200,0.0003
36.5747,0.0392,0.0013,0.0001,36.5351,0.0002,200,0.0003
35.3520,0.0348,0.0014,0.0001,35.3169,0.0002,200,0.0002
35.5475,0.0341,0.0014,0.0002,35.5131,0.0001,200,0.0002
35.1494,0.0356,0.0015,0.0001,35.1134,0.0001,200,0.0004
36.7572,0.0361,0.0014,0.0001,36.7207,0.0002,200,0.0003
36.4979,0.0344,0.0012,0.0001,36.4631,0.0002,200,0.0003
35.7472,0.0240,0.0011,0.0001,35.7229,0.0002,200,0.0003
36.5698,0.0324,0.0012,0.0001,36.5370,0.0002,200,0.0003
35.4539,0.0277,0.0012,0.0001,35.4259,0.0001,200,0.0003
35.0524,0.0329,0.0012,0.0001,35.0192,0.0001,200,0.0003
35.9551,0.0362,0.0011,0.0001,35.9186,0.0001,200,0.0003
36.7683,0.0381,0.0012,0.0001,36.7298,0.0002,200,0.0003
36.1663,0.0351,0.0012,0.0001,36.1309,0.0002,200,0.0003
36.3577,0.0353,0.0012,0.0001,36.3221,0.0002,200,0.0002
35.6598,0.0409,0.0011,0.0001,35.6186,0.0001,200,0.0005
36.4757,0.0409,0.0013,0.0001,36.4343,0.0002,200,0.0003
35.4359,0.0342,0.0011,0.0001,35.4013,0.0002,200,0.0003
35.8750,0.0320,0.0013,0.0001,35.8427,0.0001,200,0.0003
36.6977,0.0338,0.0013,0.0001,36.6636,0.0001,200,0.0003
35.1386,0.0344,0.0012,0.0001,35.1039,0.0001,200,0.0003
35.0458,0.0342,0.0010,0.0001,35.0112,0.0002,200,0.0003
34.9465,0.0353,0.0012,0.0001,34.9107,0.0002,200,0.0003
36.5513,0.0338,0.0012,0.0001,36.5172,0.0001,200,0.0003
35.2489,0.0350,0.0013,0.0001,35.2135,0.0002,200,0.0002
36.5712,0.0375,0.0012,0.0001,36.5333,0.0002,200,0.0003
36.5653,0.0368,0.0012,0.0002,36.5280,0.0002,200,0.0003
36.4754,0.0362,0.0013,0.0001,36.4390,0.0001,200,0.0002
36.5598,0.0354,0.0012,0.0001,36.5241,0.0002,200,0.0003
35.1495,0.0336,0.0012,0.0001,35.1156,0.0001,200,0.0003
36.5853,0.0356,0.0013,0.0001,36.5493,0.0001,200,0.0003
36.7514,0.0290,0.0012,0.0001,36.7219,0.0002,200,0.0003
35.3030,0.0382,0.0014,0.0001,35.2645,0.0001,200,0.0003
36.4637,0.0363,0.0013,0.0001,36.4269,0.0002,200,0.0003
36.4695,0.0360,0.0013,0.0001,36.4331,0.0002,200,0.0003
36.4553,0.0358,0.0011,0.0001,36.4192,0.0002,200,0.0002
35.6538,0.0356,0.0012,0.0001,35.6180,0.0002,200,0.0003
35.6622,0.0282,0.0010,0.0001,35.6337,0.0001,200,0.0003
36.2686,0.0330,0.0013,0.0001,36.2353,0.0002,200,0.0003
35.8566,0.0290,0.0012,0.0001,35.8272,0.0002,200,0.0003
36.4613,0.0280,0.0014,0.0001,36.4330,0.0002,200,0.0003
35.5414,0.0308,0.0014,0.0001,35.5102,0.0002,200,0.0003
35.0483,0.0346,0.0011,0.0001,35.0134,0.0002,200,0.0003
36.3553,0.0337,0.0012,0.0001,36.3213,0.0001,200,0.0003
35.6499,0.0336,0.0012,0.0002,35.6160,0.0001,200,0.0003
36.4553,0.0267,0.0012,0.0001,36.4283,0.0001,200,0.0003
36.6000,0.0408,0.0012,0.0001,36.5589,0.0001,200,0.0002
36.3567,0.0361,0.0014,0.0001,36.3202,0.0001,200,0.0003
35.8593,0.0343,0.0012,0.0001,35.8247,0.0001,200,0.0003
36.4763,0.0412,0.0013,0.0001,36.4348,0.0001,200,0.0003
35.5419,0.0356,0.0012,0.0001,35.5059,0.0002,200,0.0002
35.6684,0.0264,0.0012,0.0001,35.6416,0.0001,200,0.0003
36.4660,0.0352,0.0014,0.0001,36.4305,0.0002,200,0.0004
