response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.6658,0.0351,0.0012,0.0001,10.6303,0.0001,200,0.0003
8.5949,0.0394,0.0013,0.0001,8.5552,0.0002,200,0.0003
9.0432,0.0351,0.0012,0.0001,9.0078,0.0001,200,0.0003
8.9412,0.0334,0.0012,0.0001,8.9074,0.0001,200,0.0002
8.7949,0.0360,0.0012,0.0001,8.7585,0.0001,200,0.0003
8.8035,0.0363,0.0011,0.0001,8.7667,0.0002,200,0.0003
8.9634,0.0328,0.0013,0.0001,8.9303,0.0002,200,0.0002
7.5477,0.0353,0.0012,0.0001,7.5120,0.0002,200,0.0003
7.8907,0.0327,0.0012,0.0001,7.8576,0.0002,200,0.0003
8.5805,0.0374,0.0014,0.0001,8.5428,0.0001,200,0.0003
7.3468,0.0357,0.0011,0.0001,7.3107,0.0001,200,0.0003
8.4657,0.0334,0.0014,0.0001,8.4320,0.0001,200,0.0002
7.6127,0.0341,0.0013,0.0001,7.5782,0.0002,200,0.0003
8.5819,0.0347,0.0014,0.0001,8.5467,0.0002,200,0.0004
8.6109,0.0286,0.0014,0.0001,8.5819,0.0001,200,0.0002
8.5182,0.0355,0.0013,0.0001,8.4823,0.0001,200,0.0003
8.5838,0.0336,0.0013,0.0001,8.5499,0.0002,200,0.0003
8.5651,0.0392,0.0013,0.0001,8.5256,0.0002,200,0.0003
8.6953,0.0351,0.0014,0.0001,8.6598,0.0002,200,0.0003
7.1937,0.0324,0.0012,0.0001,7.1611,0.0001,200,0.0003
8.0800,0.0359,0.0014,0.0001,8.0436,0.0003,200,0.0002
7.8061,0.0285,0.0012,0.0001,7.7773,0.0001,200,0.0002
7.6677,0.0343,0.0013,0.0001,7.6330,0.0001,200,0.0003
8.4681,0.0311,0.0014,0.0001,8.4366,0.0002,200,0.0003
7.3748,0.0336,0.0011,0.0001,7.3409,0.0001,200,0.0002
8.4831,0.0399,0.0012,0.0001,8.4429,0.0002,200,0.0003
7.4493,0.0278,0.0013,0.0001,7.4210,0.0002,200,0.0003
7.8688,0.0340,0.0012,0.0001,7.8346,0.0001,200,0.0003
8.5805,0.0360,0.0013,0.0001,8.5441,0.0002,200,0.0002
