response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.0471,0.0353,0.0013,0.0001,10.0114,0.0002,200,0.0003
9.8574,0.0374,0.0014,0.0001,9.8197,0.0001,200,0.0003
9.9648,0.0352,0.0012,0.0001,9.9294,0.0001,200,0.0003
9.3685,0.0317,0.0012,0.0001,9.3365,0.0002,200,0.0003
9.7399,0.0333,0.0014,0.0001,9.7062,0.0001,200,0.0004
9.7196,0.0354,0.0012,0.0001,9.6839,0.0001,200,0.0003
9.9325,0.0398,0.0014,0.0001,9.8925,0.0001,200,0.0003
9.3264,0.0359,0.0014,0.0001,9.2902,0.0001,200,0.0004
8.8866,0.0409,0.0013,0.0001,8.8454,0.0001,200,0.0003
9.0812,0.0405,0.0011,0.0001,9.0403,0.0002,200,0.0003
8.9963,0.0346,0.0011,0.0001,8.9615,0.0001,200,0.0002
8.9394,0.0352,0.0013,0.0001,8.9039,0.0001,200,0.0002
9.8845,0.0288,0.0016,0.0001,9.8552,0.0002,200,0.0003
9.0056,0.0280,0.0013,0.0001,8.9773,0.0001,200,0.0002
9.9645,0.0357,0.0012,0.0001,9.9285,0.0001,200,0.0003
8.8031,0.0352,0.0012,0.0001,8.7675,0.0001,200,0.0003
9.1712,0.0307,0.0015,0.0001,9.1401,0.0002,200,0.0003
9.9042,0.0349,0.0012,0.0001,9.8690,0.0002,200,0.0003
10.0181,0.0292,0.0015,0.0001,9.9885,0.0002,200,0.0004
9.9827,0.0289,0.0011,0.0001,9.9533,0.0002,200,0.0003
9.7071,0.0354,0.0012,0.0001,9.6713,0.0003,200,0.0002
9.8157,0.0266,0.0013,0.0001,9.7887,0.0002,200,0.0003
9.9741,0.0300,0.0015,0.0001,9.9438,0.0001,200,0.0003
8.9976,0.0288,0.0021,0.0001,8.9684,0.0002,200,0.0003
9.8626,0.0366,0.0013,0.0001,9.8255,0.0002,200,0.0003
9.9436,0.0343,0.0012,0.0001,9.9090,0.0001,200,0.0003
9.0877,0.0349,0.0013,0.0001,9.0524,0.0001,200,0.0003
8.7732,0.0371,0.0013,0.0001,8.7358,0.0001,200,0.0002
9.0072,0.0339,0.0010,0.0001,8.9730,0.0002,200,0.0002
8.8647,0.0340,0.0011,0.0001,8.8303,0.0002,200,0.0002
8.9876,0.0376,0.0013,0.0001,8.9497,0.0002,200,0.0003
8.9852,0.0381,0.0013,0.0001,8.9468,0.0001,200,0.0003
8.9129,0.0384,0.0012,0.0001,8.8741,0.0001,200,0.0003
9.0343,0.0296,0.0013,0.0001,9.0043,0.0002,200,0.0003
8.9837,0.0332,0.0013,0.0001,8.9502,0.0002,200,0.0003
9.6846,0.0287,0.0021,0.0001,9.6555,0.0002,200,0.0003
9.1451,0.0341,0.0014,0.0001,9.1106,0.0002,200,0.0003
9.0656,0.0257,0.0012,0.0001,9.0395,0.0002,200,0.0004
9.8121,0.0334,0.0015,0.0001,9.7785,0.0002,200,0.0003
8.8418,0.0345,0.0012,0.0001,8.8069,0.0001,200,0.0003
9.9746,0.0278,0.0014,0.0001,9.9464,0.0002,200,0.0003
9.9617,0.0353,0.0012,0.0001,9.9260,0.0002,200,0.0003
10.1978,0.0294,0.0015,0.0001,10.1680,0.0001,200,0.0003
10.1131,0.0300,0.0013,0.0001,10.0828,0.0001,200,0.0002
9.9619,0.0344,0.0010,0.0001,9.9271,0.0002,200,0.0004
8.4476,0.0302,0.0013,0.0001,8.4171,0.0001,200,0.0003
9.0650,0.0380,0.0015,0.0001,9.0264,0.0002,200,0.0004
8.9324,0.0408,0.0012,0.0001,8.8913,0.0001,200,0.0003
8.8418,0.0294,0.0014,0.0001,8.8120,0.0002,200,0.0003
9.0208,0.0381,0.0012,0.0001,8.9824,0.0002,200,0.0002
8.9980,0.0358,0.0012,0.0001,8.9618,0.0001,200,0.0003
8.9936,0.0318,0.0012,0.0001,8.9615,0.0002,200,0.0003
8.8616,0.0338,0.0018,0.0001,8.8275,0.0001,200,0.0004
9.0441,0.0348,0.0012,0.0001,9.0090,0.0002,200,0.0002
8.7782,0.0285,0.0013,0.0001,8.7494,0.0001,200,0.0003
8.9234,0.0338,0.0013,0.0001,8.8893,0.0002,200,0.0002
8.8998,0.0354,0.0014,0.0001,8.8639,0.0001,200,0.0003
9.0968,0.0261,0.0014,0.0001,9.0702,0.0002,200,0.0003
