response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.5574,0.0324,0.0013,0.0001,12.5247,0.0001,200,0.0003
13.2485,0.0351,0.0012,0.0001,13.2131,0.0001,200,0.0002
13.1474,0.0222,0.0012,0.0001,13.1248,0.0001,200,0.0003
12.3350,0.0330,0.0013,0.0001,12.3016,0.0002,200,0.0003
12.9032,0.0280,0.0011,0.0001,12.8749,0.0002,200,0.0003
11.9247,0.0340,0.0014,0.0001,11.8902,0.0002,200,0.0003
12.0058,0.0365,0.0013,0.0001,11.9689,0.0001,200,0.0004
11.8440,0.0259,0.0012,0.0001,11.8177,0.0002,200,0.0003
12.0171,0.0371,0.0014,0.0001,11.9797,0.0001,200,0.0003
11.9820,0.0361,0.0014,0.0001,11.9456,0.0001,200,0.0003
11.9220,0.0284,0.0014,0.0001,11.8933,0.0001,200,0.0003
12.9268,0.0410,0.0014,0.0001,12.8854,0.0003,200,0.0003
11.9121,0.0358,0.0013,0.0001,11.8760,0.0001,200,0.0003
13.0895,0.0337,0.0011,0.0001,13.0555,0.0001,200,0.0002
13.2301,0.0357,0.0011,0.0001,13.1940,0.0001,200,0.0003
12.5940,0.0345,0.0012,0.0001,12.5590,0.0002,200,0.0003
12.9238,0.0350,0.0013,0.0001,12.8884,0.0002,200,0.0003
12.8381,0.0359,0.0014,0.0001,12.8018,0.0001,200,0.0003
12.9263,0.0309,0.0016,0.0001,12.8949,0.0002,200,0.0003
12.0520,0.0354,0.0012,0.0001,12.0162,0.0001,200,0.0004
12.0055,0.0403,0.0010,0.0001,11.9650,0.0001,200,0.0003
11.9702,0.0418,0.0013,0.0001,11.9280,0.0002,200,0.0003
11.9359,0.0386,0.0011,0.0001,11.8970,0.0002,200,0.0003
12.0371,0.0349,0.0012,0.0001,12.0018,0.0001,200,0.0003
11.8696,0.0278,0.0012,0.0001,11.8414,0.0002,200,0.0003
11.9823,0.0321,0.0013,0.0001,11.9498,0.0001,200,0.0004
13.2134,0.0342,0.0013,0.0001,13.1789,0.0001,200,0.0003
13.0592,0.0304,0.0011,0.0001,13.0285,0.0002,200,0.0002
13.2174,0.0340,0.0011,0.0001,13.1831,0.0001,200,0.0003
12.3419,0.0339,0.0013,0.0001,12.3077,0.0001,200,0.0002
12.9930,0.0343,0.0014,0.0001,12.9583,0.0002,200,0.0003
