response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.6860,0.0341,0.0011,0.0001,7.6516,0.0001,200,0.0003
7.4838,0.0282,0.0011,0.0001,7.4550,0.0002,200,0.0003
6.8741,0.0317,0.0012,0.0001,6.8421,0.0002,200,0.0003
6.8968,0.0412,0.0012,0.0001,6.8552,0.0002,200,0.0002
7.0036,0.0351,0.0012,0.0001,6.9680,0.0002,200,0.0003
7.0062,0.0358,0.0011,0.0001,6.9702,0.0001,200,0.0003
6.8976,0.0285,0.0012,0.0001,6.8687,0.0002,200,0.0003
8.0339,0.0337,0.0014,0.0001,7.9997,0.0002,200,0.0003
7.7054,0.0354,0.0013,0.0001,7.6697,0.0001,200,0.0003
7.0369,0.0407,0.0012,0.0001,6.9959,0.0001,200,0.0002
6.8904,0.0394,0.0013,0.0001,6.8506,0.0002,200,0.0003
6.9078,0.0349,0.0011,0.0001,6.8726,0.0002,200,0.0003
6.8882,0.0287,0.0011,0.0001,6.8592,0.0001,200,0.0003
7.6025,0.0357,0.0013,0.0001,7.5663,0.0002,200,0.0003
6.2743,0.0358,0.0014,0.0001,6.2382,0.0001,200,0.0003
6.9418,0.0360,0.0014,0.0001,6.9055,0.0001,200,0.0003
7.5940,0.0343,0.0013,0.0001,7.5592,0.0002,200,0.0003
7.6089,0.0358,0.0014,0.0001,7.5728,0.0001,200,0.0003
7.6073,0.0387,0.0010,0.0001,7.5683,0.0001,200,0.0003
7.4734,0.0331,0.0013,0.0001,7.4400,0.0002,200,0.0002
7.6314,0.0396,0.0012,0.0001,7.5915,0.0001,200,0.0002
6.8688,0.0323,0.0011,0.0002,6.8361,0.0002,200,0.0003
6.8733,0.0326,0.0012,0.0001,6.8403,0.0002,200,0.0003
7.8314,0.0314,0.0016,0.0001,7.7996,0.0001,200,0.0003
7.9413,0.0371,0.0012,0.0001,7.9038,0.0002,200,0.0004
7.0951,0.0339,0.0012,0.0001,7.0606,0.0002,200,0.0003
7.7486,0.0272,0.0014,0.0001,7.7210,0.0002,200,0.0003
7.5825,0.0391,0.0013,0.0001,7.5429,0.0002,200,0.0003
6.3625,0.0357,0.0014,0.0001,6.3265,0.0002,200,0.0003
5.9781,0.0315,0.0014,0.0001,5.9463,0.0001,200,0.0003
6.8978,0.0290,0.0013,0.0001,6.8685,0.0001,200,0.0003
6.9961,0.0346,0.0014,0.0001,6.9610,0.0002,200,0.0003
7.4823,0.0354,0.0011,0.0001,7.4466,0.0001,200,0.0003
7.8180,0.0353,0.0012,0.0001,7.7824,0.0002,200,0.0002
6.5522,0.0335,0.0012,0.0001,6.5183,0.0001,200,0.0003
7.6138,0.0325,0.0013,0.0001,7.5809,0.0002,200,0.0003
7.6068,0.0406,0.0012,0.0001,7.5659,0.0001,200,0.0003
7.6024,0.0348,0.0011,0.0001,7.5672,0.0002,200,0.0003
7.1181,0.0381,0.0012,0.0001,7.0795,0.0002,200,0.0003
7.6868,0.0337,0.0012,0.0001,7.6528,0.0002,200,0.0003
7.6923,0.0322,0.0013,0.0001,7.6597,0.0002,200,0.0004
7.4444,0.0336,0.0013,0.0001,7.4105,0.0001,200,0.0003
6.9407,0.0352,0.0014,0.0000,6.9050,0.0002,200,0.0003
7.8079,0.0354,0.0012,0.0001,7.7721,0.0002,200,0.0003
7.5876,0.0341,0.0014,0.0001,7.5531,0.0002,200,0.0003
7.6431,0.0345,0.0013,0.0001,7.6083,0.0001,200,0.0003
7.5952,0.0344,0.0012,0.0001,7.5606,0.0001,200,0.0003
6.7917,0.0279,0.0013,0.0001,6.7634,0.0002,200,0.0003
6.9799,0.0379,0.0011,0.0001,6.9418,0.0001,200,0.0003
5.8571,0.0408,0.0014,0.0001,5.8160,0.0001,200,0.0003
7.5823,0.0302,0.0013,0.0001,7.5517,0.0002,200,0.0003
6.2864,0.0275,0.0012,0.0001,6.2585,0.0001,200,0.0003
7.5972,0.0296,0.0014,0.0001,7.5674,0.0001,200,0.0002
6.3859,0.0313,0.0010,0.0001,6.3542,0.0002,200,0.0003
6.8859,0.0361,0.0014,0.0001,6.8494,0.0001,200,0.0004
7.6141,0.0362,0.0010,0.0001,7.5776,0.0002,200,0.0003
7.6835,0.0323,0.0013,0.0001,7.6507,0.0002,200,0.0003
6.6948,0.0349,0.0016,0.0001,6.6596,0.0002,200,0.0003
6.8846,0.0288,0.0013,0.0001,6.8555,0.0001,200,0.0002
7.7302,0.0353,0.0013,0.0001,7.6946,0.0001,200,0.0003
7.6843,0.0240,0.0011,0.0001,7.6598,0.0002,200,0.0003
7.7111,0.0240,0.0012,0.0001,7.6868,0.0001,200,0.0003
7.6527,0.0356,0.0011,0.0001,7.6168,0.0002,200,0.0003
