response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.1319,0.0291,0.0011,0.0001,9.1024,0.0001,200,0.0003
8.1233,0.0311,0.0013,0.0001,8.0918,0.0001,200,0.0003
8.0141,0.0356,0.0013,0.0001,7.9781,0.0001,200,0.0003
7.8343,0.0300,0.0013,0.0001,7.8038,0.0002,200,0.0003
8.1205,0.0350,0.0013,0.0001,8.0852,0.0002,200,0.0002
8.2111,0.0363,0.0014,0.0001,8.1744,0.0002,200,0.0003
9.1447,0.0328,0.0013,0.0001,9.1115,0.0001,200,0.0003
9.2967,0.0290,0.0012,0.0001,9.2673,0.0002,200,0.0002
8.2105,0.0353,0.0012,0.0001,8.1747,0.0002,200,0.0003
9.5827,0.0342,0.0012,0.0000,9.5481,0.0002,200,0.0003
8.2299,0.0342,0.0013,0.0001,8.1954,0.0002,200,0.0003
8.7844,0.0320,0.0013,0.0001,8.7520,0.0001,200,0.0003
9.1419,0.0226,0.0013,0.0002,9.1188,0.0002,200,0.0003
9.1451,0.0336,0.0012,0.0001,9.1112,0.0002,200,0.0003
8.6684,0.0346,0.0013,0.0001,8.6335,0.0002,200,0.0003
8.9789,0.0350,0.0013,0.0001,8.9437,0.0001,200,0.0003
9.2192,0.0345,0.0012,0.0001,9.1844,0.0001,200,0.0003
9.2235,0.0298,0.0011,0.0001,9.1934,0.0001,200,0.0002
9.2884,0.0409,0.0012,0.0001,9.2471,0.0002,200,0.0003
7.9809,0.0368,0.0012,0.0001,7.9439,0.0001,200,0.0003
7.8324,0.0367,0.0012,0.0001,7.7953,0.0002,200,0.0003
8.0068,0.0364,0.0011,0.0001,7.9700,0.0002,200,0.0002
7.8831,0.0405,0.0011,0.0001,7.8422,0.0002,200,0.0003
7.8306,0.0290,0.0012,0.0001,7.8013,0.0001,200,0.0003
8.1870,0.0223,0.0012,0.0001,8.1644,0.0002,200,0.0003
7.9419,0.0283,0.0013,0.0001,7.9133,0.0001,200,0.0002
9.4226,0.0335,0.0011,0.0001,9.3887,0.0002,200,0.0003
8.3478,0.0297,0.0013,0.0001,8.3178,0.0001,200,0.0003
9.1336,0.0343,0.0014,0.0001,9.0991,0.0002,200,0.0003
8.4753,0.0291,0.0011,0.0001,8.4459,0.0001,200,0.0003
8.0502,0.0352,0.0012,0.0001,8.0146,0.0001,200,0.0003
7.9797,0.0348,0.0014,0.0001,7.9446,0.0002,200,0.0003
9.4024,0.0337,0.0012,0.0001,9.3683,0.0002,200,0.0004
9.2751,0.0347,0.0012,0.0001,9.2399,0.0002,200,0.0003
9.1620,0.0346,0.0012,0.0001,9.1271,0.0001,200,0.0003
9.1662,0.0374,0.0012,0.0001,9.1285,0.0001,200,0.0003
9.1404,0.0324,0.0011,0.0001,9.1077,0.0002,200,0.0003
8.3636,0.0321,0.0012,0.0001,8.3312,0.0001,200,0.0003
8.8944,0.0345,0.0012,0.0001,8.8594,0.0002,200,0.0003
9.1623,0.0318,0.0011,0.0001,9.1302,0.0001,200,0.0003
9.4148,0.0284,0.0014,0.0001,9.3860,0.0001,200,0.0003
8.3618,0.0343,0.0013,0.0001,8.3271,0.0001,200,0.0003
8.0463,0.0352,0.0012,0.0001,8.0108,0.0002,200,0.0003
9.9775,0.0380,0.0013,0.0001,9.9392,0.0001,200,0.0003
7.7670,0.0380,0.0011,0.0001,7.7286,0.0001,200,0.0003
7.8323,0.0294,0.0013,0.0001,7.8024,0.0002,200,0.0003
9.2889,0.0358,0.0014,0.0001,9.2529,0.0001,200,0.0003
9.0478,0.0336,0.0014,0.0001,9.0137,0.0002,200,0.0003
9.2670,0.0330,0.0012,0.0001,9.2337,0.0001,200,0.0003
8.2838,0.0405,0.0011,0.0001,8.2430,0.0001,200,0.0003
9.1299,0.0353,0.0011,0.0001,9.0943,0.0001,200,0.0003
9.0537,0.0354,0.0013,0.0001,9.0179,0.0002,200,0.0003
8.9305,0.0345,0.0013,0.0001,8.8957,0.0002,200,0.0003
9.1702,0.0372,0.0012,0.0001,9.1326,0.0002,200,0.0003
8.2261,0.0284,0.0011,0.0001,8.1973,0.0002,200,0.0004
9.2142,0.0351,0.0010,0.0001,9.1787,0.0002,200,0.0003
8.8744,0.0325,0.0011,0.0001,8.8415,0.0002,200,0.0003
8.9085,0.0347,0.0011,0.0001,8.8734,0.0001,200,0.0003
9.2993,0.0361,0.0017,0.0001,9.2629,0.0001,200,0.0003
9.6435,0.0320,0.0012,0.0001,9.6110,0.0001,200,0.0003
9.2585,0.0337,0.0012,0.0001,9.2245,0.0001,200,0.0003
9.3943,0.0290,0.0014,0.0001,9.3650,0.0001,200,0.0004
7.8605,0.0328,0.0013,0.0001,7.8274,0.0002,200,0.0003
8.0785,0.0332,0.0013,0.0001,8.0449,0.0002,200,0.0003
7.9130,0.0329,0.0011,0.0001,7.8797,0.0002,200,0.0003
7.9659,0.0370,0.0013,0.0001,7.9285,0.0002,200,0.0003
7.9332,0.0296,0.0014,0.0001,7.9032,0.0002,200,0.0003
8.0233,0.0297,0.0011,0.0001,7.9932,0.0002,200,0.0003
7.8709,0.0307,0.0012,0.0001,7.8398,0.0002,200,0.0003
7.8524,0.0375,0.0013,0.0001,7.8144,0.0002,200,0.0003
7.9369,0.0404,0.0011,0.0001,7.8961,0.0001,200,0.0003
9.0099,0.0320,0.0012,0.0001,8.9775,0.0001,200,0.0003
9.3941,0.0332,0.0012,0.0001,9.3605,0.0001,200,0.0003
8.4744,0.0275,0.0012,0.0001,8.4466,0.0001,200,0.0003
8.9097,0.0358,0.0015,0.0001,8.8736,0.0001,200,0.0003
9.0367,0.0274,0.0012,0.0001,9.0089,0.0002,200,0.0003
8.9166,0.0327,0.0012,0.0001,8.8836,0.0001,200,0.0003
9.1120,0.0360,0.0012,0.0001,9.0757,0.0001,200,0.0003
9.5213,0.0357,0.0011,0.0001,9.4853,0.0001,200,0.0003
