response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.9939,0.0355,0.0011,0.0001,9.9580,0.0002,200,0.0003
9.0243,0.0343,0.0013,0.0002,8.9895,0.0001,200,0.0003
8.6807,0.0347,0.0012,0.0001,8.6456,0.0001,200,0.0003
9.4277,0.0275,0.0011,0.0001,9.3998,0.0001,200,0.0003
8.3947,0.0378,0.0012,0.0001,8.3565,0.0002,200,0.0003
9.3072,0.0269,0.0012,0.0001,9.2799,0.0002,200,0.0003
8.6619,0.0316,0.0015,0.0002,8.6295,0.0004,200,0.0004
9.6846,0.0273,0.0012,0.0001,9.6570,0.0001,200,0.0003
9.3205,0.0407,0.0014,0.0001,9.2793,0.0002,200,0.0003
9.1971,0.0338,0.0013,0.0001,9.1629,0.0002,200,0.0003
8.8057,0.0344,0.0012,0.0001,8.7709,0.0001,200,0.0003
7.8329,0.0389,0.0014,0.0001,7.7935,0.0002,200,0.0003
8.1343,0.0327,0.0013,0.0001,8.1012,0.0002,200,0.0004
9.1477,0.0272,0.0012,0.0001,9.1201,0.0001,200,0.0003
9.1713,0.0376,0.0012,0.0001,9.1333,0.0001,200,0.0003
8.5564,0.0389,0.0012,0.0001,8.5172,0.0001,200,0.0002
9.4799,0.0349,0.0014,0.0001,9.4446,0.0002,200,0.0003
9.5500,0.0281,0.0011,0.0001,9.5214,0.0002,200,0.0003
9.2133,0.0346,0.0012,0.0001,9.1783,0.0001,200,0.0003
9.2120,0.0301,0.0012,0.0001,9.1817,0.0001,200,0.0003
9.2771,0.0374,0.0012,0.0001,9.2394,0.0002,200,0.0003
9.2191,0.0422,0.0017,0.0001,9.1766,0.0001,200,0.0003
8.7469,0.0349,0.0014,0.0001,8.7115,0.0002,200,0.0003
9.4745,0.0360,0.0012,0.0001,9.4381,0.0001,200,0.0003
8.8232,0.0372,0.0012,0.0001,8.7856,0.0001,200,0.0003
8.7814,0.0288,0.0013,0.0001,8.7520,0.0003,200,0.0003
9.3076,0.0332,0.0011,0.0001,9.2741,0.0001,200,0.0004
8.4568,0.0384,0.0014,0.0001,8.4180,0.0002,200,0.0003
9.2859,0.0352,0.0012,0.0001,9.2503,0.0002,200,0.0002
8.6443,0.0354,0.0012,0.0001,8.6085,0.0002,200,0.0003
9.2981,0.0357,0.0014,0.0001,9.2621,0.0002,200,0.0003
8.4984,0.0324,0.0011,0.0001,8.4656,0.0001,200,0.0003
9.6883,0.0349,0.0016,0.0001,9.6530,0.0002,200,0.0003
9.4106,0.0284,0.0014,0.0001,9.3818,0.0002,200,0.0003
9.8238,0.0357,0.0011,0.0002,9.7876,0.0002,200,0.0003
8.1140,0.0353,0.0012,0.0001,8.0785,0.0001,200,0.0002
7.9651,0.0382,0.0011,0.0001,7.9265,0.0002,200,0.0003
7.8279,0.0289,0.0018,0.0001,7.7987,0.0001,200,0.0004
9.1439,0.0349,0.0012,0.0001,9.1086,0.0003,200,0.0002
9.1903,0.0347,0.0011,0.0001,9.1553,0.0001,200,0.0003
8.5905,0.0389,0.0015,0.0001,8.5513,0.0001,200,0.0003
8.7847,0.0358,0.0014,0.0001,8.7485,0.0001,200,0.0003
9.2980,0.0289,0.0012,0.0001,9.2688,0.0002,200,0.0003
9.0962,0.0265,0.0012,0.0001,9.0693,0.0001,200,0.0003
9.2780,0.0228,0.0014,0.0001,9.2548,0.0002,200,0.0003
9.1679,0.0352,0.0013,0.0001,9.1323,0.0001,200,0.0003
9.4111,0.0329,0.0014,0.0001,9.3778,0.0002,200,0.0002
8.6959,0.0336,0.0013,0.0001,8.6620,0.0001,200,0.0003
9.4957,0.0339,0.0014,0.0001,9.4614,0.0001,200,0.0003
