response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.5798,0.0407,0.0011,0.0001,7.5387,0.0002,200,0.0003
7.7330,0.0348,0.0013,0.0001,7.6977,0.0002,200,0.0003
8.0405,0.0334,0.0013,0.0001,8.0068,0.0001,200,0.0003
8.3269,0.0349,0.0013,0.0001,8.2916,0.0002,200,0.0004
7.7461,0.0382,0.0012,0.0001,7.7075,0.0001,200,0.0003
7.8529,0.0354,0.0012,0.0001,7.8172,0.0001,200,0.0003
7.9267,0.0223,0.0012,0.0001,7.9039,0.0002,200,0.0004
7.9896,0.0339,0.0013,0.0001,7.9554,0.0001,200,0.0003
8.4568,0.0354,0.0013,0.0001,8.4211,0.0001,200,0.0003
8.3715,0.0276,0.0012,0.0001,8.3434,0.0003,200,0.0003
8.3955,0.0401,0.0011,0.0001,8.3550,0.0001,200,0.0003
7.5380,0.0345,0.0014,0.0001,7.5030,0.0002,200,0.0003
7.0322,0.0337,0.0013,0.0001,6.9980,0.0002,200,0.0004
7.8359,0.0279,0.0012,0.0001,7.8076,0.0002,200,0.0003
7.1198,0.0277,0.0012,0.0001,7.0918,0.0002,200,0.0003
8.3794,0.0402,0.0011,0.0001,8.3389,0.0001,200,0.0003
7.3535,0.0361,0.0014,0.0001,7.3171,0.0001,200,0.0003
8.5233,0.0287,0.0011,0.0001,8.4943,0.0001,200,0.0003
7.4646,0.0368,0.0012,0.0002,7.4275,0.0001,200,0.0002
7.9435,0.0366,0.0012,0.0001,7.9065,0.0002,200,0.0003
8.4267,0.0407,0.0013,0.0001,8.3856,0.0001,200,0.0003
8.5495,0.0266,0.0015,0.0001,8.5226,0.0001,200,0.0002
8.0698,0.0327,0.0012,0.0001,8.0367,0.0002,200,0.0003
8.7195,0.0401,0.0010,0.0001,8.6790,0.0002,200,0.0003
8.6423,0.0359,0.0016,0.0001,8.6061,0.0001,200,0.0004
7.3003,0.0352,0.0011,0.0001,7.2648,0.0002,200,0.0003
