response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
51.1995,0.0348,0.0011,0.0001,51.1644,0.0001,200,0.0003
50.3919,0.0228,0.0011,0.0002,50.3687,0.0001,200,0.0003
49.9032,0.0356,0.0012,0.0002,49.8671,0.0002,200,0.0003
50.2468,0.0350,0.0013,0.0001,50.2115,0.0001,200,0.0002
50.6271,0.0351,0.0013,0.0001,50.5916,0.0001,200,0.0003
49.9643,0.0354,0.0011,0.0001,49.9286,0.0001,200,0.0003
50.3645,0.0319,0.0013,0.0001,50.3324,0.0001,200,0.0003
49.9304,0.0341,0.0012,0.0001,49.8961,0.0001,200,0.0002
50.2225,0.0336,0.0012,0.0001,50.1886,0.0001,200,0.0003
49.9514,0.0358,0.0012,0.0001,49.9153,0.0002,200,0.0003
50.1004,0.0341,0.0014,0.0001,50.0659,0.0001,200,0.0003
50.1709,0.0286,0.0014,0.0001,50.1419,0.0002,200,0.0003
50.5377,0.0410,0.0012,0.0001,50.4964,0.0001,200,0.0003
51.0329,0.0360,0.0014,0.0001,50.9966,0.0001,200,0.0003
50.7247,0.0340,0.0016,0.0001,50.6904,0.0001,200,0.0003
49.4948,0.0293,0.0013,0.0001,49.4651,0.0001,200,0.0003
51.1065,0.0351,0.0013,0.0001,51.0710,0.0002,200,0.0003
50.3763,0.0370,0.0013,0.0001,50.3390,0.0001,200,0.0003
49.8591,0.0413,0.0018,0.0001,49.8175,0.0001,200,0.0003
50.3336,0.0296,0.0013,0.0001,50.3037,0.0002,200,0.0003
49.9926,0.0404,0.0013,0.0001,49.9519,0.0001,200,0.0003
50.2304,0.0318,0.0013,0.0001,50.1981,0.0002,200,0.0003
50.9244,0.0283,0.0010,0.0001,50.8958,0.0002,200,0.0003
50.0020,0.0317,0.0013,0.0001,49.9699,0.0002,200,0.0003
50.0755,0.0287,0.0012,0.0001,50.0465,0.0001,200,0.0003
50.9268,0.0316,0.0012,0.0001,50.8948,0.0001,200,0.0003
50.2598,0.0283,0.0013,0.0001,50.2310,0.0002,200,0.0003
50.7670,0.0383,0.0011,0.0001,50.7283,0.0002,200,0.0003
50.7732,0.0360,0.0011,0.0001,50.7368,0.0001,200,0.0003
50.8408,0.0345,0.0011,0.0002,50.8058,0.0002,200,0.0003
49.7155,0.0333,0.0015,0.0001,49.6818,0.0002,200,0.0003
50.0382,0.0351,0.0012,0.0001,50.0026,0.0002,200,0.0003
49.9081,0.0403,0.0014,0.0001,49.8675,0.0002,200,0.0003
50.0139,0.0339,0.0012,0.0001,49.9796,0.0002,200,0.0003
50.8061,0.0348,0.0012,0.0001,50.7709,0.0002,200,0.0003
49.4987,0.0290,0.0011,0.0001,49.4692,0.0002,200,0.0003
49.7004,0.0363,0.0012,0.0001,49.6639,0.0001,200,0.0003
50.5957,0.0342,0.0012,0.0001,50.5613,0.0001,200,0.0003
50.6344,0.0290,0.0012,0.0001,50.6051,0.0001,200,0.0003
50.0677,0.0368,0.0013,0.0001,50.0305,0.0001,200,0.0003
51.0650,0.0361,0.0013,0.0001,51.0286,0.0001,200,0.0003
50.5516,0.0265,0.0012,0.0001,50.5247,0.0002,200,0.0003
49.6769,0.0356,0.0012,0.0001,49.6409,0.0002,200,0.0003
49.7780,0.0340,0.0011,0.0001,49.7438,0.0001,200,0.0003
50.7433,0.0353,0.0012,0.0001,50.7077,0.0001,200,0.0003
50.7978,0.0319,0.0013,0.0001,50.7656,0.0001,200,0.0003
50.0939,0.0287,0.0015,0.0002,50.0648,0.0002,200,0.0003
49.7265,0.0354,0.0012,0.0001,49.6908,0.0001,200,0.0002
50.8454,0.0344,0.0013,0.0001,50.8106,0.0002,200,0.0004
50.5817,0.0337,0.0011,0.0001,50.5475,0.0002,200,0.0003
49.8610,0.0355,0.0014,0.0001,49.8251,0.0002,200,0.0003
50.9807,0.0357,0.0011,0.0001,50.9448,0.0001,200,0.0002
49.4160,0.0357,0.0015,0.0001,49.3799,0.0002,200,0.0003
49.9389,0.0341,0.0014,0.0001,49.9043,0.0002,200,0.0003
50.1752,0.0330,0.0011,0.0001,50.1419,0.0001,200,0.0003
50.4897,0.0258,0.0011,0.0001,50.4636,0.0001,200,0.0003
51.3125,0.0367,0.0012,0.0001,51.2755,0.0001,200,0.0002
49.5388,0.0225,0.0012,0.0001,49.5158,0.0002,200,0.0003
49.8798,0.0346,0.0012,0.0001,49.8446,0.0002,200,0.0004
49.9646,0.0387,0.0012,0.0001,49.9254,0.0002,200,0.0003
50.2151,0.0343,0.0010,0.0001,50.1804,0.0002,200,0.0004
50.9668,0.0275,0.0010,0.0001,50.9390,0.0001,200,0.0003
49.2815,0.0357,0.0012,0.0001,49.2454,0.0002,200,0.0003
49.7259,0.0334,0.0019,0.0001,49.6922,0.0001,200,0.0003
50.5938,0.0279,0.0012,0.0001,50.5656,0.0001,200,0.0003
50.6422,0.0226,0.0013,0.0001,50.6190,0.0002,200,0.0003
50.2317,0.0293,0.0012,0.0001,50.2020,0.0002,200,0.0002
51.4641,0.0265,0.0013,0.0001,51.4373,0.0001,200,0.0003
50.8302,0.0346,0.0013,0.0001,50.7952,0.0002,200,0.0003
49.6701,0.0353,0.0012,0.0001,49.6344,0.0002,200,0.0003
50.0395,0.0392,0.0018,0.0001,49.9999,0.0001,200,0.0003
50.1454,0.0283,0.0013,0.0001,50.1168,0.0001,200,0.0003
50.7804,0.0334,0.0012,0.0001,50.7466,0.0001,200,0.0003
50.3793,0.0285,0.0014,0.0001,50.3504,0.0002,200,0.0003
49.8217,0.0346,0.0012,0.0001,49.7868,0.0002,200,0.0003
50.7121,0.0405,0.0013,0.0001,50.6713,0.0001,200,0.0003
50.8695,0.0359,0.0013,0.0001,50.8332,0.0002,200,0.0003
50.5143,0.0347,0.0011,0.0001,50.4792,0.0001,200,0.0003
