response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
22.2892,0.0367,0.0013,0.0001,22.2522,0.0002,200,0.0037
21.9396,0.0000,0.0000,0.0001,21.9393,0.0002,200,22.2929
21.8862,0.0000,0.0000,0.0000,21.8861,0.0001,200,44.2324
22.0756,0.0000,0.0000,0.0000,22.0754,0.0001,200,66.1186
22.2869,0.0000,0.0000,0.0000,22.2868,0.0001,200,88.1942
22.3137,0.0000,0.0000,0.0000,22.3136,0.0001,200,110.4812
22.1925,0.0000,0.0000,0.0000,22.1924,0.0001,200,132.7949
22.0586,0.0000,0.0000,0.0000,22.0584,0.0001,200,154.9875
22.0820,0.0000,0.0000,0.0001,22.0818,0.0001,200,177.0461
22.1181,0.0000,0.0000,0.0000,22.1179,0.0001,200,199.1281
22.3353,0.0000,0.0000,0.0000,22.3352,0.0001,200,221.2462
22.7532,0.0000,0.0000,0.0000,22.7530,0.0002,200,243.5815
22.2987,0.0000,0.0000,0.0003,22.2979,0.0001,200,266.3347
22.3968,0.0000,0.0000,0.0000,22.3966,0.0001,200,288.6333
