response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.1272,0.0405,0.0011,0.0001,1.0865,0.0002,200,0.0035
1.0284,0.0000,0.0000,0.0000,1.0281,0.0002,200,1.1308
0.9915,0.0000,0.0000,0.0001,0.9913,0.0001,200,2.1591
1.0223,0.0000,0.0000,0.0000,1.0221,0.0001,200,3.1507
0.9623,0.0000,0.0000,0.0000,0.9621,0.0001,200,4.1730
1.0199,0.0000,0.0000,0.0000,1.0198,0.0001,200,5.1352
0.9965,0.0000,0.0000,0.0000,0.9964,0.0001,200,6.1551
0.9188,0.0000,0.0000,0.0000,0.9187,0.0001,200,7.1517
0.9780,0.0000,0.0000,0.0000,0.9778,0.0001,200,8.0705
1.0347,0.0000,0.0000,0.0000,1.0346,0.0001,200,9.0485
1.0162,0.0000,0.0000,0.0000,1.0161,0.0001,200,10.0832
0.9680,0.0000,0.0000,0.0000,0.9678,0.0001,200,11.0994
1.0267,0.0000,0.0000,0.0000,1.0265,0.0001,200,12.0674
0.9427,0.0000,0.0000,0.0000,0.9425,0.0001,200,13.0940
0.9913,0.0000,0.0000,0.0000,0.9911,0.0001,200,14.0367
0.9772,0.0000,0.0000,0.0000,0.9770,0.0001,200,15.0279
0.9639,0.0000,0.0000,0.0001,0.9637,0.0001,200,16.0051
1.0001,0.0000,0.0000,0.0000,0.9999,0.0001,200,16.9690
0.9973,0.0000,0.0000,0.0000,0.9971,0.0001,200,17.9691
1.0510,0.0000,0.0000,0.0000,1.0509,0.0001,200,18.9664
1.0582,0.0000,0.0000,0.0000,1.0581,0.0001,200,20.0174
0.9671,0.0000,0.0000,0.0000,0.9670,0.0001,200,21.0755
1.0506,0.0000,0.0000,0.0000,1.0504,0.0001,200,22.0426
1.1353,0.0000,0.0000,0.0000,1.1351,0.0001,200,23.0932
0.9849,0.0000,0.0000,0.0000,0.9847,0.0001,200,24.2285
0.9731,0.0000,0.0000,0.0000,0.9729,0.0001,200,25.2134
1.0094,0.0000,0.0000,0.0000,1.0093,0.0001,200,26.1864
0.9723,0.0000,0.0000,0.0000,0.9722,0.0001,200,27.1959
0.9670,0.0000,0.0000,0.0000,0.9668,0.0001,200,28.1682
1.0081,0.0000,0.0000,0.0000,1.0080,0.0001,200,29.1351
1.0535,0.0000,0.0000,0.0000,1.0533,0.0001,200,30.1433
0.9574,0.0000,0.0000,0.0001,0.9572,0.0001,200,31.1968
0.9961,0.0000,0.0000,0.0000,0.9960,0.0001,200,32.1541
1.0212,0.0000,0.0000,0.0000,1.0210,0.0001,200,33.1502
1.0388,0.0000,0.0000,0.0000,1.0387,0.0001,200,34.1714
