response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.2155,0.0355,0.0014,0.0001,7.1795,0.0002,200,0.0031
7.1312,0.0000,0.0000,0.0000,7.1311,0.0001,200,7.2186
7.0943,0.0000,0.0000,0.0000,7.0940,0.0002,200,14.3498
7.0959,0.0000,0.0000,0.0000,7.0957,0.0001,200,21.4441
7.1630,0.0000,0.0000,0.0000,7.1628,0.0001,200,28.5400
7.1291,0.0000,0.0000,0.0000,7.1290,0.0001,200,35.7030
7.1170,0.0000,0.0000,0.0000,7.1168,0.0001,200,42.8321
7.1143,0.0000,0.0000,0.0000,7.1142,0.0001,200,49.9491
7.1453,0.0000,0.0000,0.0000,7.1452,0.0001,200,57.0634
7.1070,0.0000,0.0000,0.0000,7.1069,0.0001,200,64.2087
7.1364,0.0000,0.0000,0.0000,7.1362,0.0001,200,71.3157
7.1092,0.0000,0.0000,0.0000,7.1091,0.0001,200,78.4521
7.1460,0.0000,0.0000,0.0001,7.1458,0.0001,200,85.5613
7.1344,0.0000,0.0000,0.0000,7.1343,0.0001,200,92.7073
7.1273,0.0000,0.0000,0.0000,7.1272,0.0001,200,99.8417
7.1473,0.0000,0.0000,0.0000,7.1472,0.0001,200,106.9690
7.1194,0.0000,0.0000,0.0000,7.1192,0.0001,200,114.1164
7.1247,0.0000,0.0000,0.0000,7.1245,0.0001,200,121.2357
7.1308,0.0000,0.0000,0.0000,7.1306,0.0001,200,128.3604
7.1623,0.0000,0.0000,0.0000,7.1620,0.0002,200,135.4912
7.1465,0.0000,0.0000,0.0001,7.1463,0.0001,200,142.6534
7.1273,0.0000,0.0000,0.0000,7.1271,0.0001,200,149.8000
7.1214,0.0000,0.0000,0.0000,7.1213,0.0001,200,156.9272
7.1080,0.0000,0.0000,0.0000,7.1079,0.0001,200,164.0486
7.1604,0.0000,0.0000,0.0000,7.1602,0.0001,200,171.1566
7.1320,0.0000,0.0000,0.0000,7.1318,0.0001,200,178.3170
7.1061,0.0000,0.0000,0.0000,7.1060,0.0001,200,185.4490
7.1552,0.0000,0.0000,0.0000,7.1551,0.0001,200,192.5551
7.1235,0.0000,0.0000,0.0000,7.1234,0.0001,200,199.7103
7.1043,0.0000,0.0000,0.0000,7.1042,0.0001,200,206.8339
7.1353,0.0000,0.0000,0.0000,7.1352,0.0001,200,213.9382
7.1648,0.0000,0.0000,0.0000,7.1646,0.0001,200,221.0736
7.1714,0.0000,0.0000,0.0000,7.1712,0.0001,200,228.2384
7.1123,0.0000,0.0000,0.0000,7.1121,0.0001,200,235.4098
7.1017,0.0000,0.0000,0.0006,7.1009,0.0001,200,242.5221
7.1126,0.0000,0.0000,0.0000,7.1124,0.0001,200,249.6238
7.1646,0.0000,0.0000,0.0000,7.1644,0.0002,200,256.7364
7.1216,0.0000,0.0000,0.0001,7.1213,0.0001,200,263.9010
7.1389,0.0000,0.0000,0.0000,7.1387,0.0001,200,271.0226
7.1244,0.0000,0.0000,0.0000,7.1243,0.0001,200,278.1614
7.1752,0.0000,0.0000,0.0000,7.1750,0.0001,200,285.2859
7.1142,0.0000,0.0000,0.0000,7.1141,0.0001,200,292.4610
7.0857,0.0000,0.0000,0.0000,7.0855,0.0001,200,299.5753
