response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.8075,0.0354,0.0015,0.0001,3.7717,0.0002,200,0.0039
3.7507,0.0000,0.0000,0.0000,3.7505,0.0001,200,3.8114
3.8016,0.0000,0.0000,0.0000,3.8014,0.0001,200,7.5621
3.8290,0.0000,0.0000,0.0000,3.8289,0.0001,200,11.3637
3.8062,0.0000,0.0000,0.0000,3.8061,0.0001,200,15.1927
3.8030,0.0000,0.0000,0.0000,3.8029,0.0001,200,18.9989
3.7826,0.0000,0.0000,0.0000,3.7824,0.0001,200,22.8020
3.8536,0.0000,0.0000,0.0000,3.8534,0.0001,200,26.5845
3.8360,0.0000,0.0000,0.0000,3.8359,0.0001,200,30.4381
3.7793,0.0000,0.0000,0.0000,3.7791,0.0001,200,34.2741
3.8520,0.0000,0.0000,0.0000,3.8519,0.0001,200,38.0534
3.8521,0.0000,0.0000,0.0000,3.8519,0.0001,200,41.9054
3.8526,0.0000,0.0000,0.0000,3.8524,0.0001,200,45.7575
3.7503,0.0000,0.0000,0.0001,3.7500,0.0002,200,49.6101
3.9154,0.0000,0.0000,0.0000,3.9152,0.0001,200,53.3604
3.8578,0.0000,0.0000,0.0000,3.8577,0.0001,200,57.2758
3.8009,0.0000,0.0000,0.0000,3.8007,0.0001,200,61.1336
3.7910,0.0000,0.0000,0.0000,3.7908,0.0001,200,64.9345
3.7783,0.0000,0.0000,0.0000,3.7781,0.0001,200,68.7255
3.8363,0.0000,0.0000,0.0000,3.8362,0.0001,200,72.5037
3.8356,0.0000,0.0000,0.0000,3.8354,0.0001,200,76.3401
3.8722,0.0000,0.0000,0.0001,3.8720,0.0001,200,80.1757
3.7761,0.0000,0.0000,0.0000,3.7760,0.0001,200,84.0479
3.9212,0.0000,0.0000,0.0000,3.9210,0.0001,200,87.8240
3.7668,0.0000,0.0000,0.0000,3.7667,0.0001,200,91.7451
3.7733,0.0000,0.0000,0.0000,3.7732,0.0001,200,95.5119
3.7571,0.0000,0.0000,0.0000,3.7570,0.0001,200,99.2852
3.8495,0.0000,0.0000,0.0000,3.8494,0.0001,200,103.0423
3.8004,0.0000,0.0000,0.0000,3.8003,0.0001,200,106.8918
3.7618,0.0000,0.0000,0.0000,3.7615,0.0001,200,110.6922
3.7644,0.0000,0.0000,0.0000,3.7642,0.0001,200,114.4541
3.8449,0.0000,0.0000,0.0000,3.8448,0.0001,200,118.2185
3.8528,0.0000,0.0000,0.0001,3.8521,0.0002,200,122.0634
3.8888,0.0000,0.0000,0.0000,3.8886,0.0001,200,125.9162
3.7291,0.0000,0.0000,0.0000,3.7289,0.0001,200,129.8050
3.8574,0.0000,0.0000,0.0000,3.8572,0.0002,200,133.5341
3.8215,0.0000,0.0000,0.0000,3.8213,0.0001,200,137.3915
3.7846,0.0000,0.0000,0.0000,3.7844,0.0001,200,141.2130
3.8381,0.0000,0.0000,0.0000,3.8380,0.0001,200,144.9975
3.9660,0.0000,0.0000,0.0000,3.9659,0.0001,200,148.8357
3.8124,0.0000,0.0000,0.0000,3.8122,0.0001,200,152.8017
3.7675,0.0000,0.0000,0.0000,3.7673,0.0001,200,156.6141
3.7667,0.0000,0.0000,0.0000,3.7666,0.0001,200,160.3816
3.8682,0.0000,0.0000,0.0000,3.8680,0.0001,200,164.1483
3.8349,0.0000,0.0000,0.0000,3.8347,0.0001,200,168.0165
3.8791,0.0000,0.0000,0.0000,3.8790,0.0001,200,171.8514
3.7993,0.0000,0.0000,0.0000,3.7991,0.0001,200,175.7305
3.8266,0.0000,0.0000,0.0000,3.8265,0.0001,200,179.5298
3.8301,0.0000,0.0000,0.0000,3.8300,0.0001,200,183.3564
3.7879,0.0000,0.0000,0.0000,3.7877,0.0001,200,187.1865
3.8130,0.0000,0.0000,0.0000,3.8129,0.0001,200,190.9744
3.9419,0.0000,0.0000,0.0000,3.9417,0.0001,200,194.7874
3.9173,0.0000,0.0000,0.0000,3.9172,0.0001,200,198.7293
3.7674,0.0000,0.0000,0.0000,3.7672,0.0001,200,202.6466
3.8240,0.0000,0.0000,0.0000,3.8238,0.0001,200,206.4140
3.8407,0.0000,0.0000,0.0000,3.8405,0.0001,200,210.2380
3.8061,0.0000,0.0000,0.0000,3.8060,0.0001,200,214.0787
3.7843,0.0000,0.0000,0.0000,3.7842,0.0001,200,217.8848
3.8022,0.0000,0.0000,0.0000,3.8020,0.0001,200,221.6691
3.8671,0.0000,0.0000,0.0000,3.8669,0.0002,200,225.4713
3.7958,0.0000,0.0000,0.0000,3.7956,0.0001,200,229.3384
3.8149,0.0000,0.0000,0.0000,3.8147,0.0001,200,233.1343
3.7876,0.0000,0.0000,0.0000,3.7875,0.0001,200,236.9491
3.8550,0.0000,0.0000,0.0000,3.8549,0.0001,200,240.7368
3.8226,0.0000,0.0000,0.0000,3.8224,0.0001,200,244.5918
3.9730,0.0000,0.0000,0.0000,3.9729,0.0001,200,248.4144
3.7954,0.0000,0.0000,0.0000,3.7952,0.0001,200,252.3875
3.8983,0.0000,0.0000,0.0000,3.8982,0.0001,200,256.1829
3.8105,0.0000,0.0000,0.0000,3.8103,0.0001,200,260.0812
3.7467,0.0000,0.0000,0.0000,3.7466,0.0001,200,263.8917
3.9203,0.0000,0.0000,0.0000,3.9201,0.0001,200,267.6384
3.8377,0.0000,0.0000,0.0000,3.8376,0.0001,200,271.5587
3.8047,0.0000,0.0000,0.0000,3.8046,0.0001,200,275.3964
3.7712,0.0000,0.0000,0.0000,3.7711,0.0001,200,279.2011
3.7949,0.0000,0.0000,0.0000,3.7947,0.0001,200,282.9724
3.9114,0.0000,0.0000,0.0000,3.9112,0.0001,200,286.7672
3.8424,0.0000,0.0000,0.0000,3.8422,0.0001,200,290.6786
3.8565,0.0000,0.0000,0.0000,3.8564,0.0001,200,294.5210
3.7845,0.0000,0.0000,0.0000,3.7843,0.0001,200,298.3775
