response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.8550,0.0341,0.0012,0.0001,5.8206,0.0002,200,0.0041
5.6749,0.0000,0.0000,0.0000,5.6747,0.0001,200,5.8591
5.6712,0.0000,0.0000,0.0000,5.6710,0.0002,200,11.5340
5.8555,0.0000,0.0000,0.0000,5.8553,0.0001,200,17.2052
5.6408,0.0000,0.0000,0.0000,5.6406,0.0001,200,23.0607
5.5438,0.0000,0.0000,0.0000,5.5437,0.0001,200,28.7015
5.5646,0.0000,0.0000,0.0001,5.5642,0.0002,200,34.2453
5.6686,0.0000,0.0000,0.0000,5.6684,0.0001,200,39.8099
5.5802,0.0000,0.0000,0.0000,5.5801,0.0001,200,45.4784
5.6288,0.0000,0.0000,0.0000,5.6286,0.0001,200,51.0586
5.5922,0.0000,0.0000,0.0000,5.5921,0.0001,200,56.6874
5.5505,0.0000,0.0000,0.0000,5.5504,0.0001,200,62.2796
5.6412,0.0000,0.0000,0.0001,5.6410,0.0001,200,67.8301
5.7846,0.0000,0.0000,0.0000,5.7844,0.0001,200,73.4714
5.6703,0.0000,0.0000,0.0000,5.6701,0.0001,200,79.2559
5.6287,0.0000,0.0000,0.0000,5.6285,0.0001,200,84.9262
5.6880,0.0000,0.0000,0.0000,5.6878,0.0001,200,90.5549
5.5681,0.0000,0.0000,0.0000,5.5679,0.0001,200,96.2428
5.6160,0.0000,0.0000,0.0000,5.6159,0.0001,200,101.8109
5.6585,0.0000,0.0000,0.0000,5.6583,0.0001,200,107.4270
5.6277,0.0000,0.0000,0.0000,5.6275,0.0001,200,113.0855
5.6400,0.0000,0.0000,0.0000,5.6399,0.0001,200,118.7132
5.5561,0.0000,0.0000,0.0004,5.5556,0.0001,200,124.3532
5.8806,0.0000,0.0000,0.0001,5.8804,0.0001,200,129.9093
5.7185,0.0000,0.0000,0.0001,5.7182,0.0002,200,135.7899
5.5622,0.0000,0.0000,0.0000,5.5620,0.0001,200,141.5083
5.5868,0.0000,0.0000,0.0000,5.5867,0.0001,200,147.0705
5.6292,0.0000,0.0000,0.0000,5.6290,0.0001,200,152.6574
5.5713,0.0000,0.0000,0.0000,5.5712,0.0001,200,158.2865
5.5807,0.0000,0.0000,0.0000,5.5806,0.0001,200,163.8579
5.6582,0.0000,0.0000,0.0000,5.6581,0.0001,200,169.4386
5.5923,0.0000,0.0000,0.0000,5.5922,0.0001,200,175.0969
5.5441,0.0000,0.0000,0.0000,5.5439,0.0001,200,180.6891
5.8623,0.0000,0.0000,0.0000,5.8621,0.0001,200,186.2332
5.7593,0.0000,0.0000,0.0000,5.7591,0.0001,200,192.0955
5.6768,0.0000,0.0000,0.0000,5.6766,0.0001,200,197.8548
5.6579,0.0000,0.0000,0.0000,5.6578,0.0001,200,203.5316
5.5805,0.0000,0.0000,0.0001,5.5804,0.0001,200,209.1895
5.6658,0.0000,0.0000,0.0000,5.6656,0.0001,200,214.7701
5.5724,0.0000,0.0000,0.0000,5.5723,0.0001,200,220.4358
5.5985,0.0000,0.0000,0.0000,5.5984,0.0001,200,226.0082
5.5744,0.0000,0.0000,0.0000,5.5743,0.0001,200,231.6068
5.5575,0.0000,0.0000,0.0000,5.5573,0.0001,200,237.1812
5.8683,0.0000,0.0000,0.0000,5.8682,0.0001,200,242.7387
5.5973,0.0000,0.0000,0.0003,5.5964,0.0001,200,248.6070
5.6410,0.0000,0.0000,0.0001,5.6408,0.0001,200,254.2044
5.6459,0.0000,0.0000,0.0000,5.6457,0.0001,200,259.8454
5.6231,0.0000,0.0000,0.0000,5.6229,0.0001,200,265.4913
5.6091,0.0000,0.0000,0.0000,5.6090,0.0001,200,271.1144
5.6811,0.0000,0.0000,0.0000,5.6810,0.0001,200,276.7235
5.6402,0.0000,0.0000,0.0000,5.6401,0.0001,200,282.4046
5.6645,0.0000,0.0000,0.0000,5.6643,0.0001,200,288.0448
5.5431,0.0000,0.0000,0.0000,5.5429,0.0001,200,293.7093
5.8151,0.0000,0.0000,0.0000,5.8150,0.0001,200,299.2523
