response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.4576,0.0369,0.0015,0.0001,30.4203,0.0002,200,0.0027
30.0266,0.0000,0.0000,0.0001,30.0263,0.0001,200,30.4602
30.0280,0.0000,0.0000,0.0000,30.0278,0.0001,200,60.4868
30.0268,0.0000,0.0000,0.0000,30.0263,0.0005,200,90.5148
30.0240,0.0000,0.0000,0.0004,30.0234,0.0001,200,120.5416
30.0246,0.0000,0.0000,0.0001,30.0244,0.0002,200,150.5656
30.0249,0.0000,0.0000,0.0000,30.0247,0.0002,200,180.5902
30.0212,0.0000,0.0000,0.0000,30.0211,0.0001,200,210.6151
30.0247,0.0000,0.0000,0.0004,30.0242,0.0001,200,240.6364
30.0279,0.0000,0.0000,0.0000,30.0278,0.0001,200,270.6611
