response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.3326,0.0286,0.0013,0.0001,2.3036,0.0002,200,0.0043
2.1626,0.0000,0.0000,0.0000,2.1624,0.0001,200,2.3369
2.1505,0.0000,0.0000,0.0000,2.1504,0.0001,200,4.4995
2.1814,0.0000,0.0000,0.0000,2.1811,0.0002,200,6.6500
2.1404,0.0000,0.0000,0.0000,2.1402,0.0001,200,8.8314
2.1575,0.0000,0.0000,0.0001,2.1573,0.0001,200,10.9718
2.1465,0.0000,0.0000,0.0000,2.1463,0.0001,200,13.1293
2.1793,0.0000,0.0000,0.0001,2.1791,0.0001,200,15.2757
2.1561,0.0000,0.0000,0.0000,2.1560,0.0001,200,17.4551
2.1582,0.0000,0.0000,0.0000,2.1581,0.0001,200,19.6112
2.1462,0.0000,0.0000,0.0000,2.1461,0.0001,200,21.7694
2.1403,0.0000,0.0000,0.0000,2.1401,0.0001,200,23.9156
2.1708,0.0000,0.0000,0.0000,2.1707,0.0001,200,26.0559
2.1449,0.0000,0.0000,0.0000,2.1447,0.0001,200,28.2267
2.1477,0.0000,0.0000,0.0000,2.1476,0.0001,200,30.3716
2.1789,0.0000,0.0000,0.0000,2.1788,0.0001,200,32.5193
2.1780,0.0000,0.0000,0.0000,2.1779,0.0001,200,34.6982
2.1821,0.0000,0.0000,0.0000,2.1820,0.0001,200,36.8763
2.1649,0.0000,0.0000,0.0000,2.1647,0.0001,200,39.0584
2.1732,0.0000,0.0000,0.0000,2.1730,0.0001,200,41.2233
2.1751,0.0000,0.0000,0.0000,2.1748,0.0002,200,43.3965
2.2065,0.0000,0.0000,0.0000,2.2063,0.0001,200,45.5716
2.1797,0.0000,0.0000,0.0000,2.1795,0.0001,200,47.7781
2.1707,0.0000,0.0000,0.0000,2.1706,0.0001,200,49.9577
2.2118,0.0000,0.0000,0.0000,2.2117,0.0001,200,52.1285
2.1522,0.0000,0.0000,0.0000,2.1521,0.0001,200,54.3403
2.1816,0.0000,0.0000,0.0000,2.1814,0.0001,200,56.4925
2.1619,0.0000,0.0000,0.0000,2.1617,0.0001,200,58.6741
2.1777,0.0000,0.0000,0.0000,2.1775,0.0001,200,60.8360
2.1744,0.0000,0.0000,0.0000,2.1743,0.0001,200,63.0137
2.1700,0.0000,0.0000,0.0000,2.1698,0.0001,200,65.1881
2.1717,0.0000,0.0000,0.0000,2.1716,0.0001,200,67.3581
2.1579,0.0000,0.0000,0.0000,2.1578,0.0001,200,69.5298
2.1767,0.0000,0.0000,0.0000,2.1766,0.0001,200,71.6878
2.1528,0.0000,0.0000,0.0000,2.1526,0.0001,200,73.8645
2.1698,0.0000,0.0000,0.0000,2.1696,0.0001,200,76.0173
2.1598,0.0000,0.0000,0.0000,2.1596,0.0001,200,78.1871
2.1603,0.0000,0.0000,0.0000,2.1601,0.0001,200,80.3469
2.1449,0.0000,0.0000,0.0000,2.1447,0.0001,200,82.5072
2.1509,0.0000,0.0000,0.0000,2.1507,0.0001,200,84.6521
2.1822,0.0000,0.0000,0.0000,2.1821,0.0001,200,86.8030
2.1374,0.0000,0.0000,0.0000,2.1372,0.0001,200,88.9851
2.1631,0.0000,0.0000,0.0000,2.1630,0.0001,200,91.1225
2.1660,0.0000,0.0000,0.0000,2.1658,0.0001,200,93.2857
2.1567,0.0000,0.0000,0.0000,2.1565,0.0001,200,95.4516
2.1538,0.0000,0.0000,0.0000,2.1537,0.0001,200,97.6083
2.1477,0.0000,0.0000,0.0000,2.1475,0.0001,200,99.7621
2.1516,0.0000,0.0000,0.0000,2.1515,0.0001,200,101.9098
2.1596,0.0000,0.0000,0.0000,2.1595,0.0001,200,104.0614
2.1821,0.0000,0.0000,0.0000,2.1819,0.0001,200,106.2211
2.1340,0.0000,0.0000,0.0000,2.1339,0.0001,200,108.4031
2.1695,0.0000,0.0000,0.0000,2.1693,0.0001,200,110.5372
2.1568,0.0000,0.0000,0.0000,2.1566,0.0001,200,112.7067
2.1714,0.0000,0.0000,0.0000,2.1712,0.0001,200,114.8635
2.1518,0.0000,0.0000,0.0000,2.1517,0.0001,200,117.0349
2.1372,0.0000,0.0000,0.0001,2.1370,0.0001,200,119.1867
2.1422,0.0000,0.0000,0.0003,2.1415,0.0001,200,121.3238
2.1507,0.0000,0.0000,0.0000,2.1505,0.0002,200,123.4660
2.1632,0.0000,0.0000,0.0000,2.1629,0.0002,200,125.6167
2.1702,0.0000,0.0000,0.0000,2.1700,0.0001,200,127.7799
2.1757,0.0000,0.0000,0.0000,2.1756,0.0001,200,129.9501
2.2001,0.0000,0.0000,0.0000,2.2000,0.0001,200,132.1259
2.1732,0.0000,0.0000,0.0000,2.1731,0.0001,200,134.3260
2.1762,0.0000,0.0000,0.0000,2.1760,0.0001,200,136.4992
2.1656,0.0000,0.0000,0.0000,2.1655,0.0001,200,138.6754
2.1762,0.0000,0.0000,0.0000,2.1761,0.0001,200,140.8410
2.1695,0.0000,0.0000,0.0000,2.1693,0.0001,200,143.0173
2.1713,0.0000,0.0000,0.0000,2.1712,0.0001,200,145.1868
2.1968,0.0000,0.0000,0.0000,2.1967,0.0001,200,147.3581
2.1824,0.0000,0.0000,0.0000,2.1823,0.0001,200,149.5549
2.1772,0.0000,0.0000,0.0001,2.1770,0.0001,200,151.7373
2.1673,0.0000,0.0000,0.0000,2.1671,0.0001,200,153.9146
2.1991,0.0000,0.0000,0.0000,2.1990,0.0001,200,156.0819
2.1587,0.0000,0.0000,0.0000,2.1585,0.0001,200,158.2810
2.1640,0.0000,0.0000,0.0000,2.1638,0.0001,200,160.4397
