response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.7561,0.0328,0.0015,0.0001,3.7230,0.0001,200,0.0039
3.6201,0.0000,0.0000,0.0000,3.6200,0.0001,200,3.7600
3.4563,0.0000,0.0000,0.0000,3.4562,0.0001,200,7.3801
3.3916,0.0000,0.0000,0.0000,3.3913,0.0002,200,10.8365
3.4481,0.0000,0.0000,0.0001,3.4479,0.0001,200,14.2281
3.5360,0.0000,0.0000,0.0000,3.5358,0.0001,200,17.6762
3.3831,0.0000,0.0000,0.0000,3.3830,0.0001,200,21.2121
3.4005,0.0000,0.0000,0.0001,3.4003,0.0001,200,24.5953
3.4565,0.0000,0.0000,0.0000,3.4563,0.0001,200,27.9958
3.3344,0.0000,0.0000,0.0000,3.3342,0.0001,200,31.4522
3.4052,0.0000,0.0000,0.0000,3.4051,0.0001,200,34.7866
3.4320,0.0000,0.0000,0.0000,3.4318,0.0001,200,38.1919
3.4158,0.0000,0.0000,0.0000,3.4157,0.0001,200,41.6238
3.4001,0.0000,0.0000,0.0000,3.3999,0.0002,200,45.0396
3.4350,0.0000,0.0000,0.0000,3.4348,0.0001,200,48.4398
3.3292,0.0000,0.0000,0.0000,3.3291,0.0001,200,51.8748
3.3600,0.0000,0.0000,0.0000,3.3599,0.0001,200,55.2040
3.3921,0.0000,0.0000,0.0000,3.3920,0.0001,200,58.5640
3.3240,0.0000,0.0000,0.0000,3.3238,0.0001,200,61.9561
3.3447,0.0000,0.0000,0.0000,3.3446,0.0001,200,65.2801
3.4271,0.0000,0.0000,0.0000,3.4269,0.0001,200,68.6249
3.3729,0.0000,0.0000,0.0000,3.3728,0.0001,200,72.0520
3.3872,0.0000,0.0000,0.0000,3.3870,0.0001,200,75.4249
3.5119,0.0000,0.0000,0.0000,3.5117,0.0001,200,78.8121
3.3028,0.0000,0.0000,0.0000,3.3026,0.0001,200,82.3240
3.3973,0.0000,0.0000,0.0000,3.3971,0.0001,200,85.6267
3.3760,0.0000,0.0000,0.0000,3.3759,0.0001,200,89.0240
3.2769,0.0000,0.0000,0.0000,3.2768,0.0001,200,92.4001
3.3870,0.0000,0.0000,0.0000,3.3869,0.0001,200,95.6770
3.4239,0.0000,0.0000,0.0000,3.4237,0.0001,200,99.0640
3.3241,0.0000,0.0000,0.0000,3.3239,0.0001,200,102.4879
3.3482,0.0000,0.0000,0.0000,3.3481,0.0001,200,105.8120
3.4600,0.0000,0.0000,0.0000,3.4598,0.0001,200,109.1602
3.3436,0.0000,0.0000,0.0000,3.3434,0.0001,200,112.6202
3.3011,0.0000,0.0000,0.0000,3.3010,0.0001,200,115.9638
3.4512,0.0000,0.0000,0.0000,3.4510,0.0001,200,119.2649
3.2999,0.0000,0.0000,0.0001,3.2989,0.0001,200,122.7161
3.3599,0.0000,0.0000,0.0000,3.3596,0.0001,200,126.0160
3.4280,0.0000,0.0000,0.0000,3.4277,0.0001,200,129.3758
3.3402,0.0000,0.0000,0.0000,3.3400,0.0001,200,132.8038
3.3566,0.0000,0.0000,0.0000,3.3564,0.0001,200,136.1439
3.3957,0.0000,0.0000,0.0000,3.3956,0.0001,200,139.5005
3.3396,0.0000,0.0000,0.0000,3.3395,0.0001,200,142.8962
3.3722,0.0000,0.0000,0.0000,3.3721,0.0001,200,146.2358
3.3719,0.0000,0.0000,0.0000,3.3717,0.0001,200,149.6081
3.3200,0.0000,0.0000,0.0000,3.3198,0.0001,200,152.9799
3.3960,0.0000,0.0000,0.0000,3.3959,0.0001,200,156.2999
3.3722,0.0000,0.0000,0.0000,3.3721,0.0001,200,159.6959
3.3435,0.0000,0.0000,0.0000,3.3433,0.0001,200,163.0682
3.3324,0.0000,0.0000,0.0000,3.3323,0.0001,200,166.4117
3.4518,0.0000,0.0000,0.0000,3.4516,0.0001,200,169.7442
3.2778,0.0000,0.0000,0.0000,3.2777,0.0001,200,173.1959
