response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.1025,0.0262,0.0013,0.0001,8.0761,0.0001,200,0.0026
8.1971,0.0000,0.0000,0.0000,8.1969,0.0001,200,8.1051
8.0919,0.0000,0.0000,0.0000,8.0918,0.0001,200,16.3022
8.1728,0.0000,0.0000,0.0000,8.1727,0.0001,200,24.3942
8.2789,0.0000,0.0000,0.0000,8.2788,0.0001,200,32.5670
8.1405,0.0000,0.0000,0.0000,8.1403,0.0002,200,40.8459
8.1452,0.0000,0.0000,0.0000,8.1450,0.0001,200,48.9865
8.2443,0.0000,0.0000,0.0000,8.2441,0.0001,200,57.1316
8.2277,0.0000,0.0000,0.0000,8.2276,0.0001,200,65.3759
8.2064,0.0000,0.0000,0.0000,8.2062,0.0001,200,73.6037
8.2481,0.0000,0.0000,0.0000,8.2479,0.0001,200,81.8101
8.2222,0.0000,0.0000,0.0000,8.2220,0.0001,200,90.0582
8.2618,0.0000,0.0000,0.0000,8.2617,0.0001,200,98.2803
8.2086,0.0000,0.0000,0.0001,8.2083,0.0002,200,106.5421
8.1954,0.0000,0.0000,0.0000,8.1953,0.0001,200,114.7508
8.1236,0.0000,0.0000,0.0001,8.1229,0.0001,200,122.9462
8.1003,0.0000,0.0000,0.0000,8.1001,0.0001,200,131.0698
8.2410,0.0000,0.0000,0.0000,8.2408,0.0001,200,139.1701
8.2211,0.0000,0.0000,0.0000,8.2209,0.0001,200,147.4111
8.1818,0.0000,0.0000,0.0000,8.1816,0.0001,200,155.6322
8.2002,0.0000,0.0000,0.0000,8.2001,0.0001,200,163.8140
8.1798,0.0000,0.0000,0.0000,8.1797,0.0001,200,172.0142
8.1359,0.0000,0.0000,0.0000,8.1358,0.0001,200,180.1940
8.1803,0.0000,0.0000,0.0000,8.1802,0.0001,200,188.3299
8.1428,0.0000,0.0000,0.0000,8.1427,0.0001,200,196.5103
8.1731,0.0000,0.0000,0.0000,8.1730,0.0001,200,204.6531
8.2197,0.0000,0.0000,0.0000,8.2196,0.0001,200,212.8262
8.0879,0.0000,0.0000,0.0000,8.0877,0.0002,200,221.0459
8.1071,0.0000,0.0000,0.0000,8.1069,0.0001,200,229.1339
8.1969,0.0000,0.0000,0.0000,8.1967,0.0001,200,237.2410
8.2561,0.0000,0.0000,0.0004,8.2552,0.0001,200,245.4379
8.1775,0.0000,0.0000,0.0000,8.1773,0.0001,200,253.6941
8.2160,0.0000,0.0000,0.0000,8.2159,0.0001,200,261.8716
8.2385,0.0000,0.0000,0.0000,8.2383,0.0001,200,270.0876
8.2130,0.0000,0.0000,0.0000,8.2129,0.0001,200,278.3261
8.1998,0.0000,0.0000,0.0000,8.1997,0.0001,200,286.5391
8.3065,0.0000,0.0000,0.0000,8.3063,0.0001,200,294.7390
