response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.8080,0.0414,0.0014,0.0002,6.7661,0.0002,200,0.0037
6.5450,0.0000,0.0000,0.0001,6.5447,0.0002,200,6.8117
6.5346,0.0000,0.0000,0.0000,6.5344,0.0002,200,13.3567
6.5109,0.0000,0.0000,0.0001,6.5107,0.0001,200,19.8913
6.4923,0.0000,0.0000,0.0000,6.4921,0.0001,200,26.4022
6.5106,0.0000,0.0000,0.0000,6.5105,0.0001,200,32.8945
6.5042,0.0000,0.0000,0.0000,6.5041,0.0001,200,39.4051
6.5285,0.0000,0.0000,0.0000,6.5283,0.0001,200,45.9093
6.5220,0.0000,0.0000,0.0000,6.5218,0.0001,200,52.4378
6.4745,0.0000,0.0000,0.0000,6.4744,0.0001,200,58.9598
6.4671,0.0000,0.0000,0.0000,6.4670,0.0001,200,65.4343
6.5003,0.0000,0.0000,0.0000,6.5002,0.0001,200,71.9014
6.4986,0.0000,0.0000,0.0000,6.4985,0.0001,200,78.4017
6.4869,0.0000,0.0000,0.0000,6.4867,0.0001,200,84.9004
6.5053,0.0000,0.0000,0.0000,6.5052,0.0001,200,91.3872
6.4573,0.0000,0.0000,0.0000,6.4572,0.0001,200,97.8925
6.4835,0.0000,0.0000,0.0000,6.4834,0.0001,200,104.3499
6.4636,0.0000,0.0000,0.0000,6.4634,0.0001,200,110.8334
6.5108,0.0000,0.0000,0.0000,6.5106,0.0001,200,117.2970
6.4627,0.0000,0.0000,0.0004,6.4617,0.0001,200,123.8078
6.4917,0.0000,0.0000,0.0000,6.4915,0.0001,200,130.2705
6.5055,0.0000,0.0000,0.0000,6.5054,0.0001,200,136.7622
6.4683,0.0000,0.0000,0.0000,6.4681,0.0001,200,143.2678
6.4876,0.0000,0.0000,0.0000,6.4874,0.0001,200,149.7360
6.4866,0.0000,0.0000,0.0000,6.4865,0.0001,200,156.2236
6.5272,0.0000,0.0000,0.0000,6.5271,0.0001,200,162.7103
6.5106,0.0000,0.0000,0.0000,6.5104,0.0002,200,169.2375
6.4509,0.0000,0.0000,0.0000,6.4508,0.0001,200,175.7481
6.4801,0.0000,0.0000,0.0000,6.4800,0.0001,200,182.1990
6.3850,0.0000,0.0000,0.0000,6.3848,0.0001,200,188.6791
6.4689,0.0000,0.0000,0.0000,6.4688,0.0001,200,195.0641
6.4629,0.0000,0.0000,0.0000,6.4627,0.0001,200,201.5330
6.4628,0.0000,0.0000,0.0000,6.4626,0.0001,200,207.9959
6.4626,0.0000,0.0000,0.0000,6.4623,0.0001,200,214.4587
6.4671,0.0000,0.0000,0.0000,6.4670,0.0001,200,220.9213
6.5111,0.0000,0.0000,0.0000,6.5110,0.0001,200,227.3884
6.4697,0.0000,0.0000,0.0000,6.4695,0.0001,200,233.8995
6.5028,0.0000,0.0000,0.0000,6.5026,0.0001,200,240.3692
6.4744,0.0000,0.0000,0.0000,6.4742,0.0001,200,246.8720
6.5003,0.0000,0.0000,0.0000,6.5000,0.0002,200,253.3464
6.5227,0.0000,0.0000,0.0000,6.5225,0.0001,200,259.8466
6.4729,0.0000,0.0000,0.0001,6.4727,0.0001,200,266.3694
6.4703,0.0000,0.0000,0.0000,6.4701,0.0001,200,272.8423
6.4803,0.0000,0.0000,0.0000,6.4801,0.0001,200,279.3126
6.5044,0.0000,0.0000,0.0000,6.5042,0.0001,200,285.7929
6.5049,0.0000,0.0000,0.0000,6.5048,0.0001,200,292.2972
6.4871,0.0000,0.0000,0.0000,6.4869,0.0002,200,298.8022
