response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2007,0.0300,0.0016,0.0002,1.1702,0.0002,200,0.0044
1.1463,0.0000,0.0000,0.0000,1.1461,0.0001,200,1.2051
1.1910,0.0000,0.0000,0.0000,1.1908,0.0001,200,2.3514
1.1515,0.0000,0.0000,0.0000,1.1514,0.0001,200,3.5424
1.1645,0.0000,0.0000,0.0001,1.1642,0.0001,200,4.6939
1.1638,0.0000,0.0000,0.0000,1.1637,0.0001,200,5.8584
1.1590,0.0000,0.0000,0.0000,1.1588,0.0001,200,7.0222
1.1621,0.0000,0.0000,0.0000,1.1619,0.0001,200,8.1812
1.1625,0.0000,0.0000,0.0000,1.1623,0.0001,200,9.3432
1.1563,0.0000,0.0000,0.0000,1.1561,0.0001,200,10.5057
1.1568,0.0000,0.0000,0.0000,1.1566,0.0001,200,11.6620
1.1721,0.0000,0.0000,0.0000,1.1720,0.0001,200,12.8188
1.1458,0.0000,0.0000,0.0001,1.1457,0.0001,200,13.9909
1.1842,0.0000,0.0000,0.0000,1.1841,0.0001,200,15.1368
1.1562,0.0000,0.0000,0.0000,1.1560,0.0001,200,16.3210
1.1588,0.0000,0.0000,0.0000,1.1586,0.0001,200,17.4772
1.1756,0.0000,0.0000,0.0000,1.1754,0.0001,200,18.6359
1.1644,0.0000,0.0000,0.0000,1.1642,0.0001,200,19.8115
1.1765,0.0000,0.0000,0.0000,1.1763,0.0001,200,20.9759
1.1849,0.0000,0.0000,0.0000,1.1848,0.0001,200,22.1523
1.1545,0.0000,0.0000,0.0000,1.1544,0.0001,200,23.3373
1.1757,0.0000,0.0000,0.0000,1.1755,0.0001,200,24.4918
1.1840,0.0000,0.0000,0.0000,1.1838,0.0001,200,25.6675
1.1591,0.0000,0.0000,0.0000,1.1590,0.0001,200,26.8514
1.1579,0.0000,0.0000,0.0000,1.1578,0.0001,200,28.0105
1.1579,0.0000,0.0000,0.0000,1.1578,0.0001,200,29.1685
1.1540,0.0000,0.0000,0.0000,1.1539,0.0001,200,30.3264
1.1470,0.0000,0.0000,0.0000,1.1469,0.0001,200,31.4804
1.1914,0.0000,0.0000,0.0000,1.1913,0.0001,200,32.6274
1.1563,0.0000,0.0000,0.0000,1.1561,0.0001,200,33.8188
1.1744,0.0000,0.0000,0.0001,1.1742,0.0001,200,34.9751
1.1569,0.0000,0.0000,0.0000,1.1567,0.0001,200,36.1495
1.1539,0.0000,0.0000,0.0000,1.1537,0.0002,200,37.3064
1.1668,0.0000,0.0000,0.0000,1.1667,0.0001,200,38.4603
1.1705,0.0000,0.0000,0.0000,1.1703,0.0001,200,39.6272
1.1489,0.0000,0.0000,0.0000,1.1487,0.0001,200,40.7976
1.1791,0.0000,0.0000,0.0000,1.1790,0.0001,200,41.9465
1.1644,0.0000,0.0000,0.0000,1.1643,0.0001,200,43.1256
1.1628,0.0000,0.0000,0.0000,1.1626,0.0001,200,44.2901
1.1828,0.0000,0.0000,0.0000,1.1827,0.0001,200,45.4528
1.1680,0.0000,0.0000,0.0000,1.1678,0.0001,200,46.6357
1.1635,0.0000,0.0000,0.0000,1.1634,0.0001,200,47.8036
1.1492,0.0000,0.0000,0.0000,1.1490,0.0001,200,48.9671
1.1769,0.0000,0.0000,0.0000,1.1767,0.0001,200,50.1163
1.1567,0.0000,0.0000,0.0000,1.1566,0.0001,200,51.2932
1.1899,0.0000,0.0000,0.0000,1.1898,0.0001,200,52.4499
1.1594,0.0000,0.0000,0.0000,1.1592,0.0001,200,53.6398
1.1769,0.0000,0.0000,0.0001,1.1767,0.0001,200,54.7992
1.1599,0.0000,0.0000,0.0000,1.1598,0.0001,200,55.9761
1.1743,0.0000,0.0000,0.0000,1.1742,0.0001,200,57.1360
1.1551,0.0000,0.0000,0.0000,1.1549,0.0001,200,58.3103
