response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8129,0.0343,0.0013,0.0001,2.7783,0.0002,200,0.0039
2.7840,0.0000,0.0000,0.0000,2.7838,0.0001,200,2.8168
2.6980,0.0000,0.0000,0.0000,2.6979,0.0001,200,5.6008
2.7480,0.0000,0.0000,0.0000,2.7477,0.0002,200,8.2988
2.9240,0.0000,0.0000,0.0001,2.9238,0.0001,200,11.0468
2.7371,0.0000,0.0000,0.0000,2.7369,0.0001,200,13.9707
2.7273,0.0000,0.0000,0.0000,2.7271,0.0001,200,16.7078
2.7071,0.0000,0.0000,0.0000,2.7069,0.0001,200,19.4351
2.6850,0.0000,0.0000,0.0000,2.6849,0.0001,200,22.1422
2.7402,0.0000,0.0000,0.0000,2.7400,0.0001,200,24.8271
2.8419,0.0000,0.0000,0.0000,2.8418,0.0001,200,27.5673
2.7061,0.0000,0.0000,0.0000,2.7059,0.0001,200,30.4092
2.7803,0.0000,0.0000,0.0000,2.7801,0.0001,200,33.1153
2.7185,0.0000,0.0000,0.0000,2.7184,0.0001,200,35.8956
2.7358,0.0000,0.0000,0.0000,2.7356,0.0002,200,38.6141
2.7537,0.0000,0.0000,0.0000,2.7535,0.0001,200,41.3499
2.7430,0.0000,0.0000,0.0000,2.7429,0.0001,200,44.1036
2.8264,0.0000,0.0000,0.0000,2.8262,0.0001,200,46.8466
2.6952,0.0000,0.0000,0.0000,2.6950,0.0001,200,49.6730
2.6661,0.0000,0.0000,0.0000,2.6659,0.0001,200,52.3681
2.7445,0.0000,0.0000,0.0000,2.7444,0.0001,200,55.0342
2.9049,0.0000,0.0000,0.0000,2.9047,0.0001,200,57.7788
2.7159,0.0000,0.0000,0.0000,2.7158,0.0001,200,60.6836
2.6824,0.0000,0.0000,0.0000,2.6822,0.0001,200,63.3996
2.7141,0.0000,0.0000,0.0000,2.7139,0.0001,200,66.0820
2.7408,0.0000,0.0000,0.0000,2.7406,0.0001,200,68.7961
2.7793,0.0000,0.0000,0.0000,2.7791,0.0001,200,71.5368
2.7075,0.0000,0.0000,0.0000,2.7074,0.0001,200,74.3161
2.7432,0.0000,0.0000,0.0000,2.7430,0.0001,200,77.0236
2.7225,0.0000,0.0000,0.0000,2.7224,0.0001,200,79.7668
2.7740,0.0000,0.0000,0.0000,2.7738,0.0001,200,82.4893
2.7082,0.0000,0.0000,0.0000,2.7081,0.0001,200,85.2633
