response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.9452,0.0338,0.0013,0.0001,3.9113,0.0001,200,0.0029
3.9903,0.0000,0.0000,0.0000,3.9900,0.0002,200,3.9482
4.4315,0.0000,0.0000,0.0000,4.4314,0.0001,200,7.9384
4.3529,0.0000,0.0000,0.0000,4.3527,0.0002,200,12.3700
3.9056,0.0000,0.0000,0.0001,3.9054,0.0001,200,16.7229
4.3263,0.0000,0.0000,0.0000,4.3262,0.0001,200,20.6285
4.1412,0.0000,0.0000,0.0000,4.1410,0.0001,200,24.9548
4.5220,0.0000,0.0000,0.0000,4.5218,0.0001,200,29.0960
4.1396,0.0000,0.0000,0.0000,4.1395,0.0001,200,33.6180
4.2814,0.0000,0.0000,0.0000,4.2812,0.0001,200,37.7576
4.3306,0.0000,0.0000,0.0000,4.3305,0.0001,200,42.0390
4.3971,0.0000,0.0000,0.0000,4.3969,0.0001,200,46.3696
3.7497,0.0000,0.0000,0.0000,3.7495,0.0001,200,50.7667
4.4765,0.0000,0.0000,0.0000,4.4764,0.0001,200,54.5164
4.0312,0.0000,0.0000,0.0000,4.0310,0.0001,200,58.9929
4.1825,0.0000,0.0000,0.0000,4.1824,0.0001,200,63.0241
4.2435,0.0000,0.0000,0.0000,4.2434,0.0001,200,67.2066
4.5516,0.0000,0.0000,0.0000,4.5514,0.0001,200,71.4502
4.1468,0.0000,0.0000,0.0000,4.1466,0.0001,200,76.0017
4.5595,0.0000,0.0000,0.0000,4.5594,0.0001,200,80.1485
4.2203,0.0000,0.0000,0.0001,4.2201,0.0001,200,84.7080
4.3293,0.0000,0.0000,0.0000,4.3291,0.0001,200,88.9283
4.1623,0.0000,0.0000,0.0000,4.1622,0.0001,200,93.2576
4.2709,0.0000,0.0000,0.0000,4.2707,0.0001,200,97.4199
4.0433,0.0000,0.0000,0.0000,4.0431,0.0001,200,101.6908
4.0466,0.0000,0.0000,0.0000,4.0464,0.0001,200,105.7341
3.9502,0.0000,0.0000,0.0000,3.9500,0.0001,200,109.7806
4.2080,0.0000,0.0000,0.0000,4.2078,0.0001,200,113.7308
3.7157,0.0000,0.0000,0.0000,3.7155,0.0001,200,117.9388
4.1995,0.0000,0.0000,0.0007,4.1987,0.0001,200,121.6545
3.9204,0.0000,0.0000,0.0000,3.9202,0.0001,200,125.8540
4.4795,0.0000,0.0000,0.0000,4.4793,0.0002,200,129.7744
3.0112,0.0000,0.0000,0.0000,3.0110,0.0002,200,134.2539
3.9908,0.0000,0.0000,0.0000,3.9907,0.0001,200,137.2651
3.4288,0.0000,0.0000,0.0000,3.4286,0.0001,200,141.2560
4.4582,0.0000,0.0000,0.0000,4.4581,0.0001,200,144.6848
3.8349,0.0000,0.0000,0.0000,3.8348,0.0001,200,149.1430
3.7288,0.0000,0.0000,0.0000,3.7286,0.0001,200,152.9779
4.5063,0.0000,0.0000,0.0000,4.5062,0.0001,200,156.7067
3.2565,0.0000,0.0000,0.0000,3.2563,0.0001,200,161.2130
3.7591,0.0000,0.0000,0.0000,3.7590,0.0001,200,164.4695
3.4476,0.0000,0.0000,0.0001,3.4474,0.0001,200,168.2286
3.9849,0.0000,0.0000,0.0000,3.9847,0.0001,200,171.6762
4.2831,0.0000,0.0000,0.0000,4.2829,0.0001,200,175.6611
3.6945,0.0000,0.0000,0.0000,3.6944,0.0001,200,179.9442
4.7615,0.0000,0.0000,0.0000,4.7614,0.0001,200,183.6387
4.3745,0.0000,0.0000,0.0000,4.3743,0.0001,200,188.4002
4.1974,0.0000,0.0000,0.0000,4.1973,0.0001,200,192.7746
4.0045,0.0000,0.0000,0.0000,4.0044,0.0001,200,196.9721
3.6683,0.0000,0.0000,0.0000,3.6682,0.0001,200,200.9766
3.6589,0.0000,0.0000,0.0000,3.6588,0.0001,200,204.6449
4.1242,0.0000,0.0000,0.0000,4.1240,0.0001,200,208.3039
3.9500,0.0000,0.0000,0.0000,3.9498,0.0001,200,212.4281
3.2238,0.0000,0.0000,0.0000,3.2237,0.0001,200,216.3781
4.2304,0.0000,0.0000,0.0000,4.2303,0.0001,200,219.6019
3.3881,0.0000,0.0000,0.0000,3.3880,0.0001,200,223.8323
3.9348,0.0000,0.0000,0.0000,3.9346,0.0001,200,227.2205
4.3573,0.0000,0.0000,0.0000,4.3572,0.0001,200,231.1553
4.0359,0.0000,0.0000,0.0000,4.0358,0.0001,200,235.5126
4.2878,0.0000,0.0000,0.0000,4.2877,0.0001,200,239.5485
3.7160,0.0000,0.0000,0.0001,3.7153,0.0001,200,243.8364
4.3075,0.0000,0.0000,0.0000,4.3074,0.0001,200,247.5524
3.6000,0.0000,0.0000,0.0000,3.5997,0.0002,200,251.8599
4.2112,0.0000,0.0000,0.0000,4.2110,0.0001,200,255.4599
3.9350,0.0000,0.0000,0.0000,3.9348,0.0001,200,259.6711
4.4323,0.0000,0.0000,0.0000,4.4322,0.0001,200,263.6061
4.2601,0.0000,0.0000,0.0000,4.2600,0.0001,200,268.0385
4.1166,0.0000,0.0000,0.0000,4.1164,0.0001,200,272.2986
4.0850,0.0000,0.0000,0.0000,4.0848,0.0001,200,276.4151
4.4354,0.0000,0.0000,0.0000,4.4353,0.0001,200,280.5001
3.8359,0.0000,0.0000,0.0000,3.8357,0.0001,200,284.9356
4.4138,0.0000,0.0000,0.0000,4.4137,0.0001,200,288.7714
3.8852,0.0000,0.0000,0.0000,3.8851,0.0001,200,293.1852
4.1119,0.0000,0.0000,0.0000,4.1117,0.0001,200,297.0705
