response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.9347,0.0343,0.0012,0.0001,1.9000,0.0002,200,0.0034
1.6731,0.0000,0.0000,0.0001,1.6729,0.0001,200,1.9381
1.7404,0.0000,0.0000,0.0000,1.7403,0.0001,200,3.6112
1.6495,0.0000,0.0000,0.0000,1.6493,0.0001,200,5.3517
1.7990,0.0000,0.0000,0.0000,1.7988,0.0001,200,7.0012
1.6993,0.0000,0.0000,0.0000,1.6992,0.0001,200,8.8001
1.7106,0.0000,0.0000,0.0000,1.7104,0.0001,200,10.4995
1.8003,0.0000,0.0000,0.0000,1.8002,0.0001,200,12.2101
1.8176,0.0000,0.0000,0.0001,1.8175,0.0001,200,14.0104
1.6936,0.0000,0.0000,0.0000,1.6934,0.0001,200,15.8281
1.6646,0.0000,0.0000,0.0000,1.6644,0.0001,200,17.5216
1.6867,0.0000,0.0000,0.0000,1.6866,0.0001,200,19.1862
1.7586,0.0000,0.0000,0.0000,1.7584,0.0001,200,20.8729
1.7308,0.0000,0.0000,0.0000,1.7307,0.0001,200,22.6316
1.7007,0.0000,0.0000,0.0000,1.7006,0.0001,200,24.3624
1.6627,0.0000,0.0000,0.0000,1.6626,0.0001,200,26.0631
1.7101,0.0000,0.0000,0.0000,1.7100,0.0001,200,27.7259
1.6859,0.0000,0.0000,0.0000,1.6857,0.0001,200,29.4360
1.6774,0.0000,0.0000,0.0000,1.6772,0.0001,200,31.1219
1.6796,0.0000,0.0000,0.0000,1.6795,0.0001,200,32.7993
1.6440,0.0000,0.0000,0.0000,1.6439,0.0001,200,34.4789
1.6694,0.0000,0.0000,0.0000,1.6693,0.0001,200,36.1229
1.7324,0.0000,0.0000,0.0000,1.7323,0.0001,200,37.7923
1.6409,0.0000,0.0000,0.0000,1.6407,0.0001,200,39.5247
1.7128,0.0000,0.0000,0.0000,1.7126,0.0001,200,41.1656
1.6811,0.0000,0.0000,0.0000,1.6810,0.0001,200,42.8784
1.7006,0.0000,0.0000,0.0000,1.7004,0.0001,200,44.5595
1.6664,0.0000,0.0000,0.0000,1.6663,0.0001,200,46.2601
1.6560,0.0000,0.0000,0.0000,1.6558,0.0001,200,47.9266
1.6488,0.0000,0.0000,0.0000,1.6486,0.0001,200,49.5825
1.6879,0.0000,0.0000,0.0000,1.6877,0.0001,200,51.2313
1.6648,0.0000,0.0000,0.0000,1.6647,0.0001,200,52.9192
1.6631,0.0000,0.0000,0.0001,1.6629,0.0001,200,54.5840
1.6526,0.0000,0.0000,0.0000,1.6525,0.0001,200,56.2470
1.6970,0.0000,0.0000,0.0000,1.6968,0.0001,200,57.8997
1.6568,0.0000,0.0000,0.0000,1.6567,0.0001,200,59.5966
1.6655,0.0000,0.0000,0.0000,1.6653,0.0001,200,61.2535
1.6428,0.0000,0.0000,0.0000,1.6427,0.0001,200,62.9190
1.6734,0.0000,0.0000,0.0000,1.6732,0.0001,200,64.5618
1.7116,0.0000,0.0000,0.0000,1.7114,0.0001,200,66.2352
1.7254,0.0000,0.0000,0.0000,1.7252,0.0001,200,67.9468
1.6412,0.0000,0.0000,0.0000,1.6410,0.0001,200,69.6722
1.6772,0.0000,0.0000,0.0001,1.6771,0.0001,200,71.3134
1.6550,0.0000,0.0000,0.0000,1.6549,0.0001,200,72.9906
1.6455,0.0000,0.0000,0.0000,1.6454,0.0001,200,74.6457
1.7006,0.0000,0.0000,0.0000,1.7004,0.0001,200,76.2912
1.7100,0.0000,0.0000,0.0000,1.7098,0.0001,200,77.9918
1.6804,0.0000,0.0000,0.0000,1.6802,0.0001,200,79.7018
1.7364,0.0000,0.0000,0.0000,1.7363,0.0001,200,81.3822
1.7388,0.0000,0.0000,0.0000,1.7386,0.0001,200,83.1187
1.6652,0.0000,0.0000,0.0000,1.6650,0.0001,200,84.8575
1.6813,0.0000,0.0000,0.0000,1.6811,0.0001,200,86.5226
1.7952,0.0000,0.0000,0.0000,1.7951,0.0001,200,88.2040
1.6607,0.0000,0.0000,0.0000,1.6606,0.0001,200,89.9992
1.6573,0.0000,0.0000,0.0000,1.6571,0.0001,200,91.6599
1.7258,0.0000,0.0000,0.0000,1.7257,0.0001,200,93.3172
1.6834,0.0000,0.0000,0.0000,1.6833,0.0001,200,95.0430
1.6760,0.0000,0.0000,0.0000,1.6758,0.0001,200,96.7265
1.7244,0.0000,0.0000,0.0000,1.7242,0.0001,200,98.4025
1.6764,0.0000,0.0000,0.0000,1.6762,0.0001,200,100.1268
1.7009,0.0000,0.0000,0.0000,1.7007,0.0001,200,101.8032
1.7266,0.0000,0.0000,0.0000,1.7264,0.0001,200,103.5041
1.6752,0.0000,0.0000,0.0000,1.6750,0.0001,200,105.2307
1.6638,0.0000,0.0000,0.0000,1.6636,0.0001,200,106.9059
1.8741,0.0000,0.0000,0.0000,1.8739,0.0001,200,108.5697
1.6810,0.0000,0.0000,0.0000,1.6808,0.0001,200,110.4437
1.6818,0.0000,0.0000,0.0001,1.6816,0.0001,200,112.1247
1.7083,0.0000,0.0000,0.0000,1.7081,0.0001,200,113.8065
1.6728,0.0000,0.0000,0.0000,1.6727,0.0001,200,115.5147
1.6880,0.0000,0.0000,0.0000,1.6878,0.0001,200,117.1875
1.6752,0.0000,0.0000,0.0000,1.6750,0.0001,200,118.8755
1.7291,0.0000,0.0000,0.0000,1.7289,0.0001,200,120.5506
1.6713,0.0000,0.0000,0.0000,1.6711,0.0001,200,122.2798
1.7537,0.0000,0.0000,0.0000,1.7535,0.0002,200,123.9511
