response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
156.9833,0.0402,0.0012,0.0006,156.9423,0.0002,200,0.0012
156.9841,0.0423,0.0017,0.0001,156.9414,0.0001,200,0.0005
161.4810,0.0402,0.0014,0.0001,161.4405,0.0001,200,0.0009
164.7298,0.0415,0.0016,0.0000,164.6882,0.0001,200,0.0008
316.0081,0.0593,0.0014,0.0000,315.9487,0.0001,200,0.0009
319.4365,0.0400,0.0016,0.0001,319.3964,0.0001,200,0.0008
321.5378,0.0600,0.0012,0.0000,321.4777,0.0001,200,0.0011
327.3000,0.0414,0.0011,0.0000,327.2585,0.0001,200,0.0013
477.9029,0.0593,0.0013,0.0001,477.8434,0.0001,200,0.0010
479.9032,0.0727,0.0012,0.0000,479.8304,0.0001,200,0.0010
482.5104,0.0409,0.0012,0.0001,482.4693,0.0001,200,0.0010
487.8505,0.0981,0.0016,0.0000,487.7520,0.0001,200,0.0004
638.5086,0.0385,0.0012,0.0001,638.4699,0.0001,200,0.0012
640.4935,0.0922,0.0011,0.0001,640.4011,0.0001,200,0.0013
643.4141,0.0781,0.0011,0.0000,643.3359,0.0001,200,0.0012
650.9071,0.0718,0.0014,0.0001,650.8351,0.0001,200,0.0009
799.9497,0.1511,0.0009,0.0000,799.7984,0.0001,200,0.0013
802.4579,0.1310,0.0012,0.0000,802.3267,0.0001,200,0.0011
804.5867,0.1123,0.0016,0.0000,804.4741,0.0001,200,0.0007
807.1679,0.1720,0.0013,0.0001,806.9958,0.0001,200,0.0010
