response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.4657,0.0387,0.0015,0.0000,4.4267,0.0001,200,0.0003
4.5405,0.0384,0.0013,0.0005,4.5015,0.0001,200,0.0006
4.5414,0.0388,0.0006,0.0000,4.5025,0.0001,200,0.0011
4.5417,0.0716,0.0010,0.0000,4.4699,0.0000,200,0.0010
8.7798,0.0375,0.0016,0.0001,8.7421,0.0001,200,0.0003
8.7891,0.0394,0.0013,0.0000,8.7494,0.0001,200,0.0007
8.7888,0.0767,0.0010,0.0000,8.7120,0.0000,200,0.0010
8.7929,0.0573,0.0011,0.0000,8.7355,0.0001,200,0.0008
13.0143,0.0716,0.0010,0.0001,12.9425,0.0001,200,0.0011
13.0170,0.0370,0.0010,0.0000,12.9799,0.0001,200,0.0009
13.0735,0.0982,0.0014,0.0000,12.9752,0.0001,200,0.0005
13.0770,0.0924,0.0012,0.0001,12.9845,0.0000,200,0.0008
16.6163,0.0781,0.0015,0.0000,16.5379,0.0001,200,0.0004
18.0687,0.0581,0.0010,0.0001,18.0104,0.0001,200,0.0009
18.0694,0.0701,0.0010,0.0000,17.9992,0.0001,200,0.0011
18.0707,0.0375,0.0012,0.0001,18.0331,0.0000,200,0.0008
19.7550,0.0372,0.0010,0.0001,19.7177,0.0001,200,0.0010
21.3759,0.1040,0.0012,0.0001,21.2717,0.0001,200,0.0007
21.3822,0.0711,0.0010,0.0000,21.3110,0.0001,200,0.0011
21.3832,0.1048,0.0010,0.0000,21.2782,0.0001,200,0.0010
