response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
51.9229,0.0455,0.0017,0.0001,51.8770,0.0002,200,0.0005
52.0014,0.0435,0.0014,0.0001,51.9576,0.0001,200,0.0009
52.0885,0.0770,0.0013,0.0000,52.0114,0.0001,200,0.0011
52.2374,0.0630,0.0013,0.0000,52.1743,0.0001,200,0.0010
104.1075,0.0448,0.0016,0.0001,104.0626,0.0001,200,0.0009
104.2121,0.0300,0.0013,0.0001,104.1820,0.0001,200,0.0010
104.3091,0.0453,0.0016,0.0000,104.2637,0.0001,200,0.0009
104.4354,0.0778,0.0015,0.0001,104.3574,0.0001,200,0.0009
155.6650,0.0691,0.0015,0.0000,155.5956,0.0001,200,0.0007
155.6852,0.0776,0.0014,0.0001,155.6073,0.0001,200,0.0010
156.1325,0.0493,0.0013,0.0000,156.0831,0.0001,200,0.0010
156.5898,0.0887,0.0012,0.0000,156.5009,0.0001,200,0.0011
207.1822,0.0451,0.0016,0.0001,207.1368,0.0001,200,0.0008
207.3110,0.1124,0.0019,0.0001,207.1984,0.0001,200,0.0004
208.1455,0.1437,0.0016,0.0000,208.0016,0.0001,200,0.0007
208.5324,0.0770,0.0012,0.0000,208.4553,0.0001,200,0.0010
259.2156,0.0463,0.0011,0.0000,259.1692,0.0001,200,0.0009
259.3766,0.1105,0.0013,0.0002,259.2658,0.0001,200,0.0011
259.6652,0.1439,0.0016,0.0000,259.5211,0.0001,200,0.0008
259.6878,0.1686,0.0013,0.0000,259.5192,0.0001,200,0.0009
