response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
25.2232,0.0544,0.0026,0.0001,25.1684,0.0002,200,0.0003
25.2759,0.0351,0.0026,0.0000,25.2406,0.0001,200,0.0007
25.2846,0.0739,0.0026,0.0001,25.2105,0.0001,200,0.0005
25.3065,0.0510,0.0022,0.0000,25.2555,0.0001,200,0.0009
49.7236,0.0497,0.0021,0.0000,49.6737,0.0001,200,0.0011
50.5160,0.0835,0.0025,0.0000,50.4322,0.0001,200,0.0004
50.5240,0.0827,0.0023,0.0001,50.4412,0.0000,200,0.0009
50.5400,0.0492,0.0021,0.0000,50.4907,0.0001,200,0.0011
70.4619,0.0833,0.0024,0.0000,70.3785,0.0001,200,0.0008
75.5350,0.0818,0.0024,0.0001,75.4529,0.0002,200,0.0007
75.6089,0.0479,0.0018,0.0000,75.5609,0.0001,200,0.0012
75.6278,0.1015,0.0024,0.0001,75.5261,0.0001,200,0.0008
91.1424,0.0498,0.0022,0.0002,91.0923,0.0001,200,0.0008
99.3728,0.0838,0.0024,0.0001,99.2888,0.0001,200,0.0008
99.6622,0.0825,0.0020,0.0000,99.5795,0.0001,200,0.0010
99.6659,0.1121,0.0026,0.0000,99.5536,0.0001,200,0.0007
113.7186,0.0491,0.0021,0.0000,113.6693,0.0001,200,0.0010
118.9213,0.1287,0.0023,0.0000,118.7925,0.0001,200,0.0009
119.3629,0.1478,0.0023,0.0000,119.2150,0.0001,200,0.0010
119.3774,0.1106,0.0024,0.0001,119.2667,0.0000,200,0.0008
