response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.3253,0.0454,0.0015,0.0001,6.2797,0.0001,200,0.0008
6.3598,0.0447,0.0015,0.0001,6.3149,0.0001,200,0.0006
6.4926,0.0437,0.0012,0.0001,6.4486,0.0001,200,0.0004
6.5026,0.0764,0.0015,0.0000,6.4260,0.0000,200,0.0009
12.4393,0.0761,0.0012,0.0006,12.3625,0.0001,200,0.0009
12.5606,0.0781,0.0016,0.0000,12.4822,0.0001,200,0.0005
12.6622,0.0443,0.0012,0.0007,12.6170,0.0001,200,0.0009
12.7478,0.0777,0.0013,0.0001,12.6699,0.0001,200,0.0008
18.7120,0.0524,0.0011,0.0001,18.6594,0.0001,200,0.0011
18.7507,0.0859,0.0015,0.0000,18.6646,0.0001,200,0.0006
18.8443,0.0781,0.0015,0.0001,18.7661,0.0001,200,0.0008
18.9007,0.0462,0.0015,0.0001,18.8543,0.0001,200,0.0005
24.7190,0.0975,0.0018,0.0001,24.6213,0.0001,200,0.0008
24.8281,0.0867,0.0011,0.0000,24.7412,0.0001,200,0.0010
24.9744,0.0539,0.0012,0.0000,24.9201,0.0001,200,0.0004
24.9857,0.1069,0.0014,0.0000,24.8787,0.0001,200,0.0010
30.6607,0.0968,0.0012,0.0001,30.5637,0.0001,200,0.0010
30.7658,0.0773,0.0013,0.0000,30.6883,0.0001,200,0.0009
31.4863,0.0448,0.0009,0.0001,31.4413,0.0001,200,0.0011
31.5562,0.1161,0.0015,0.0001,31.4399,0.0001,200,0.0008
