response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.3508,0.0403,0.0010,0.0001,1.3103,0.0002,500,0.0009
1.4734,0.0443,0.0007,0.0000,1.4289,0.0001,500,0.0009
1.4734,0.0468,0.0008,0.0001,1.4264,0.0000,500,0.0010
1.4744,0.0376,0.0012,0.0001,1.4366,0.0001,500,0.0004
1.4787,0.0272,0.0013,0.0001,1.4514,0.0001,500,0.0004
1.4787,0.0604,0.0012,0.0001,1.4180,0.0000,500,0.0005
1.4856,0.0797,0.0009,0.0000,1.4059,0.0001,500,0.0009
1.4862,0.0400,0.0008,0.0000,1.4461,0.0001,500,0.0008
1.4894,0.0727,0.0012,0.0000,1.4165,0.0001,500,0.0006
1.4948,0.1057,0.0011,0.0000,1.3889,0.0001,500,0.0008
1.5011,0.0390,0.0008,0.0001,1.4620,0.0001,500,0.0008
1.5016,0.1025,0.0012,0.0000,1.3990,0.0001,500,0.0007
1.5055,0.0632,0.0009,0.0001,1.4422,0.0001,500,0.0009
1.5111,0.0832,0.0009,0.0000,1.4278,0.0001,500,0.0008
1.5134,0.1229,0.0012,0.0001,1.3904,0.0001,500,0.0008
1.5163,0.1062,0.0013,0.0001,1.4100,0.0001,500,0.0007
1.5196,0.0734,0.0007,0.0001,1.4460,0.0001,500,0.0010
1.5224,0.0390,0.0005,0.0001,1.4833,0.0001,500,0.0008
1.5252,0.1272,0.0011,0.0000,1.3978,0.0001,500,0.0008
31.3236,0.0685,0.0009,0.0000,31.2550,0.0001,200,0.0009
